"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-03-01T06:00:00.000Z","3.72","7.01","3.72","6.12","","-14.80","18,623,504"
"1969-01-01T06:00:00.000Z","6.12","6.42","2.09","2.47","-59.63","-74.43","16,836,467"
"1970-01-01T06:00:00.000Z","2.47","2.55","0.6873","0.9678","-60.80","-75.60","18,818,420"
"1971-01-01T06:00:00.000Z","0.9678","1.32","0.7574","1.25","28.98","14.18","20,346,826"
"1972-01-03T06:00:00.000Z","1.25","2.54","1.25","1.58","26.97","12.17","45,983,514"
"1973-01-01T06:00:00.000Z","1.58","1.61","0.6592","1.14","-28.32","-43.12","16,651,067"
"1974-01-01T06:00:00.000Z","1.14","1.35","0.5190","1.04","-8.64","-23.44","11,715,709"
"1975-01-01T06:00:00.000Z","1.08","2.17","0.9538","1.26","21.63","6.83","27,655,412"
"1976-01-01T06:00:00.000Z","1.29","2.16","1.29","2.13","68.88","54.08","17,573,437"
"1977-01-03T06:00:00.000Z","2.13","2.75","1.47","1.54","-27.63","-42.43","19,833,515"
"1978-01-02T06:00:00.000Z","1.54","2.67","1.40","1.88","21.82","7.02","28,977,937"
"1979-01-01T06:00:00.000Z","1.91","3.25","1.82","3.20","70.15","55.35","39,103,544"
"1980-01-01T06:00:00.000Z","3.20","5.68","2.61","5.46","70.61","55.81","68,629,363"
"1981-01-01T06:00:00.000Z","5.46","5.46","2.37","2.78","-49.10","-63.90","35,535,259"
"1982-01-01T06:00:00.000Z","2.78","4.24","2.24","3.93","41.42","26.62","25,761,648"
"1983-01-03T06:00:00.000Z","3.93","6.59","3.76","6.28","60.00","45.20","39,522,420"
"1984-01-02T06:00:00.000Z","6.26","8.50","5.72","7.63","21.43","6.63","32,889,353"
"1985-01-01T06:00:00.000Z","7.63","10.91","7.46","10.58","38.60","23.80","37,793,956"
"1986-01-01T06:00:00.000Z","10.58","19.08","10.49","18.29","72.94","58.15","38,012,522"
"1987-01-01T06:00:00.000Z","18.29","25.25","14.14","20.42","11.66","-3.14","39,548,835"
"1988-01-01T06:00:00.000Z","20.42","34.45","18.85","32.09","57.14","42.34","38,278,103"
"1989-01-02T06:00:00.000Z","32.09","48.25","28.95","45.22","40.91","26.11","33,224,223"
"1990-01-01T06:00:00.000Z","45.22","59.02","33.33","38.60","-14.64","-29.44","33,989,517"
"1991-01-01T06:00:00.000Z","38.60","46.90","2.51","3.09","-92.01","-106.81","277,592,523"
