"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1985-11-01T06:00:00.000Z","0.3750","0.3750","0.3403","0.3403","","-29.70","20,219,864"
"1986-01-01T06:00:00.000Z","0.3403","0.4167","0.1667","0.1736","-48.99","-78.69","35,538,268"
"1987-01-01T06:00:00.000Z","0.1736","0.2917","0.1042","0.1736","","-29.70","29,955,100"
"1988-01-01T06:00:00.000Z","0.1875","0.2708","0.1528","0.1736","","-29.70","22,028,436"
"1989-01-02T06:00:00.000Z","0.1806","0.2222","0.0625","0.1007","-41.99","-71.70","27,041,324"
"1990-01-01T06:00:00.000Z","0.1007","0.1945","0.0833","0.1250","24.13","-5.57","15,848,572"
"1991-01-01T06:00:00.000Z","0.1181","0.6389","0.1111","0.6250","400.00","370.30","57,953,112"
"1992-01-01T06:00:00.000Z","0.6250","1.63","0.5764","1.58","153.34","123.64","78,959,728"
"1993-01-01T06:00:00.000Z","1.56","2.13","1.29","1.92","21.38","-8.33","56,522,524"
"1994-01-03T06:00:00.000Z","1.84","1.97","1.08","1.63","-15.45","-45.15","46,237,168"
"1995-01-02T06:00:00.000Z","1.63","4.25","1.46","4.13","153.85","124.14","75,042,112"
"1996-01-01T06:00:00.000Z","4.13","6.96","3.40","5.96","44.45","14.74","87,251,480"
"1997-01-01T06:00:00.000Z","5.83","7.56","4.38","6.81","14.33","-15.37","54,246,196"
"1998-01-01T06:00:00.000Z","6.81","13.75","6.19","12.44","82.57","52.86","85,432,000"
"1999-01-01T06:00:00.000Z","12.44","14.13","6.61","13.42","7.91","-21.79","117,971,600"
"2000-01-03T06:00:00.000Z","13.25","33.13","12.06","31.06","131.43","101.73","134,945,000"
"2001-01-01T06:00:00.000Z","31.13","33.24","18.56","21.84","-29.69","-59.39","157,760,700"
"2002-01-01T06:00:00.000Z","22.11","24.49","7.24","12.04","-44.87","-74.58","167,999,806"
"2003-01-01T06:00:00.000Z","12.15","22.04","9.90","20.58","70.93","41.23","106,726,682"
"2004-01-01T06:00:00.000Z","20.60","21.00","17.17","19.91","-3.26","-32.96","82,113,191"
"2005-01-03T06:00:00.000Z","20.66","21.96","15.35","19.09","-4.12","-33.82","125,322,419"
"2006-01-02T06:00:00.000Z","19.10","23.77","17.40","21.40","12.10","-17.60","144,734,058"
"2007-01-01T06:00:00.000Z","21.53","29.24","20.57","24.34","13.74","-15.97","151,461,583"
"2008-01-01T06:00:00.000Z","24.31","27.48","14.76","19.41","-20.25","-49.96","237,643,144"
"2009-01-01T06:00:00.000Z","19.50","24.75","14.29","23.14","19.22","-10.49","160,206,477"
"2010-01-01T06:00:00.000Z","23.40","29.97","21.01","29.15","25.97","-3.73","117,623,549"
"2011-01-03T06:00:00.000Z","29.35","34.50","24.41","33.61","15.30","-14.40","142,140,829"
"2012-01-02T06:00:00.000Z","34.44","40.71","32.11","39.26","16.81","-12.89","96,063,973"
"2013-01-01T06:00:00.000Z","39.60","59.37","37.90","59.21","50.82","21.11","78,381,740"
"2014-01-01T06:00:00.000Z","58.85","63.85","51.86","62.14","4.95","-24.76","86,102,995"
"2015-01-01T06:00:00.000Z","62.64","79.92","60.10","78.06","25.62","-4.08","93,541,128"
"2016-01-01T06:00:00.000Z","76.82","91.06","73.19","88.78","13.73","-15.97","99,980,015"
"2017-01-02T06:00:00.000Z","88.92","119.82","88.11","116.96","31.74","2.04","93,618,505"
"2018-01-01T06:00:00.000Z","117.32","163.68","112.78","126.52","8.17","-21.53","125,142,544"
"2019-01-02T06:00:00.000Z","124.55","152.93","120.99","145.67","15.14","-14.57","108,284,938"
"2020-01-02T06:00:00.000Z","146.47","200.98","123.64","161.99","11.20","-18.50","145,572,010"
"2021-01-04T06:00:00.000Z","161.73","179.98","141.65","166.99","3.09","-26.62","128,383,249"
"2022-01-03T06:00:00.000Z","167.07","212.62","155.44","175.56","5.13","-24.57","131,091,499"
"2023-01-03T06:00:00.000Z","176.83","184.19","139.28","158.08","-9.96","-39.66","104,616,576"
