"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1969-03-03T06:00:00.000Z","9.56","10.04","7.65","8.89","","-9.47","8,336,818"
"1970-01-01T06:00:00.000Z","8.83","10.00","6.81","9.63","8.33","-1.13","12,761,110"
"1971-01-01T06:00:00.000Z","9.54","10.37","7.65","8.33","-13.46","-22.93","20,329,180"
"1972-01-03T06:00:00.000Z","8.31","8.74","7.07","7.76","-6.89","-16.36","24,584,405"
"1973-01-01T06:00:00.000Z","7.81","8.02","5.57","6.15","-20.76","-30.23","20,149,666"
"1974-01-01T06:00:00.000Z","6.15","7.04","4.11","4.31","-29.82","-39.29","14,437,144"
"1975-01-01T06:00:00.000Z","4.37","6.46","3.85","4.48","3.86","-5.61","28,470,371"
"1976-01-01T06:00:00.000Z","4.48","6.46","4.46","6.35","41.74","32.27","29,860,835"
"1977-01-03T06:00:00.000Z","6.33","6.98","5.70","6.30","-0.8738","-10.34","21,188,461"
"1978-01-02T06:00:00.000Z","6.26","6.70","5.33","5.54","-12.06","-21.53","20,992,045"
"1979-01-01T06:00:00.000Z","5.54","6.63","5.04","5.43","-2.01","-11.47","24,495,268"
"1980-01-01T06:00:00.000Z","5.43","6.65","4.93","6.31","16.38","6.92","35,960,720"
"1981-01-01T06:00:00.000Z","6.31","9.33","6.22","8.07","27.86","18.39","64,769,406"
"1982-01-01T06:00:00.000Z","8.07","10.53","5.89","9.00","11.47","2.00","64,283,215"
"1983-01-03T06:00:00.000Z","8.94","12.50","8.56","9.78","8.64","-0.8245","94,714,951"
"1984-01-02T06:00:00.000Z","9.78","11.96","7.83","11.50","17.61","8.15","102,408,332"
"1985-01-01T06:00:00.000Z","11.46","15.42","11.04","15.13","31.52","22.05","155,637,597"
"1986-01-01T06:00:00.000Z","15.13","18.75","13.58","14.08","-6.89","-16.35","154,368,595"
"1987-01-01T06:00:00.000Z","14.08","16.50","6.75","7.13","-49.41","-58.88","172,901,305"
"1988-01-01T06:00:00.000Z","7.13","11.29","6.67","10.33","45.03","35.56","215,384,095"
"1989-01-02T06:00:00.000Z","10.33","13.71","9.50","9.96","-3.63","-13.10","232,868,313"
"1990-01-01T06:00:00.000Z","9.96","10.46","3.21","3.58","-64.02","-73.48","367,083,439"
"1991-01-01T06:00:00.000Z","3.58","10.04","3.50","7.08","97.67","88.21","394,490,109"
"1992-01-01T06:00:00.000Z","7.29","13.17","7.29","12.88","81.76","72.30","830,372,027"
"1993-01-01T06:00:00.000Z","12.92","15.46","11.67","13.38","3.88","-5.58","786,805,035"
"1994-01-03T06:00:00.000Z","13.38","14.04","11.21","11.96","-10.59","-20.06","724,298,859"
"1995-01-02T06:00:00.000Z","11.96","21.58","11.92","19.58","63.76","54.30","825,451,442"
"1996-01-01T06:00:00.000Z","19.50","31.96","17.38","29.79","52.13","42.66","1,368,389,035"
"1997-01-01T06:00:00.000Z","30.08","42.19","28.21","36.50","22.52","13.05","1,866,238,028"
"1998-01-01T06:00:00.000Z","36.21","51.71","23.71","47.33","29.68","20.21","1,686,987,597"
"1999-01-01T06:00:00.000Z","46.75","60.75","43.88","51.79","9.42","-0.0477","1,368,385,265"
"2000-01-03T06:00:00.000Z","49.83","67.17","32.38","45.44","-12.27","-21.74","1,956,730,669"
"2001-01-01T06:00:00.000Z","44.63","57.33","29.04","36.35","-20.00","-29.47","2,059,298,154"
"2002-01-01T06:00:00.000Z","36.49","39.68","15.26","24.00","-33.98","-43.44","2,967,262,016"
"2003-01-01T06:00:00.000Z","25.25","38.26","20.13","36.73","53.04","43.58","2,318,598,862"
"2004-01-01T06:00:00.000Z","36.56","43.84","34.62","39.01","6.21","-3.26","2,491,306,645"
"2005-01-03T06:00:00.000Z","39.48","40.56","32.92","39.69","1.74","-7.72","2,676,184,460"
"2006-01-02T06:00:00.000Z","39.83","49.00","37.88","48.30","21.69","12.23","2,710,384,895"
"2007-01-01T06:00:00.000Z","48.00","53.25","40.15","43.65","-9.63","-19.09","4,754,666,149"
"2008-01-01T06:00:00.000Z","43.55","50.63","19.69","31.53","-27.77","-37.23","12,400,777,745"
"2009-01-01T06:00:00.000Z","31.19","47.47","14.96","41.67","32.16","22.69","16,071,087,576"
"2010-01-01T06:00:00.000Z","41.79","48.20","35.16","42.42","1.80","-7.67","10,371,400,197"
"2011-01-03T06:00:00.000Z","43.00","48.36","27.85","33.25","-21.62","-31.08","9,691,549,571"
"2012-01-02T06:00:00.000Z","34.06","46.49","30.83","43.97","32.24","22.77","8,268,110,641"
"2013-01-01T06:00:00.000Z","44.98","58.55","44.20","58.48","33.00","23.54","5,324,435,135"
"2014-01-01T06:00:00.000Z","58.31","63.49","52.97","62.58","7.01","-2.46","3,985,797,974"
"2015-01-01T06:00:00.000Z","62.62","70.61","50.07","66.03","5.51","-3.95","3,999,733,386"
"2016-01-01T06:00:00.000Z","63.95","87.39","52.50","86.29","30.68","21.22","4,299,033,759"
"2017-01-02T06:00:00.000Z","87.34","108.46","81.64","106.94","23.93","14.46","3,500,656,460"
"2018-01-01T06:00:00.000Z","107.63","119.33","91.11","97.62","-8.72","-18.18","3,809,700,610"
"2019-01-02T06:00:00.000Z","95.95","140.08","95.94","139.40","42.80","33.33","2,979,996,326"
"2020-01-02T06:00:00.000Z","139.79","141.10","76.91","127.07","-8.85","-18.31","4,865,818,946"
"2021-01-04T06:00:00.000Z","127.50","172.96","123.77","158.35","24.62","15.15","3,248,879,197"
"2022-01-03T06:00:00.000Z","159.86","169.81","101.28","134.10","-15.31","-24.78","3,432,578,006"
