"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","2.63","2.91","2.34","2.59","","-7.85","20,977,600"
"1969-01-01T06:00:00.000Z","2.61","2.80","2.48","2.56","-1.21","-9.05","13,531,200"
"1970-01-01T06:00:00.000Z","2.59","2.80","1.22","1.50","-41.46","-49.31","26,054,400"
"1971-01-01T06:00:00.000Z","1.51","1.75","1.45","1.69","12.50","4.65","39,531,200"
"1972-01-03T06:00:00.000Z","1.68","2.05","1.45","1.96","16.20","8.36","39,321,600"
"1973-01-01T06:00:00.000Z","1.96","2.20","1.63","1.94","-1.19","-9.04","22,020,000"
"1974-01-01T06:00:00.000Z","1.94","2.28","1.28","1.91","-1.62","-9.46","22,387,200"
"1975-01-01T06:00:00.000Z","1.91","2.92","1.75","2.69","40.99","33.14","28,920,000"
"1976-01-01T06:00:00.000Z","2.69","3.53","2.50","3.45","28.49","20.64","44,832,000"
"1977-01-03T06:00:00.000Z","3.45","3.48","2.59","3.05","-11.76","-19.61","42,052,000"
"1978-01-02T06:00:00.000Z","3.05","3.13","2.13","2.30","-24.62","-32.46","51,308,000"
"1979-01-01T06:00:00.000Z","2.30","2.70","2.14","2.36","2.72","-5.12","44,015,200"
"1980-01-01T06:00:00.000Z","2.36","2.72","1.95","2.53","7.28","-0.5641","68,369,600"
"1981-01-01T06:00:00.000Z","2.53","3.13","2.17","2.81","11.11","3.27","63,713,600"
"1982-01-01T06:00:00.000Z","2.80","3.89","2.72","3.33","18.33","10.49","127,482,400"
"1983-01-03T06:00:00.000Z","3.33","4.13","3.14","4.05","21.60","13.75","128,599,200"
"1984-01-02T06:00:00.000Z","4.05","5.34","3.38","5.00","23.55","15.71","114,266,400"
"1985-01-01T06:00:00.000Z","4.98","9.00","4.81","8.69","73.75","65.90","171,166,400"
"1986-01-01T06:00:00.000Z","8.69","14.69","7.88","12.94","48.92","41.08","182,366,400"
"1987-01-01T06:00:00.000Z","12.94","17.19","9.47","13.09","1.21","-6.64","205,682,800"
"1988-01-01T06:00:00.000Z","13.09","17.13","12.25","16.06","22.67","14.83","156,514,000"
"1989-01-02T06:00:00.000Z","16.06","20.41","14.44","16.91","5.25","-2.59","157,967,600"
"1990-01-01T06:00:00.000Z","16.91","19.38","14.69","18.97","12.20","4.35","154,250,000"
"1991-01-01T06:00:00.000Z","18.91","33.50","17.50","32.69","72.32","64.48","142,302,600"
"1992-01-01T06:00:00.000Z","32.25","37.69","27.19","33.50","2.49","-5.36","121,526,400"
"1993-01-01T06:00:00.000Z","33.50","33.94","23.63","28.38","-15.30","-23.14","160,486,400"
"1994-01-03T06:00:00.000Z","28.25","30.38","23.69","29.06","2.42","-5.42","140,761,000"
"1995-01-02T06:00:00.000Z","28.94","39.75","26.25","38.63","32.90","25.06","136,950,200"
"1996-01-01T06:00:00.000Z","38.38","40.31","31.00","32.81","-15.05","-22.89","186,180,400"
"1997-01-01T06:00:00.000Z","32.69","50.50","32.00","49.63","51.24","43.39","190,187,500"
"1998-01-01T06:00:00.000Z","49.38","50.19","28.50","34.13","-31.23","-39.08","150,340,300"
"1999-01-01T06:00:00.000Z","34.19","42.25","30.00","30.81","-9.71","-17.55","154,281,100"
"2000-01-03T06:00:00.000Z","30.13","32.00","20.75","26.25","-14.81","-22.65","209,942,900"
"2001-01-01T06:00:00.000Z","26.06","34.00","24.25","30.10","14.67","6.82","215,618,900"
"2002-01-01T06:00:00.000Z","29.85","37.00","29.02","34.27","13.85","6.01","300,156,200"
"2003-01-01T06:00:00.000Z","34.28","38.57","27.85","38.08","11.12","3.27","258,147,115"
"2004-01-01T06:00:00.000Z","37.98","45.32","37.00","44.66","17.28","9.43","254,573,301"
"2005-01-03T06:00:00.000Z","44.68","46.99","42.35","43.22","-3.22","-11.07","308,618,103"
"2006-01-02T06:00:00.000Z","43.95","50.95","42.41","50.06","15.83","7.98","337,149,699"
"2007-01-01T06:00:00.000Z","50.29","56.89","48.68","52.43","4.73","-3.11","434,358,958"
"2008-01-01T06:00:00.000Z","52.30","58.51","40.32","43.85","-16.36","-24.21","647,722,821"
"2009-01-01T06:00:00.000Z","43.98","54.10","35.64","53.20","21.32","13.48","571,229,621"
"2010-01-01T06:00:00.000Z","53.31","56.00","47.28","51.08","-3.98","-11.83","688,087,092"
"2011-01-03T06:00:00.000Z","51.23","57.70","48.10","50.57","-0.9984","-8.84","549,113,559"
"2012-01-02T06:00:00.000Z","50.97","57.21","46.33","55.85","10.44","2.60","484,831,325"
"2013-01-01T06:00:00.000Z","56.33","67.98","56.04","61.07","9.35","1.50","433,215,066"
"2014-01-01T06:00:00.000Z","60.98","69.50","55.69","65.44","7.16","-0.6899","482,895,946"
"2015-01-01T06:00:00.000Z","65.63","73.68","61.13","72.27","10.44","2.59","477,000,092"
"2016-01-01T06:00:00.000Z","71.59","87.16","68.73","73.71","1.99","-5.85","505,771,870"
"2017-01-02T06:00:00.000Z","73.71","76.69","58.76","67.98","-7.77","-15.62","647,431,691"
"2018-01-01T06:00:00.000Z","68.03","74.98","55.11","57.01","-16.14","-23.98","662,627,012"
"2019-01-02T06:00:00.000Z","56.78","69.32","51.34","69.16","21.31","13.47","575,878,027"
"2020-01-02T06:00:00.000Z","69.13","72.88","52.66","62.23","-10.02","-17.87","553,229,786"
"2021-01-04T06:00:00.000Z","62.02","68.60","56.61","64.42","3.52","-4.33","633,447,314"
"2022-01-03T06:00:00.000Z","64.42","77.17","59.54","71.24","10.59","2.74","620,527,268"
"2023-01-03T06:00:00.000Z","71.08","72.67","59.73","59.89","-15.93","-23.78","379,567,278"
