"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1980-10-01T05:00:00.000Z","1.16","1.60","1.16","1.33","","-23.36","14,752,540"
"1981-01-01T06:00:00.000Z","1.33","1.54","0.6458","0.7708","-42.19","-65.55","20,679,804"
"1982-01-01T06:00:00.000Z","0.7708","1.69","0.6042","1.60","108.12","84.76","21,054,212"
"1983-01-03T06:00:00.000Z","1.60","4.42","1.59","4.33","170.13","146.77","35,592,176"
"1984-01-02T06:00:00.000Z","4.33","5.08","2.88","4.19","-3.37","-26.73","60,519,780"
"1985-01-01T06:00:00.000Z","4.19","6.13","3.88","5.75","37.31","13.95","83,846,400"
"1986-01-01T06:00:00.000Z","5.75","6.56","2.75","3.41","-40.76","-64.12","89,464,400"
"1987-01-01T06:00:00.000Z","3.41","6.28","2.44","3.44","0.9189","-22.44","124,715,600"
"1988-01-01T06:00:00.000Z","3.50","5.25","2.38","2.94","-14.55","-37.91","94,920,000"
"1989-01-02T06:00:00.000Z","2.94","3.44","1.88","2.19","-25.53","-48.89","129,362,400"
"1990-01-01T06:00:00.000Z","2.19","3.13","1.44","2.19","","-23.36","94,756,800"
"1991-01-01T06:00:00.000Z","2.19","3.63","2.00","2.78","27.14","3.78","109,143,600"
"1992-01-01T06:00:00.000Z","2.78","3.44","1.50","3.06","10.11","-13.25","114,355,200"
"1993-01-01T06:00:00.000Z","2.94","7.06","2.56","6.94","126.53","103.17","249,682,800"
"1994-01-03T06:00:00.000Z","6.88","13.50","6.13","12.25","76.58","53.21","459,614,000"
"1995-01-02T06:00:00.000Z","12.13","24.38","11.63","13.03","6.38","-16.99","575,652,800"
"1996-01-01T06:00:00.000Z","13.38","20.00","8.75","17.75","36.21","12.85","516,360,996"
"1997-01-01T06:00:00.000Z","17.69","38.44","16.75","19.31","8.80","-14.56","1,228,150,592"
"1998-01-01T06:00:00.000Z","19.25","24.00","10.38","21.69","12.30","-11.06","1,074,054,030"
"1999-01-01T06:00:00.000Z","22.00","56.56","21.19","55.69","156.77","133.41","1,115,275,814"
"2000-01-03T06:00:00.000Z","56.13","97.75","25.50","33.69","-39.51","-62.87","1,360,815,203"
"2001-01-01T06:00:00.000Z","33.50","61.00","28.61","49.56","47.12","23.75","2,148,380,067"
"2002-01-01T06:00:00.000Z","50.11","70.58","25.16","35.37","-28.63","-51.99","3,589,452,540"
"2003-01-01T06:00:00.000Z","36.35","61.25","31.20","58.54","65.51","42.15","2,541,508,867"
"2004-01-01T06:00:00.000Z","58.80","62.82","35.02","46.58","-20.43","-43.79","1,769,463,784"
"2005-01-03T06:00:00.000Z","46.76","55.00","37.39","49.33","5.90","-17.46","1,241,259,383"
"2006-01-02T06:00:00.000Z","49.33","55.03","38.38","49.75","0.8514","-22.51","1,064,504,297"
"2007-01-01T06:00:00.000Z","50.00","62.67","46.59","48.16","-3.20","-26.56","1,081,256,192"
"2008-01-01T06:00:00.000Z","47.91","48.35","14.81","21.79","-54.75","-78.12","1,204,642,590"
"2009-01-01T06:00:00.000Z","21.51","37.71","15.28","36.16","65.95","42.59","1,187,879,140"
"2010-01-01T06:00:00.000Z","36.60","40.44","26.69","38.64","6.86","-16.50","934,620,645"
"2011-01-03T06:00:00.000Z","38.58","51.83","33.20","48.25","24.87","1.51","743,462,604"
"2012-01-02T06:00:00.000Z","48.72","55.43","43.21","47.76","-1.02","-24.38","598,064,096"
"2013-01-01T06:00:00.000Z","48.81","67.05","47.37","64.46","34.97","11.60","427,531,058"
"2014-01-01T06:00:00.000Z","64.00","84.21","59.44","70.32","9.09","-14.27","398,456,624"
"2015-01-01T06:00:00.000Z","70.62","71.26","44.95","69.35","-1.38","-24.74","424,803,480"
"2016-01-01T06:00:00.000Z","68.03","83.23","62.33","78.68","13.45","-9.91","399,336,948"
"2017-01-02T06:00:00.000Z","78.97","114.43","77.86","105.07","33.54","10.18","317,021,332"
"2018-01-01T06:00:00.000Z","105.76","123.96","80.65","89.49","-14.83","-38.19","400,641,933"
"2019-01-02T06:00:00.000Z","87.53","179.95","85.69","178.17","99.09","75.73","383,102,930"
"2020-01-02T06:00:00.000Z","180.78","268.89","110.19","258.91","45.32","21.95","339,994,319"
"2021-01-04T06:00:00.000Z","262.06","442.44","257.70","430.11","66.12","42.76","298,964,982"
"2022-01-03T06:00:00.000Z","431.14","457.12","250.20","377.03","-12.34","-35.70","387,024,346"
"2023-01-03T06:00:00.000Z","384.00","517.30","355.88","507.02","34.48","11.11","179,428,325"
