"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","3.36","4.73","2.87","4.29","","-8.37","25,741,690"
"1969-01-01T06:00:00.000Z","4.28","4.70","3.58","4.67","8.75","0.3720","22,911,269"
"1970-01-01T06:00:00.000Z","4.65","4.65","1.64","1.83","-60.88","-69.26","28,373,429"
"1971-01-01T06:00:00.000Z","1.80","2.14","1.43","1.67","-8.47","-16.84","76,799,376"
"1972-01-03T06:00:00.000Z","1.69","2.53","1.49","2.41","44.49","36.11","91,693,378"
"1973-01-01T06:00:00.000Z","2.41","2.97","1.80","1.90","-21.34","-29.71","89,195,771"
"1974-01-01T06:00:00.000Z","1.90","2.08","1.10","1.45","-23.64","-32.02","53,867,468"
"1975-01-01T06:00:00.000Z","1.45","2.20","1.43","2.16","49.24","40.86","70,882,177"
"1976-01-01T06:00:00.000Z","2.16","2.78","2.13","2.59","19.73","11.35","149,281,228"
"1977-01-03T06:00:00.000Z","2.58","2.84","2.17","2.53","-2.55","-10.93","96,800,684"
"1978-01-02T06:00:00.000Z","2.52","2.96","2.28","2.41","-4.66","-13.04","86,496,097"
"1979-01-01T06:00:00.000Z","2.41","2.86","2.33","2.40","-0.3074","-8.68","72,333,881"
"1980-01-01T06:00:00.000Z","2.40","3.24","2.22","3.14","30.68","22.30","97,303,259"
"1981-01-01T06:00:00.000Z","3.14","4.31","3.14","3.87","23.47","15.10","111,782,995"
"1982-01-01T06:00:00.000Z","3.87","4.76","3.34","4.35","12.36","3.98","163,316,099"
"1983-01-03T06:00:00.000Z","4.35","5.83","3.87","5.42","24.53","16.16","182,280,011"
"1984-01-02T06:00:00.000Z","5.42","5.74","4.64","5.61","3.53","-4.84","136,283,762"
"1985-01-01T06:00:00.000Z","5.61","8.25","5.30","7.89","40.68","32.31","214,581,801"
"1986-01-01T06:00:00.000Z","7.89","10.91","7.47","9.41","19.22","10.84","190,606,535"
"1987-01-01T06:00:00.000Z","9.42","14.90","9.28","11.78","25.19","16.82","262,500,079"
"1988-01-01T06:00:00.000Z","11.78","15.49","10.87","13.72","16.50","8.13","254,667,632"
"1989-01-02T06:00:00.000Z","13.72","17.76","13.52","17.32","26.18","17.81","218,423,734"
"1990-01-01T06:00:00.000Z","17.32","20.20","14.49","19.79","14.29","5.91","196,089,064"
"1991-01-01T06:00:00.000Z","19.79","24.62","17.90","23.88","20.68","12.31","169,043,989"
"1992-01-01T06:00:00.000Z","23.88","29.80","21.79","27.80","16.40","8.03","151,825,963"
"1993-01-01T06:00:00.000Z","28.15","29.21","21.03","24.44","-12.08","-20.45","164,603,759"
"1994-01-03T06:00:00.000Z","24.50","28.27","22.14","23.74","-2.89","-11.27","159,515,985"
"1995-01-02T06:00:00.000Z","23.85","39.11","22.26","38.99","64.27","55.89","236,040,569"
"1996-01-01T06:00:00.000Z","38.64","46.94","32.33","44.88","15.11","6.73","429,349,581"
"1997-01-01T06:00:00.000Z","44.94","53.60","40.76","46.47","3.54","-4.83","413,380,457"
"1998-01-01T06:00:00.000Z","46.29","56.01","33.81","51.36","10.52","2.15","421,660,506"
"1999-01-01T06:00:00.000Z","50.89","65.55","42.23","61.66","20.07","11.69","440,983,932"
"2000-01-03T06:00:00.000Z","60.78","69.03","39.58","66.61","8.03","-0.3474","492,068,682"
"2001-01-01T06:00:00.000Z","65.95","68.03","49.06","56.35","-15.41","-23.78","476,115,066"
"2002-01-01T06:00:00.000Z","56.12","62.94","42.69","44.73","-20.62","-28.99","451,721,374"
"2003-01-01T06:00:00.000Z","45.02","55.88","40.45","55.68","24.48","16.10","458,732,927"
"2004-01-01T06:00:00.000Z","55.72","65.02","52.95","63.08","13.28","4.90","429,544,792"
"2005-01-03T06:00:00.000Z","62.99","65.45","53.29","57.17","-9.36","-17.73","427,226,532"
"2006-01-02T06:00:00.000Z","57.20","65.73","54.24","65.13","13.91","5.54","415,210,757"
"2007-01-01T06:00:00.000Z","65.10","69.77","61.14","66.46","2.05","-6.33","539,027,984"
"2008-01-01T06:00:00.000Z","66.21","66.80","48.18","50.55","-23.94","-32.31","780,327,952"
"2009-01-01T06:00:00.000Z","50.80","64.25","41.26","61.06","20.80","12.43","709,002,449"
"2010-01-01T06:00:00.000Z","61.62","64.45","55.83","60.42","-1.05","-9.43","760,060,551"
"2011-01-03T06:00:00.000Z","60.56","70.98","58.47","70.50","16.69","8.31","722,998,542"
"2012-01-02T06:00:00.000Z","70.89","84.58","67.57","80.92","14.78","6.40","604,446,541"
"2013-01-01T06:00:00.000Z","81.82","107.04","80.43","100.12","23.72","15.35","531,243,361"
"2014-01-01T06:00:00.000Z","99.99","118.83","98.54","115.54","15.40","7.03","431,137,518"
"2015-01-01T06:00:00.000Z","115.25","129.89","103.04","127.30","10.18","1.80","394,728,118"
"2016-01-01T06:00:00.000Z","125.91","138.87","111.30","114.12","-10.35","-18.73","461,609,323"
"2017-01-02T06:00:00.000Z","114.16","136.21","109.67","120.66","5.73","-2.64","457,376,986"
"2018-01-01T06:00:00.000Z","120.81","123.50","97.10","113.94","-5.57","-13.94","584,793,578"
"2019-01-02T06:00:00.000Z","112.80","143.50","107.44","137.55","20.72","12.35","421,608,054"
"2020-01-02T06:00:00.000Z","137.40","160.16","110.66","134.83","-1.98","-10.35","480,504,603"
"2021-01-04T06:00:00.000Z","134.35","143.37","125.27","142.92","6.00","-2.37","521,432,392"
"2022-01-03T06:00:00.000Z","141.88","145.79","108.74","135.75","-5.02","-13.39","436,720,888"
"2023-01-03T06:00:00.000Z","136.06","147.87","121.97","127.46","-6.11","-14.48","284,843,555"
