"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","1.37","1.62","0.7135","0.7448","","-10.66","210,576,432"
"1969-01-01T06:00:00.000Z","0.7578","0.9049","0.6836","0.8568","15.04","4.37","269,885,344"
"1970-01-01T06:00:00.000Z","0.8568","0.9114","0.6628","0.8828","3.03","-7.63","361,143,760"
"1971-01-01T06:00:00.000Z","0.8659","1.30","0.8542","1.27","43.95","33.29","305,808,928"
"1972-01-03T06:00:00.000Z","1.26","1.56","1.17","1.55","21.73","11.06","283,959,152"
"1973-01-01T06:00:00.000Z","1.55","1.56","1.20","1.32","-14.82","-25.48","401,406,704"
"1974-01-01T06:00:00.000Z","1.31","1.33","0.4648","0.5521","-58.10","-68.77","797,938,704"
"1975-01-01T06:00:00.000Z","0.5547","0.9739","0.5547","0.8568","55.19","44.52","749,247,056"
"1976-01-01T06:00:00.000Z","0.8568","0.9922","0.7643","0.8229","-3.96","-14.62","856,844,992"
"1977-01-03T06:00:00.000Z","0.8229","0.8516","0.7396","0.7760","-5.70","-16.36","935,215,312"
"1978-01-02T06:00:00.000Z","0.7682","0.9844","0.7318","0.9141","17.80","7.13","868,696,192"
"1979-01-01T06:00:00.000Z","0.9088","0.9609","0.6562","0.7187","-21.38","-32.04","887,867,616"
"1980-01-01T06:00:00.000Z","0.7187","0.8099","0.6016","0.6953","-3.26","-13.92","1,560,397,616"
"1981-01-01T06:00:00.000Z","0.6979","0.8385","0.6354","0.7240","4.13","-6.54","1,388,973,520"
"1982-01-01T06:00:00.000Z","0.7240","1.12","0.6198","1.08","49.63","38.96","2,734,950,144"
"1983-01-03T06:00:00.000Z","1.08","1.20","0.9479","1.11","2.89","-7.78","3,121,070,864"
"1984-01-02T06:00:00.000Z","1.11","1.38","1.02","1.30","16.59","5.92","3,342,813,856"
"1985-01-01T06:00:00.000Z","1.29","1.84","1.24","1.76","35.47","24.80","4,173,236,576"
"1986-01-01T06:00:00.000Z","1.76","2.80","1.60","2.36","34.03","23.36","3,747,289,664"
"1987-01-01T06:00:00.000Z","2.36","3.32","1.75","2.38","0.9918","-9.67","3,763,323,200"
