"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","0.1974","0.6018","0.0870","0.5417","","-12.68","1,067,257,945"
"1969-01-01T06:00:00.000Z","0.5569","0.6833","0.2805","0.4167","-23.08","-35.75","1,007,001,431"
"1970-01-01T06:00:00.000Z","0.4139","0.4444","0.1806","0.3875","-7.01","-19.68","377,969,946"
"1971-01-01T06:00:00.000Z","0.3833","0.6333","0.3833","0.5153","32.98","20.30","475,270,839"
"1972-01-03T06:00:00.000Z","0.5194","0.6680","0.4833","0.5194","0.7957","-11.88","428,622,914"
"1973-01-01T06:00:00.000Z","0.5250","0.5333","0.1806","0.2278","-56.14","-68.82","439,243,233"
"1974-01-01T06:00:00.000Z","0.2278","0.2583","0.1208","0.1667","-26.82","-39.50","236,091,135"
"1975-01-01T06:00:00.000Z","0.1694","0.2944","0.1611","0.2375","42.47","29.80","309,928,527"
"1976-01-01T06:00:00.000Z","0.2375","0.4083","0.2333","0.3986","67.83","55.16","322,528,789"
"1977-01-03T06:00:00.000Z","0.3986","0.4167","0.3014","0.4000","0.3512","-12.32","404,781,425"
"1978-01-02T06:00:00.000Z","0.3958","0.6139","0.3458","0.4611","15.27","2.60","565,506,695"
"1979-01-01T06:00:00.000Z","0.4611","0.7708","0.4583","0.6778","47.00","34.32","475,793,087"
"1980-01-01T06:00:00.000Z","0.6778","1.04","0.5875","0.9208","35.85","23.18","444,112,319"
"1981-01-01T06:00:00.000Z","0.9194","1.20","0.8111","0.9889","7.40","-5.28","264,568,042"
"1982-01-01T06:00:00.000Z","0.9889","1.77","0.8805","1.59","61.23","48.55","399,183,612"
"1983-01-03T06:00:00.000Z","1.59","2.09","1.47","2.07","29.97","17.29","202,817,898"
"1984-01-02T06:00:00.000Z","2.07","2.96","1.96","2.92","40.75","28.07","271,600,512"
"1985-01-01T06:00:00.000Z","2.92","4.69","2.75","4.54","55.72","43.04","572,099,119"
"1986-01-01T06:00:00.000Z","4.54","6.03","4.48","4.85","6.88","-5.80","616,587,647"
"1987-01-01T06:00:00.000Z","4.85","8.02","4.83","5.55","14.38","1.70","822,702,901"
"1988-01-01T06:00:00.000Z","5.60","6.93","5.17","6.57","18.39","5.71","431,237,382"
"1989-01-02T06:00:00.000Z","6.53","11.25","6.42","10.35","57.53","44.85","447,823,950"
"1990-01-01T06:00:00.000Z","10.35","10.57","6.25","8.18","-21.03","-33.70","440,131,876"
"1991-01-01T06:00:00.000Z","8.18","9.41","7.37","9.12","11.59","-1.08","273,251,007"
"1992-01-01T06:00:00.000Z","9.15","10.54","8.62","10.01","9.70","-2.97","260,454,073"
"1993-01-01T06:00:00.000Z","9.99","10.02","7.23","7.75","-22.58","-35.26","385,215,728"
"1994-01-03T06:00:00.000Z","7.71","8.56","7.04","7.24","-6.59","-19.26","265,880,538"
"1995-01-02T06:00:00.000Z","7.23","13.31","7.22","13.06","80.43","67.76","333,267,207"
"1996-01-01T06:00:00.000Z","13.08","15.98","12.08","15.71","20.26","7.58","341,794,499"
"1997-01-01T06:00:00.000Z","15.71","19.27","14.25","17.69","12.60","-0.0770","354,508,019"
"1998-01-01T06:00:00.000Z","17.58","18.04","13.00","16.37","-7.42","-20.10","370,213,175"
"1999-01-01T06:00:00.000Z","16.42","17.42","9.75","10.11","-38.23","-50.91","411,729,391"
"2000-01-03T06:00:00.000Z","10.03","17.49","6.37","17.26","70.65","57.97","508,329,152"
"2001-01-01T06:00:00.000Z","17.06","24.17","13.68","18.46","6.95","-5.73","586,455,338"
"2002-01-01T06:00:00.000Z","18.48","20.77","12.50","14.82","-19.72","-32.39","455,344,734"
"2003-01-01T06:00:00.000Z","14.97","16.49","12.75","16.48","11.22","-1.45","477,965,720"
"2004-01-01T06:00:00.000Z","16.47","23.67","16.36","23.43","42.16","29.49","324,469,922"
"2005-01-03T06:00:00.000Z","23.43","32.90","22.35","31.62","34.92","22.25","421,828,094"
"2006-01-02T06:00:00.000Z","31.70","42.18","30.42","41.47","31.17","18.49","433,916,682"
"2007-01-01T06:00:00.000Z","41.50","53.46","40.21","50.34","21.39","8.71","541,085,741"
"2008-01-01T06:00:00.000Z","50.41","51.51","19.39","28.25","-43.88","-56.56","953,431,504"
"2009-01-01T06:00:00.000Z","28.90","36.84","17.40","36.35","28.67","16.00","743,067,827"
"2010-01-01T06:00:00.000Z","36.80","40.34","30.22","38.91","7.04","-5.63","580,245,090"
"2011-01-03T06:00:00.000Z","39.26","45.31","32.90","37.65","-3.24","-15.91","432,379,609"
"2012-01-02T06:00:00.000Z","38.48","43.36","37.02","40.75","8.23","-4.44","259,732,969"
"2013-01-01T06:00:00.000Z","41.40","49.43","41.06","48.24","18.38","5.70","218,526,676"
"2014-01-01T06:00:00.000Z","48.12","48.15","39.04","42.02","-12.89","-25.57","286,324,087"
"2015-01-01T06:00:00.000Z","42.26","42.78","34.40","38.40","-8.61","-21.29","343,998,639"
"2016-01-01T06:00:00.000Z","37.75","48.05","33.84","46.83","21.95","9.28","258,712,718"
"2017-01-02T06:00:00.000Z","47.23","51.02","45.01","50.03","6.83","-5.84","217,694,755"
"2018-01-01T06:00:00.000Z","50.24","53.59","42.06","45.52","-9.01","-21.69","336,428,238"
"2019-01-02T06:00:00.000Z","44.73","56.20","44.17","52.49","15.31","2.64","261,790,474"
"2020-01-02T06:00:00.000Z","52.72","56.88","27.32","45.02","-14.23","-26.91","297,312,462"
"2021-01-04T06:00:00.000Z","45.04","59.39","44.16","57.76","28.30","15.62","214,860,643"
"2022-01-03T06:00:00.000Z","58.10","68.20","49.36","58.33","0.9868","-11.69","216,619,637"
"2023-01-03T06:00:00.000Z","58.39","63.93","52.85","62.30","6.81","-5.87","128,536,893"
