"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1971-06-01T05:00:00.000Z","0.5599","1.22","0.4954","0.8847","","-22.98","82,781,764"
"1972-01-03T06:00:00.000Z","0.8784","0.9922","0.4139","0.4424","-49.99","-72.98","109,190,558"
"1973-01-01T06:00:00.000Z","0.4455","0.5814","0.1169","0.1264","-71.43","-94.41","57,769,960"
"1974-01-01T06:00:00.000Z","0.1264","0.2907","0.0569","0.0695","-45.02","-68.00","21,825,420"
"1975-01-01T06:00:00.000Z","0.0727","0.2149","0.0727","0.1106","59.14","36.16","23,131,032"
"1976-01-01T06:00:00.000Z","0.1138","0.2180","0.1138","0.1643","48.55","25.57","29,741,546"
"1977-01-03T06:00:00.000Z","0.1643","0.1991","0.1422","0.1801","9.62","-13.36","22,763,018"
"1978-01-02T06:00:00.000Z","0.1801","0.3602","0.1548","0.1801","","-22.98","70,112,832"
"1979-01-01T06:00:00.000Z","0.1833","0.9053","0.1833","0.6872","281.57","258.58","100,559,062"
"1980-01-01T06:00:00.000Z","0.6872","1.76","0.5356","1.68","144.15","121.17","107,438,064"
"1981-01-01T06:00:00.000Z","1.68","2.03","0.8152","0.9669","-42.37","-65.35","57,185,842"
"1982-01-01T06:00:00.000Z","0.9858","2.12","0.7394","2.09","115.68","92.70","59,455,266"
"1983-01-03T06:00:00.000Z","2.07","2.26","1.15","1.31","-37.27","-60.25","79,933,070"
"1984-01-02T06:00:00.000Z","1.31","1.47","0.7489","0.9574","-26.81","-49.79","52,637,716"
"1985-01-01T06:00:00.000Z","0.9574","1.18","0.7678","0.9574","","-22.98","40,864,550"
"1986-01-01T06:00:00.000Z","0.9574","1.64","0.9479","1.40","46.53","23.55","68,769,164"
"1987-01-01T06:00:00.000Z","1.40","2.68","0.9479","1.26","-10.14","-33.12","163,657,200"
"1988-01-01T06:00:00.000Z","1.26","1.63","1.16","1.34","6.02","-16.96","53,290,458"
"1989-01-02T06:00:00.000Z","1.35","1.81","1.35","1.48","10.64","-12.34","32,150,718"
"1990-01-01T06:00:00.000Z","1.48","1.54","0.7204","1.27","-14.11","-37.09","33,135,826"
"1991-01-01T06:00:00.000Z","1.27","2.85","1.16","2.77","117.91","94.93","67,257,918"
"1992-01-01T06:00:00.000Z","2.73","4.72","2.65","4.28","54.80","31.81","205,390,624"
"1993-01-01T06:00:00.000Z","4.25","5.46","4.09","5.18","20.80","-2.18","108,770,576"
"1994-01-03T06:00:00.000Z","5.16","5.73","3.24","3.53","-31.87","-54.85","141,569,456"
"1995-01-02T06:00:00.000Z","3.58","5.80","3.47","5.72","62.09","39.11","107,781,728"
"1996-01-01T06:00:00.000Z","5.72","6.20","4.92","6.20","8.46","-14.52","91,248,988"
"1997-01-01T06:00:00.000Z","6.14","10.17","5.46","9.81","58.26","35.27","107,678,002"
"1998-01-01T06:00:00.000Z","9.84","16.47","6.77","11.49","17.10","-5.88","183,319,522"
"1999-01-01T06:00:00.000Z","11.60","12.68","5.94","7.39","-35.64","-58.62","150,443,692"
"2000-01-03T06:00:00.000Z","7.34","17.92","6.94","16.49","123.08","100.09","206,425,228"
"2001-01-01T06:00:00.000Z","16.95","22.70","14.12","21.30","29.16","6.18","502,176,880"
"2002-01-01T06:00:00.000Z","21.31","29.11","19.66","23.48","10.21","-12.77","851,540,614"
"2003-01-01T06:00:00.000Z","23.34","50.90","21.93","48.00","104.45","81.47","758,306,412"
"2004-01-01T06:00:00.000Z","48.00","57.20","40.30","56.68","18.08","-4.90","515,635,898"
"2005-01-03T06:00:00.000Z","56.68","68.86","50.30","61.02","7.66","-15.32","620,079,606"
"2006-01-02T06:00:00.000Z","61.19","66.44","38.66","52.46","-14.03","-37.01","574,534,800"
"2007-01-01T06:00:00.000Z","51.55","56.54","14.00","17.89","-65.90","-88.88","1,043,563,726"
"2008-01-01T06:00:00.000Z","17.73","22.73","3.42","8.67","-51.54","-74.52","1,991,238,282"
"2009-01-01T06:00:00.000Z","8.60","17.66","5.54","12.77","47.29","24.31","1,821,076,148"
"2010-01-01T06:00:00.000Z","12.81","21.79","11.93","18.75","46.83","23.85","1,488,382,652"
"2011-01-03T06:00:00.000Z","18.89","21.54","12.14","19.65","4.80","-18.18","1,206,783,740"
"2012-01-02T06:00:00.000Z","20.07","39.88","19.56","38.67","96.79","73.81","1,519,135,923"
"2013-01-01T06:00:00.000Z","39.95","44.40","30.90","39.56","2.30","-20.68","1,311,827,868"
"2014-01-01T06:00:00.000Z","39.16","48.00","35.73","44.81","13.27","-9.71","882,362,521"
"2015-01-01T06:00:00.000Z","44.99","56.04","41.25","48.91","9.15","-13.83","779,996,235"
"2016-01-01T06:00:00.000Z","48.15","49.60","37.14","42.93","-12.23","-35.21","632,144,553"
"2017-01-02T06:00:00.000Z","43.40","64.42","42.23","63.24","47.31","24.33","621,607,118"
"2018-01-01T06:00:00.000Z","63.93","72.17","37.29","39.15","-38.09","-61.07","1,115,327,918"
"2019-01-02T06:00:00.000Z","38.56","62.63","38.43","55.79","42.50","19.52","850,577,698"
"2020-01-02T06:00:00.000Z","56.07","86.80","25.42","76.23","36.64","13.66","859,426,614"
"2021-01-04T06:00:00.000Z","76.68","117.54","71.52","116.16","52.38","29.40","599,361,281"
"2022-01-03T06:00:00.000Z","115.84","116.36","62.54","90.50","-22.09","-45.07","670,238,535"
"2023-01-03T06:00:00.000Z","91.69","133.24","90.74","120.66","33.33","10.34","368,549,468"
