"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1988-07-01T05:00:00.000Z","20.94","21.48","16.38","17.18","","-21.37","1,393,772"
"1989-01-02T06:00:00.000Z","16.38","27.92","15.84","26.85","56.25","34.88","1,586,981"
"1990-01-01T06:00:00.000Z","26.85","35.44","19.33","23.62","-12.00","-33.37","16,395,322"
"1991-01-01T06:00:00.000Z","22.28","66.31","19.06","62.82","165.91","144.54","37,936,206"
"1992-01-01T06:00:00.000Z","59.60","62.82","33.56","38.39","-38.89","-60.26","34,736,341"
"1993-01-01T06:00:00.000Z","37.85","41.88","25.77","30.60","-20.28","-41.65","53,105,405"
"1994-01-03T06:00:00.000Z","30.34","33.83","22.82","28.46","-7.02","-28.39","36,911,522"
"1995-01-02T06:00:00.000Z","27.38","33.29","17.45","20.13","-29.25","-50.62","23,866,718"
"1996-01-01T06:00:00.000Z","19.60","20.13","5.10","6.17","-69.33","-90.71","21,827,451"
"1997-01-01T06:00:00.000Z","6.17","8.59","2.82","3.76","-39.13","-60.50","36,871,393"
"1998-01-01T06:00:00.000Z","3.76","5.91","2.42","2.95","-21.43","-42.80","27,997,867"
"1999-01-01T06:00:00.000Z","2.95","8.32","2.68","7.92","168.18","146.81","37,464,204"
"2000-01-03T06:00:00.000Z","7.92","39.30","6.71","37.80","377.29","355.91","275,421,915"
"2001-01-01T06:00:00.000Z","37.57","39.24","21.37","34.73","-8.13","-29.50","444,595,856"
"2002-01-01T06:00:00.000Z","34.62","44.99","15.90","19.96","-42.51","-63.88","511,119,316"
"2003-01-01T06:00:00.000Z","20.27","32.40","19.08","31.74","58.99","37.62","349,204,940"
"2004-01-01T06:00:00.000Z","32.22","42.98","31.53","42.80","34.83","13.46","235,431,430"
"2005-01-03T06:00:00.000Z","42.81","47.25","38.34","46.26","8.09","-13.28","204,736,601"
"2006-01-02T06:00:00.000Z","46.22","63.83","45.17","63.12","36.43","15.06","261,727,346"
"2007-01-01T06:00:00.000Z","62.97","70.72","55.95","64.89","2.80","-18.57","356,623,378"
"2008-01-01T06:00:00.000Z","64.89","69.39","45.47","55.33","-14.72","-36.09","381,969,251"
"2009-01-01T06:00:00.000Z","55.83","65.93","45.75","64.29","16.19","-5.18","376,152,045"
"2010-01-01T06:00:00.000Z","64.83","76.87","59.70","75.53","17.48","-3.89","323,013,377"
"2011-01-03T06:00:00.000Z","75.90","86.71","64.06","73.85","-2.22","-23.59","265,309,290"
"2012-01-02T06:00:00.000Z","74.92","81.87","70.07","74.41","0.7561","-20.62","229,952,237"
"2013-01-01T06:00:00.000Z","75.12","92.78","73.71","78.49","5.48","-15.89","239,332,233"
"2014-01-01T06:00:00.000Z","78.49","94.36","74.95","92.69","18.09","-3.28","285,260,606"
"2015-01-01T06:00:00.000Z","94.23","112.70","90.86","106.22","14.59","-6.78","328,605,535"
"2016-01-01T06:00:00.000Z","104.69","121.40","84.01","110.29","3.83","-17.54","250,097,182"
"2017-01-02T06:00:00.000Z","110.97","141.90","109.96","137.03","24.25","2.88","207,026,877"
"2018-01-01T06:00:00.000Z","137.45","163.53","102.56","108.55","-20.78","-42.15","225,650,843"
"2019-01-02T06:00:00.000Z","107.60","153.29","105.04","145.33","33.88","12.51","204,968,411"
"2020-01-02T06:00:00.000Z","146.01","187.94","84.21","174.86","20.32","-1.05","254,464,230"
"2021-01-04T06:00:00.000Z","174.66","272.47","172.40","269.93","54.37","32.99","198,434,075"
"2022-01-03T06:00:00.000Z","268.98","269.74","172.09","202.29","-25.06","-46.43","231,850,890"
"2023-01-03T06:00:00.000Z","203.17","222.41","179.58","206.58","2.12","-19.25","121,629,671"
