"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","3.47","4.00","2.46","3.77","","-11.54","26,176,645"
"1969-01-01T06:00:00.000Z","3.77","4.18","3.41","3.90","3.48","-8.06","26,121,367"
"1970-01-01T06:00:00.000Z","3.92","3.94","1.94","2.91","-25.42","-36.96","24,095,453"
"1971-01-01T06:00:00.000Z","2.88","3.63","2.38","2.70","-7.00","-18.54","31,243,285"
"1972-01-03T06:00:00.000Z","2.71","3.10","2.35","2.38","-11.89","-23.43","27,467,565"
"1973-01-01T06:00:00.000Z","2.40","2.59","1.29","1.44","-39.39","-50.94","23,295,759"
"1974-01-01T06:00:00.000Z","1.45","1.76","0.6828","0.7812","-45.91","-57.45","15,871,838"
"1975-01-01T06:00:00.000Z","0.7944","1.81","0.7615","1.81","131.11","119.57","37,163,009"
"1976-01-01T06:00:00.000Z","1.81","3.11","1.77","3.10","71.63","60.09","43,281,704"
"1977-01-03T06:00:00.000Z","3.09","4.91","2.94","4.90","58.05","46.51","38,574,876"
"1978-01-02T06:00:00.000Z","4.88","7.67","4.18","6.04","23.32","11.78","49,601,257"
"1979-01-01T06:00:00.000Z","6.04","7.20","5.28","6.91","14.35","2.81","43,316,891"
"1980-01-01T06:00:00.000Z","6.88","11.71","5.62","10.95","58.56","47.01","57,329,820"
"1981-01-01T06:00:00.000Z","10.95","12.66","7.88","8.64","-21.10","-32.64","49,274,242"
"1982-01-01T06:00:00.000Z","8.64","8.64","4.28","7.77","-10.03","-21.57","72,230,023"
"1983-01-03T06:00:00.000Z","7.77","10.90","6.99","8.43","8.45","-3.09","108,145,777"
"1984-01-02T06:00:00.000Z","8.40","8.95","4.78","5.70","-32.40","-43.94","109,245,372"
"1985-01-01T06:00:00.000Z","5.70","7.35","4.67","5.72","0.4598","-11.08","121,944,475"
"1986-01-01T06:00:00.000Z","5.72","7.75","5.36","6.25","9.17","-2.37","210,967,238"
"1987-01-01T06:00:00.000Z","6.30","8.98","4.62","5.46","-12.61","-24.15","178,201,749"
"1988-01-01T06:00:00.000Z","5.46","6.99","5.09","5.67","3.85","-7.69","96,423,913"
"1989-01-02T06:00:00.000Z","5.67","8.30","5.54","6.96","22.68","11.14","129,544,513"
"1990-01-01T06:00:00.000Z","6.99","7.59","2.89","4.18","-40.00","-51.54","139,434,190"
"1991-01-01T06:00:00.000Z","4.23","6.07","3.83","5.65","35.22","23.68","137,788,623"
"1992-01-01T06:00:00.000Z","6.09","7.46","5.59","7.04","24.65","13.11","118,169,679"
"1993-01-01T06:00:00.000Z","7.06","9.95","7.06","9.56","35.82","24.28","127,124,979"
"1994-01-03T06:00:00.000Z","9.56","10.98","7.93","8.93","-6.59","-18.13","136,467,196"
"1995-01-02T06:00:00.000Z","8.88","12.89","8.51","11.48","28.53","16.99","155,891,916"
"1996-01-01T06:00:00.000Z","11.42","14.99","10.27","14.42","25.63","14.09","165,285,116"
"1997-01-01T06:00:00.000Z","14.44","21.01","14.15","19.27","33.70","22.16","194,069,692"
"1998-01-01T06:00:00.000Z","19.38","23.24","11.58","15.39","-20.16","-31.70","183,128,032"
"1999-01-01T06:00:00.000Z","15.34","17.07","8.74","12.98","-15.63","-27.17","244,262,193"
"2000-01-03T06:00:00.000Z","13.01","19.16","10.09","14.90","14.75","3.21","222,133,867"
"2001-01-01T06:00:00.000Z","14.81","18.00","10.12","14.84","-0.3752","-11.92","221,718,041"
"2002-01-01T06:00:00.000Z","14.81","18.83","11.72","12.79","-13.80","-25.34","243,315,132"
"2003-01-01T06:00:00.000Z","12.84","19.21","12.33","18.46","44.30","32.76","200,911,470"
"2004-01-01T06:00:00.000Z","18.41","33.64","18.41","30.06","62.82","51.28","230,429,517"
"2005-01-03T06:00:00.000Z","30.11","44.54","26.21","41.85","39.21","27.67","225,000,800"
"2006-01-02T06:00:00.000Z","42.33","48.44","36.67","44.62","6.63","-4.91","220,599,019"
"2007-01-01T06:00:00.000Z","45.29","65.13","44.61","60.99","36.68","25.14","242,393,916"
"2008-01-01T06:00:00.000Z","60.86","64.91","26.82","37.02","-39.29","-50.84","352,612,802"
"2009-01-01T06:00:00.000Z","37.56","48.25","26.11","47.55","28.44","16.90","377,539,728"
"2010-01-01T06:00:00.000Z","47.70","54.50","40.24","45.30","-4.73","-16.27","254,293,177"
"2011-01-03T06:00:00.000Z","45.66","53.39","32.68","36.04","-20.44","-31.98","309,086,484"
"2012-01-02T06:00:00.000Z","36.76","52.23","35.98","48.96","35.85","24.31","219,520,069"
"2013-01-01T06:00:00.000Z","49.87","70.73","41.08","69.81","42.59","31.04","191,000,246"
"2014-01-01T06:00:00.000Z","69.63","79.32","60.78","71.82","2.88","-8.66","153,202,853"
"2015-01-01T06:00:00.000Z","72.35","89.78","66.15","86.90","21.00","9.46","248,865,951"
"2016-01-01T06:00:00.000Z","86.40","107.54","70.97","102.47","17.92","6.38","233,971,934"
"2017-01-02T06:00:00.000Z","103.38","144.94","99.13","141.65","38.24","26.69","185,579,886"
"2018-01-01T06:00:00.000Z","142.04","175.50","123.24","134.65","-4.94","-16.48","216,009,525"
"2019-01-02T06:00:00.000Z","133.03","217.31","129.46","197.87","46.95","35.41","312,280,050"
"2020-01-02T06:00:00.000Z","198.43","230.99","142.01","189.02","-4.47","-16.01","376,268,755"
"2021-01-04T06:00:00.000Z","187.96","246.08","168.70","213.24","12.81","1.27","283,819,833"
"2022-01-03T06:00:00.000Z","213.47","279.71","202.31","208.21","-2.36","-13.90","306,370,360"
"2023-01-03T06:00:00.000Z","207.59","219.31","174.55","177.26","-14.86","-26.41","190,153,797"
