"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1995-03-01T06:00:00.000Z","25.13","39.75","25.00","39.50","","-11.65","178,596,200"
"1996-01-01T06:00:00.000Z","39.19","48.31","36.50","45.75","15.82","4.18","250,557,802"
"1997-01-01T06:00:00.000Z","45.69","56.72","39.13","49.25","7.65","-4.00","284,050,000"
"1998-01-01T06:00:00.000Z","49.63","58.94","41.00","42.38","-13.96","-25.61","365,982,200"
"1999-01-01T06:00:00.000Z","41.25","46.00","16.38","21.88","-48.38","-60.02","501,518,602"
"2000-01-03T06:00:00.000Z","22.00","37.58","16.50","33.95","55.20","43.55","408,101,202"
"2001-01-01T06:00:00.000Z","33.95","52.98","31.00","46.67","37.47","25.82","491,441,489"
"2002-01-01T06:00:00.000Z","46.15","71.52","45.85","57.75","23.74","12.09","734,199,299"
"2003-01-01T06:00:00.000Z","58.07","58.95","40.64","51.40","-11.00","-22.64","663,723,218"
"2004-01-01T06:00:00.000Z","51.40","61.77","43.10","55.55","8.07","-3.57","592,223,092"
"2005-01-03T06:00:00.000Z","55.40","65.46","52.54","63.63","14.55","2.90","527,730,002"
"2006-01-02T06:00:00.000Z","63.30","93.24","62.52","92.07","44.70","33.05","502,530,205"
"2007-01-01T06:00:00.000Z","91.60","113.74","88.86","105.26","14.33","2.68","546,709,787"
"2008-01-01T06:00:00.000Z","105.77","120.30","67.38","84.08","-20.12","-31.77","677,887,349"
"2009-01-01T06:00:00.000Z","84.34","87.06","57.41","75.35","-10.38","-22.03","852,216,810"
"2010-01-01T06:00:00.000Z","75.87","87.19","67.68","69.91","-7.22","-18.87","660,267,665"
"2011-01-03T06:00:00.000Z","70.20","82.43","66.36","80.90","15.72","4.07","648,097,044"
"2012-01-02T06:00:00.000Z","82.12","95.92","79.05","92.29","14.08","2.43","441,970,890"
"2013-01-01T06:00:00.000Z","93.79","149.99","85.88","148.66","61.08","49.43","482,254,555"
"2014-01-01T06:00:00.000Z","147.05","198.72","144.69","192.57","29.54","17.89","384,573,366"
"2015-01-01T06:00:00.000Z","192.10","227.91","181.91","217.15","12.76","1.12","326,980,695"
"2016-01-01T06:00:00.000Z","214.00","269.90","200.47","249.94","15.10","3.45","498,439,986"
"2017-01-02T06:00:00.000Z","251.20","323.94","248.00","321.05","28.45","16.80","257,363,233"
"2018-01-01T06:00:00.000Z","322.00","363.00","241.18","261.84","-18.44","-30.09","374,352,315"
"2019-01-02T06:00:00.000Z","258.36","399.96","256.79","389.38","48.71","37.06","289,119,685"
"2020-01-02T06:00:00.000Z","392.86","442.53","266.11","354.98","-8.83","-20.48","374,882,688"
"2021-01-04T06:00:00.000Z","354.98","396.99","319.81","355.41","0.1211","-11.53","377,672,283"
"2022-01-03T06:00:00.000Z","354.68","498.95","353.03","486.49","36.88","25.23","408,318,250"
"2023-01-03T06:00:00.000Z","483.39","508.10","437.62","448.18","-7.87","-19.52","200,573,498"
