"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-04-03T06:00:00.000Z","10.44","10.81","9.63","10.06","","-5.13","1,255,000"
"1973-01-01T06:00:00.000Z","10.06","10.19","8.13","8.94","-11.18","-16.31","1,686,200"
"1974-01-01T06:00:00.000Z","9.00","9.50","6.75","6.94","-22.38","-27.51","1,575,200"
"1975-01-01T06:00:00.000Z","7.06","8.75","7.06","8.50","22.52","17.39","2,336,200"
"1976-01-01T06:00:00.000Z","8.44","11.38","8.38","11.13","30.88","25.75","3,666,600"
"1977-01-03T06:00:00.000Z","11.13","11.50","9.75","10.56","-5.06","-10.18","2,503,800"
"1978-01-02T06:00:00.000Z","10.56","10.94","9.19","9.50","-10.06","-15.19","1,940,200"
"1979-01-01T06:00:00.000Z","9.50","10.38","8.44","8.88","-6.58","-11.71","1,699,600"
"1980-01-01T06:00:00.000Z","8.81","9.88","7.06","8.44","-4.93","-10.06","2,318,800"
"1981-01-01T06:00:00.000Z","8.44","10.75","7.75","9.63","14.07","8.95","3,795,400"
"1982-01-01T06:00:00.000Z","9.63","14.75","9.56","12.00","24.68","19.55","7,299,400"
"1983-01-03T06:00:00.000Z","12.00","14.56","11.50","14.25","18.75","13.62","8,993,600"
"1984-01-02T06:00:00.000Z","14.25","15.44","12.81","14.88","4.39","-0.7419","7,885,600"
"1985-01-01T06:00:00.000Z","14.88","20.25","14.56","20.19","35.71","30.59","8,277,000"
"1986-01-01T06:00:00.000Z","20.19","30.13","19.50","25.00","23.84","18.71","7,570,200"
"1987-01-01T06:00:00.000Z","25.19","27.38","21.25","21.75","-13.00","-18.13","7,461,200"
"1988-01-01T06:00:00.000Z","21.75","23.88","11.06","11.50","-47.13","-52.25","4,738,400"
"1989-01-02T06:00:00.000Z","11.50","12.25","10.94","12.19","5.98","0.8504","9,935,600"
"1990-01-01T06:00:00.000Z","12.19","12.63","10.00","12.25","0.5128","-4.62","12,598,200"
"1991-01-01T06:00:00.000Z","12.25","16.38","11.31","16.38","33.67","28.55","11,957,400"
"1992-01-01T06:00:00.000Z","16.25","18.19","14.81","16.94","3.44","-1.69","9,945,400"
"1993-01-01T06:00:00.000Z","16.88","18.38","15.63","16.44","-2.95","-8.08","9,157,200"
"1994-01-03T06:00:00.000Z","16.44","16.44","13.19","13.69","-16.73","-21.86","11,405,200"
"1995-01-02T06:00:00.000Z","13.69","15.88","13.63","15.31","11.87","6.74","16,801,800"
"1996-01-01T06:00:00.000Z","15.25","16.44","13.75","14.06","-8.16","-13.29","22,557,200"
"1997-01-01T06:00:00.000Z","14.06","17.22","13.38","16.56","17.78","12.65","28,691,200"
"1998-01-01T06:00:00.000Z","16.44","17.69","14.00","16.13","-2.64","-7.77","53,259,400"
"1999-01-01T06:00:00.000Z","16.13","16.19","12.59","13.75","-14.73","-19.86","66,781,800"
"2000-01-03T06:00:00.000Z","13.75","18.88","12.88","15.94","15.91","10.78","73,702,400"
"2001-01-01T06:00:00.000Z","16.00","16.60","13.75","15.18","-4.75","-9.88","116,403,400"
"2002-01-01T06:00:00.000Z","15.18","15.51","7.14","8.28","-45.49","-50.62","186,072,202"
"2003-01-01T06:00:00.000Z","8.35","12.54","7.49","12.45","50.45","45.33","182,329,772"
"2004-01-01T06:00:00.000Z","12.46","14.40","11.75","14.30","14.86","9.73","146,300,400"
"2005-01-03T06:00:00.000Z","14.24","15.29","12.78","14.02","-1.96","-7.09","202,260,600"
"2006-01-02T06:00:00.000Z","14.09","19.98","13.89","18.89","34.70","29.57","254,698,600"
"2007-01-01T06:00:00.000Z","18.84","23.27","17.48","20.34","7.73","2.60","299,435,286"
"2008-01-01T06:00:00.000Z","20.29","21.18","11.40","14.59","-28.29","-33.41","370,166,096"
"2009-01-01T06:00:00.000Z","14.64","15.77","10.15","15.13","3.70","-1.43","404,350,354"
"2010-01-01T06:00:00.000Z","15.24","18.82","14.60","18.39","21.51","16.39","367,095,852"
"2011-01-03T06:00:00.000Z","18.53","22.25","16.95","22.05","19.96","14.83","323,095,634"
"2012-01-02T06:00:00.000Z","22.27","23.82","20.93","21.95","-0.4534","-5.58","268,045,828"
"2013-01-01T06:00:00.000Z","21.87","27.09","21.86","25.80","17.51","12.39","235,878,338"
"2014-01-01T06:00:00.000Z","25.80","34.89","25.00","33.21","28.72","23.59","268,897,772"
"2015-01-01T06:00:00.000Z","33.34","35.40","27.14","31.23","-5.98","-11.10","324,781,718"
"2016-01-01T06:00:00.000Z","31.26","40.99","30.38","37.89","21.35","16.22","387,722,213"
"2017-01-02T06:00:00.000Z","37.94","45.55","36.56","42.61","12.46","7.33","307,484,665"
"2018-01-01T06:00:00.000Z","42.62","46.58","36.84","42.25","-0.8449","-5.97","424,162,599"
"2019-01-02T06:00:00.000Z","42.16","55.40","40.75","54.72","29.51","24.39","340,140,322"
"2020-01-02T06:00:00.000Z","54.68","60.28","37.66","51.53","-5.83","-10.96","379,173,999"
"2021-01-04T06:00:00.000Z","51.53","62.35","45.99","61.47","19.29","14.16","311,513,431"
"2022-01-03T06:00:00.000Z","61.37","65.37","47.19","55.21","-10.18","-15.31","367,831,564"
"2023-01-03T06:00:00.000Z","55.24","56.26","49.16","49.79","-9.82","-14.94","243,509,745"
