"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-04-03T06:00:00.000Z","0.5063","0.5531","0.3833","0.5417","","-18.44","139,377,856"
"1973-01-01T06:00:00.000Z","0.5458","0.5917","0.3083","0.3167","-41.54","-59.97","235,935,712"
"1974-01-01T06:00:00.000Z","0.3083","0.4333","0.1583","0.2313","-26.97","-45.40","374,163,488"
"1975-01-01T06:00:00.000Z","0.2313","0.3792","0.2021","0.3792","63.94","45.50","356,547,616"
"1976-01-01T06:00:00.000Z","0.3813","0.4208","0.2969","0.3750","-1.11","-19.55","312,825,056"
"1977-01-03T06:00:00.000Z","0.3719","0.3719","0.2500","0.2844","-24.16","-42.60","372,127,872"
"1978-01-02T06:00:00.000Z","0.2813","0.3250","0.2063","0.2250","-20.89","-39.32","495,335,744"
"1979-01-01T06:00:00.000Z","0.2188","0.2563","0.2031","0.2266","0.7111","-17.73","422,935,616"
"1980-01-01T06:00:00.000Z","0.2266","0.3109","0.1672","0.2359","4.10","-14.33","362,887,744"
"1981-01-01T06:00:00.000Z","0.2391","0.3547","0.1969","0.2391","1.36","-17.08","422,993,760"
"1982-01-01T06:00:00.000Z","0.2414","0.6984","0.2227","0.6492","171.52","153.08","366,829,376"
"1983-01-03T06:00:00.000Z","0.6492","1.02","0.5414","0.6992","7.70","-10.74","662,059,904"
"1984-01-02T06:00:00.000Z","0.6992","0.7852","0.5078","0.7734","10.61","-7.83","670,595,200"
"1985-01-01T06:00:00.000Z","0.7734","0.9727","0.6484","0.8086","4.55","-13.89","650,672,000"
"1986-01-01T06:00:00.000Z","0.8086","1.30","0.7031","0.8125","0.4823","-17.96","1,200,457,600"
"1987-01-01T06:00:00.000Z","0.8125","1.02","0.4766","0.5039","-37.98","-56.42","981,651,200"
"1988-01-01T06:00:00.000Z","0.5078","0.7617","0.5078","0.6562","30.22","11.79","560,835,200"
"1989-01-02T06:00:00.000Z","0.6562","1.00","0.6484","0.9219","40.49","22.05","485,206,400"
"1990-01-01T06:00:00.000Z","0.9180","1.55","0.5742","0.7656","-16.95","-35.39","1,449,689,600"
"1991-01-01T06:00:00.000Z","0.7656","1.16","0.7188","1.07","39.29","20.85","905,004,800"
"1992-01-01T06:00:00.000Z","1.04","1.59","1.00","1.51","41.39","22.95","1,389,524,800"
"1993-01-01T06:00:00.000Z","1.52","3.74","1.51","3.72","146.64","128.20","1,153,825,600"
"1994-01-03T06:00:00.000Z","3.69","5.17","3.32","4.34","16.81","-1.63","1,237,794,400"
"1995-01-02T06:00:00.000Z","4.34","4.86","3.25","4.19","-3.60","-22.04","1,533,624,800"
"1996-01-01T06:00:00.000Z","4.20","5.44","3.58","4.45","6.34","-12.10","1,452,536,816"
"1997-01-01T06:00:00.000Z","4.48","6.14","3.95","5.96","33.86","15.42","1,539,674,416"
"1998-01-01T06:00:00.000Z","5.95","13.05","5.40","12.80","114.68","96.24","1,567,490,000"
"1999-01-01T06:00:00.000Z","12.88","16.61","10.75","14.94","16.73","-1.71","1,575,992,412"
"2000-01-03T06:00:00.000Z","14.70","16.81","8.56","11.13","-25.52","-43.96","2,137,981,200"
"2001-01-01T06:00:00.000Z","11.28","24.44","10.94","23.20","108.58","90.15","2,784,280,406"
"2002-01-01T06:00:00.000Z","23.01","25.00","16.25","18.75","-19.20","-37.64","2,512,572,410"
"2003-01-01T06:00:00.000Z","18.95","30.21","16.68","27.70","47.71","29.27","2,237,478,704"
"2004-01-01T06:00:00.000Z","27.93","30.27","22.95","28.80","3.97","-14.47","1,829,307,146"
"2005-01-03T06:00:00.000Z","28.99","34.85","25.36","33.33","15.75","-2.69","1,810,106,004"
"2006-01-02T06:00:00.000Z","33.30","34.83","26.15","31.15","-6.54","-24.98","2,079,837,812"
"2007-01-01T06:00:00.000Z","31.21","35.74","21.01","22.62","-27.38","-45.82","2,439,211,424"
"2008-01-01T06:00:00.000Z","22.78","28.49","15.76","21.52","-4.86","-23.30","3,893,000,300"
"2009-01-01T06:00:00.000Z","21.50","24.50","13.00","23.39","8.69","-9.75","3,916,601,230"
"2010-01-01T06:00:00.000Z","23.51","28.54","19.35","25.08","7.23","-11.21","3,518,522,937"
"2011-01-03T06:00:00.000Z","25.21","27.45","18.07","25.38","1.20","-17.24","3,824,428,348"
"2012-01-02T06:00:00.000Z","25.66","36.47","24.76","35.52","39.95","21.51","3,496,816,453"
"2013-01-01T06:00:00.000Z","36.13","52.08","34.43","49.55","39.50","21.06","1,980,772,911"
"2014-01-01T06:00:00.000Z","49.55","69.57","44.13","68.80","38.85","20.41","1,426,887,635"
"2015-01-01T06:00:00.000Z","69.00","78.13","64.22","76.04","10.52","-7.91","1,254,070,844"
"2016-01-01T06:00:00.000Z","74.69","83.65","62.62","71.12","-6.47","-24.91","1,392,236,200"
"2017-01-02T06:00:00.000Z","71.71","93.55","70.49","92.94","30.68","12.24","1,489,554,787"
"2018-01-01T06:00:00.000Z","93.02","117.70","81.16","92.36","-0.6241","-19.06","1,436,276,197"
"2019-01-02T06:00:00.000Z","91.22","121.46","90.23","119.76","29.67","11.23","1,125,873,039"
"2020-01-02T06:00:00.000Z","120.05","180.67","60.00","160.51","34.03","15.59","1,298,591,800"
"2021-01-04T06:00:00.000Z","160.77","263.31","150.84","258.48","61.04","42.60","934,195,048"
"2022-01-03T06:00:00.000Z","259.20","260.83","170.12","199.24","-22.92","-41.36","963,104,436"
"2023-01-03T06:00:00.000Z","201.49","237.21","187.44","232.51","16.70","-1.74","473,288,658"
