"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1989-11-01T06:00:00.000Z","0.9583","1.15","0.8542","1.06","","-26.54","31,424,156"
"1990-01-01T06:00:00.000Z","1.06","2.88","0.8125","0.9792","-7.84","-34.38","194,374,472"
"1991-01-01T06:00:00.000Z","0.9792","2.50","0.9167","1.79","82.98","56.44","139,253,288"
"1992-01-01T06:00:00.000Z","1.79","4.29","1.79","4.17","132.56","106.02","178,217,724"
"1993-01-01T06:00:00.000Z","4.17","6.69","3.06","4.06","-2.50","-29.04","350,019,408"
"1994-01-03T06:00:00.000Z","4.13","5.03","3.50","4.19","3.08","-23.46","245,918,400"
"1995-01-02T06:00:00.000Z","4.09","10.75","4.09","8.16","94.77","68.24","626,222,800"
"1996-01-01T06:00:00.000Z","8.22","11.75","4.94","11.50","41.00","14.46","604,299,992"
"1997-01-01T06:00:00.000Z","11.44","18.63","9.94","11.84","2.99","-23.55","775,626,800"
"1998-01-01T06:00:00.000Z","11.97","14.25","4.72","11.48","-3.10","-29.64","575,010,000"
"1999-01-01T06:00:00.000Z","11.50","27.19","9.44","23.56","105.31","78.77","392,162,196"
"2000-01-03T06:00:00.000Z","23.94","41.69","15.00","18.38","-22.02","-48.55","497,547,494"
"2001-01-01T06:00:00.000Z","18.53","29.65","14.04","20.57","11.95","-14.59","456,608,297"
"2002-01-01T06:00:00.000Z","20.80","24.14","4.08","8.77","-57.37","-83.90","414,625,592"
"2003-01-01T06:00:00.000Z","8.83","10.30","6.47","9.68","10.38","-16.16","332,964,859"
"2004-01-01T06:00:00.000Z","9.60","13.40","3.96","5.70","-41.12","-67.65","317,236,906"
"2005-01-03T06:00:00.000Z","5.75","5.79","3.85","4.32","-24.21","-50.75","150,941,617"
"2006-01-02T06:00:00.000Z","4.35","7.55","4.20","6.48","50.00","23.46","290,511,147"
"2007-01-01T06:00:00.000Z","6.56","6.80","3.08","3.25","-49.85","-76.38","411,784,078"
"2008-01-01T06:00:00.000Z","3.23","4.00","1.04","1.51","-53.54","-80.08","331,585,778"
"2009-01-01T06:00:00.000Z","1.51","3.00","1.06","2.70","78.81","52.27","203,242,659"
"2010-01-01T06:00:00.000Z","2.73","6.17","2.41","6.06","124.44","97.91","489,685,166"
"2011-01-03T06:00:00.000Z","6.11","7.38","4.70","5.94","-1.98","-28.52","350,196,743"
"2012-01-02T06:00:00.000Z","6.08","7.12","3.17","3.99","-32.83","-59.37","369,037,839"
"2013-01-01T06:00:00.000Z","4.05","5.77","3.89","5.49","37.59","11.06","250,726,368"
"2014-01-01T06:00:00.000Z","5.50","9.19","5.30","6.89","25.50","-1.04","333,170,247"
"2015-01-01T06:00:00.000Z","6.92","7.66","3.25","6.47","-6.10","-32.63","438,520,387"
"2016-01-01T06:00:00.000Z","6.40","7.99","4.02","7.36","13.76","-12.78","505,628,761"
"2017-01-02T06:00:00.000Z","7.39","7.55","5.05","5.78","-21.47","-48.01","205,552,120"
"2018-01-01T06:00:00.000Z","5.78","8.90","5.05","6.92","19.72","-6.81","285,798,120"
"2019-01-02T06:00:00.000Z","6.86","21.58","6.71","19.14","176.59","150.05","442,461,761"
"2020-01-02T06:00:00.000Z","19.46","46.37","13.54","45.82","139.39","112.86","376,720,079"
"2021-01-04T06:00:00.000Z","46.05","85.45","37.38","77.06","68.18","41.64","292,478,357"
"2022-01-03T06:00:00.000Z","77.54","79.22","43.41","64.88","-15.81","-42.34","381,915,851"
"2023-01-03T06:00:00.000Z","66.87","98.30","63.49","97.02","49.54","23.00","315,559,208"
