"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-11-01T06:00:00.000Z","0.0096","0.0129","0.0083","0.0129","","-24.76","31,554,931"
"1973-01-01T06:00:00.000Z","0.0125","0.0166","0.0083","0.0100","-22.48","-47.25","218,625,064"
"1974-01-01T06:00:00.000Z","0.0100","0.0196","0.0100","0.0137","37.00","12.24","176,580,957"
"1975-01-01T06:00:00.000Z","0.0137","0.0329","0.0133","0.0300","118.98","94.21","130,780,727"
"1976-01-01T06:00:00.000Z","0.0300","0.0758","0.0300","0.0741","147.00","122.24","295,718,567"
"1977-01-03T06:00:00.000Z","0.0745","0.1067","0.0745","0.1004","35.49","10.73","297,380,847"
"1978-01-02T06:00:00.000Z","0.1004","0.1904","0.0976","0.1225","22.01","-2.75","367,085,100"
"1979-01-01T06:00:00.000Z","0.1264","0.2435","0.1264","0.2130","73.88","49.11","219,018,177"
"1980-01-01T06:00:00.000Z","0.2107","0.5197","0.1639","0.5057","137.42","112.65","393,204,925"
"1981-01-01T06:00:00.000Z","0.5057","0.8498","0.4144","0.5070","0.2571","-24.51","419,781,069"
"1982-01-01T06:00:00.000Z","0.5070","1.12","0.4829","0.9350","84.42","59.65","584,055,696"
"1983-01-03T06:00:00.000Z","0.9350","1.55","0.8779","1.19","27.70","2.94","526,987,948"
"1984-01-02T06:00:00.000Z","1.19","1.29","0.6475","0.9657","-19.12","-43.89","635,444,793"
"1985-01-01T06:00:00.000Z","0.9657","1.36","0.9328","1.18","22.16","-2.60","722,568,441"
"1986-01-01T06:00:00.000Z","1.17","1.21","0.8011","0.9054","-23.25","-48.02","1,161,755,273"
"1987-01-01T06:00:00.000Z","0.9054","1.11","0.5158","0.5871","-35.16","-59.92","917,444,844"
"1988-01-01T06:00:00.000Z","0.6091","0.9164","0.5761","0.8889","51.41","26.64","723,746,026"
"1989-01-02T06:00:00.000Z","0.8834","1.35","0.8615","1.05","18.52","-6.25","957,846,426"
"1990-01-01T06:00:00.000Z","1.05","1.32","0.8395","1.15","9.38","-15.39","641,528,113"
"1991-01-01T06:00:00.000Z","1.14","2.30","1.08","2.25","95.00","70.24","700,320,494"
"1992-01-01T06:00:00.000Z","2.21","3.93","2.13","3.88","72.89","48.13","597,508,334"
"1993-01-01T06:00:00.000Z","3.88","7.43","3.59","7.38","90.04","65.28","624,743,396"
"1994-01-03T06:00:00.000Z","7.36","7.70","3.06","3.31","-55.18","-79.95","972,415,920"
"1995-01-02T06:00:00.000Z","3.36","5.90","3.23","4.54","37.31","12.55","927,439,633"
"1996-01-01T06:00:00.000Z","4.54","6.57","4.07","4.35","-4.35","-29.11","1,007,842,139"
"1997-01-01T06:00:00.000Z","4.42","7.78","4.20","7.30","67.90","43.13","864,059,049"
"1998-01-01T06:00:00.000Z","7.37","10.56","6.81","10.08","38.20","13.43","817,460,942"
"1999-01-01T06:00:00.000Z","9.97","15.72","9.58","10.75","6.61","-18.15","844,074,946"
"2000-01-03T06:00:00.000Z","10.79","23.33","10.00","22.35","107.94","83.17","688,596,189"
"2001-01-01T06:00:00.000Z","22.17","23.32","11.25","18.48","-17.33","-42.09","755,825,408"
"2002-01-01T06:00:00.000Z","18.25","22.00","10.90","13.90","-24.78","-49.55","718,689,996"
"2003-01-01T06:00:00.000Z","14.10","19.69","11.72","16.14","16.12","-8.65","640,328,386"
"2004-01-01T06:00:00.000Z","16.22","17.06","12.88","16.28","0.8674","-23.90","926,895,197"
"2005-01-03T06:00:00.000Z","16.34","16.95","13.05","16.43","0.9214","-23.84","949,376,426"
"2006-01-02T06:00:00.000Z","16.37","18.20","14.61","15.32","-6.76","-31.52","1,209,865,097"
"2007-01-01T06:00:00.000Z","15.46","16.96","12.12","12.20","-20.37","-45.13","1,879,597,040"
"2008-01-01T06:00:00.000Z","12.18","16.77","7.05","8.62","-29.34","-54.11","2,579,009,653"
"2009-01-01T06:00:00.000Z","8.61","11.78","4.95","11.43","32.60","7.83","2,527,019,572"
"2010-01-01T06:00:00.000Z","11.40","14.32","10.42","12.98","13.56","-11.20","1,968,797,027"
"2011-01-03T06:00:00.000Z","13.03","13.59","7.15","8.56","-34.05","-58.82","2,337,317,793"
"2012-01-02T06:00:00.000Z","8.72","10.61","7.76","10.24","19.63","-5.14","1,923,936,096"
"2013-01-01T06:00:00.000Z","10.45","19.00","10.36","18.84","83.98","59.22","1,728,911,986"
"2014-01-01T06:00:00.000Z","18.85","43.19","18.78","42.32","124.63","99.86","1,903,122,610"
"2015-01-01T06:00:00.000Z","42.69","51.34","31.36","43.06","1.75","-23.02","1,962,169,099"
"2016-01-01T06:00:00.000Z","41.70","51.31","33.96","49.84","15.75","-9.02","1,766,897,168"
"2017-01-02T06:00:00.000Z","50.40","66.98","48.71","65.45","31.32","6.56","1,292,834,059"
"2018-01-01T06:00:00.000Z","65.91","66.52","44.28","46.48","-28.98","-53.75","1,307,826,087"
"2019-01-02T06:00:00.000Z","46.05","58.77","44.61","53.98","16.14","-8.63","1,015,634,876"
"2020-01-02T06:00:00.000Z","54.38","58.83","22.46","46.61","-13.65","-38.42","3,401,003,490"
"2021-01-04T06:00:00.000Z","46.48","64.75","38.66","42.84","-8.09","-32.85","1,906,999,962"
"2022-01-03T06:00:00.000Z","43.17","50.10","30.20","33.67","-21.41","-46.17","1,613,033,836"
"2023-01-03T06:00:00.000Z","33.82","39.53","28.40","31.42","-6.68","-31.45","1,203,491,808"
