"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","0.5838","1.32","0.5518","1.13","","-11.33","31,172,763"
"1969-01-01T06:00:00.000Z","1.13","1.40","1.04","1.17","3.64","-7.70","25,350,365"
"1970-01-01T06:00:00.000Z","1.19","1.30","0.8174","1.26","7.60","-3.73","29,601,533"
"1971-01-01T06:00:00.000Z","1.24","2.23","1.24","2.16","70.66","59.33","25,031,890"
"1972-01-03T06:00:00.000Z","2.17","3.53","2.01","3.11","44.26","32.93","35,770,816"
"1973-01-01T06:00:00.000Z","3.14","3.46","2.25","2.46","-20.97","-32.31","46,214,918"
"1974-01-01T06:00:00.000Z","2.46","2.53","1.04","1.63","-33.52","-44.85","38,875,486"
"1975-01-01T06:00:00.000Z","1.65","3.04","1.65","2.58","57.98","46.64","52,978,405"
"1976-01-01T06:00:00.000Z","2.58","3.49","2.09","2.90","12.24","0.9011","73,120,484"
"1977-01-03T06:00:00.000Z","2.90","2.90","1.92","2.24","-22.75","-34.08","46,756,325"
"1978-01-02T06:00:00.000Z","2.21","2.86","1.72","2.18","-2.46","-13.79","40,404,154"
"1979-01-01T06:00:00.000Z","2.18","2.99","2.10","2.80","28.30","16.97","63,433,429"
"1980-01-01T06:00:00.000Z","2.80","3.79","2.17","3.34","19.12","7.78","58,629,929"
"1981-01-01T06:00:00.000Z","3.31","4.64","3.08","4.07","21.81","10.48","63,148,621"
"1982-01-01T06:00:00.000Z","4.07","6.26","2.95","6.24","53.38","42.04","108,618,446"
"1983-01-03T06:00:00.000Z","6.24","8.13","5.44","7.42","18.94","7.61","113,787,729"
"1984-01-02T06:00:00.000Z","7.42","7.45","4.95","6.15","-17.04","-28.37","119,720,885"
"1985-01-01T06:00:00.000Z","6.15","9.31","5.71","8.85","43.75","32.41","109,235,838"
"1986-01-01T06:00:00.000Z","8.85","15.17","8.57","12.75","44.10","32.76","147,267,934"
"1987-01-01T06:00:00.000Z","12.80","17.97","8.24","9.51","-25.43","-36.77","169,752,168"
"1988-01-01T06:00:00.000Z","9.73","13.35","9.67","11.15","17.34","6.01","153,442,918"
"1989-01-02T06:00:00.000Z","11.15","13.68","10.44","10.72","-3.94","-15.28","193,306,923"
"1990-01-01T06:00:00.000Z","10.72","11.76","6.26","7.53","-29.74","-41.08","164,488,938"
"1991-01-01T06:00:00.000Z","7.53","11.65","7.47","10.33","37.23","25.89","179,751,560"
"1992-01-01T06:00:00.000Z","10.28","13.19","9.67","13.02","26.06","14.73","210,184,422"
"1993-01-01T06:00:00.000Z","12.80","17.09","11.21","16.27","24.89","13.56","230,676,149"
"1994-01-03T06:00:00.000Z","16.38","17.53","9.34","9.95","-38.85","-50.19","267,861,345"
"1995-01-02T06:00:00.000Z","10.11","13.85","9.89","13.79","38.67","27.34","226,689,548"
"1996-01-01T06:00:00.000Z","13.68","16.21","11.65","15.83","14.74","3.41","249,174,453"
"1997-01-01T06:00:00.000Z","15.99","23.66","14.84","22.36","41.32","29.98","238,300,640"
"1998-01-01T06:00:00.000Z","22.20","29.01","18.24","25.28","13.02","1.69","264,205,269"
"1999-01-01T06:00:00.000Z","25.50","29.62","19.78","22.31","-11.74","-23.07","307,131,748"
"2000-01-03T06:00:00.000Z","22.20","23.74","12.75","22.58","1.23","-10.10","398,694,023"
"2001-01-01T06:00:00.000Z","22.64","23.68","15.61","21.54","-4.62","-15.96","468,308,914"
"2002-01-01T06:00:00.000Z","21.54","25.87","15.17","18.51","-14.08","-25.42","680,836,310"
"2003-01-01T06:00:00.000Z","18.74","25.00","14.59","24.10","30.21","18.88","580,785,468"
"2004-01-01T06:00:00.000Z","24.08","32.55","22.75","32.12","33.27","21.94","633,290,476"
"2005-01-03T06:00:00.000Z","32.13","33.79","23.87","26.54","-17.36","-28.69","686,039,016"
"2006-01-02T06:00:00.000Z","26.89","29.63","22.73","26.26","-1.06","-12.39","802,889,677"
"2007-01-01T06:00:00.000Z","26.24","30.53","18.37","19.00","-27.65","-38.99","1,122,203,461"
"2008-01-01T06:00:00.000Z","18.98","20.66","6.00","9.79","-48.50","-59.83","1,734,034,665"
"2009-01-01T06:00:00.000Z","9.87","13.63","3.20","12.14","24.08","12.75","1,602,001,429"
"2010-01-01T06:00:00.000Z","12.28","16.51","8.74","11.13","-8.33","-19.66","1,473,285,187"
"2011-01-03T06:00:00.000Z","11.32","13.21","5.80","9.21","-17.22","-28.55","1,626,274,261"
"2012-01-02T06:00:00.000Z","9.50","15.11","9.45","14.65","58.97","47.63","1,785,028,590"
"2013-01-01T06:00:00.000Z","14.98","20.17","14.87","20.02","36.67","25.34","1,285,162,681"
"2014-01-01T06:00:00.000Z","19.98","22.49","17.14","22.16","10.67","-0.6624","1,272,937,068"
"2015-01-01T06:00:00.000Z","22.32","30.61","20.42","28.30","27.73","16.40","1,141,941,994"
"2016-01-01T06:00:00.000Z","27.83","37.38","23.10","31.62","11.73","0.3968","1,022,015,975"
"2017-01-02T06:00:00.000Z","31.89","44.44","31.29","43.94","38.96","27.63","659,882,271"
"2018-01-01T06:00:00.000Z","44.05","46.45","27.03","29.24","-33.45","-44.79","928,969,278"
"2019-01-02T06:00:00.000Z","28.74","48.36","28.62","47.99","64.12","52.79","808,251,164"
"2020-01-02T06:00:00.000Z","48.20","60.16","27.04","54.93","14.46","3.13","706,908,252"
"2021-01-04T06:00:00.000Z","53.98","70.82","51.97","70.22","27.84","16.50","489,379,681"
"2022-01-03T06:00:00.000Z","70.20","71.06","42.33","46.67","-33.54","-44.87","535,087,040"
