"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1984-10-01T05:00:00.000Z","2.96","3.20","2.79","3.01","","-24.41","9,459,556"
"1985-01-01T06:00:00.000Z","3.01","4.13","2.74","3.31","10.00","-14.41","67,251,268"
"1986-01-01T06:00:00.000Z","3.29","5.78","3.07","3.67","10.75","-13.66","169,930,112"
"1987-01-01T06:00:00.000Z","3.67","5.59","1.51","1.75","-52.24","-76.65","159,230,400"
"1988-01-01T06:00:00.000Z","1.78","2.60","1.75","2.30","31.25","6.84","69,474,156"
"1989-01-02T06:00:00.000Z","2.30","2.98","1.51","1.56","-32.14","-56.55","39,645,628"
"1990-01-01T06:00:00.000Z","1.56","1.59","0.3696","0.5476","-64.91","-89.32","47,371,548"
"1991-01-01T06:00:00.000Z","0.5476","3.94","0.3970","3.70","575.00","550.59","396,198,508"
"1992-01-01T06:00:00.000Z","3.64","6.43","3.59","5.83","57.78","33.37","628,575,728"
"1993-01-01T06:00:00.000Z","5.80","10.95","5.78","10.90","86.85","62.45","287,370,136"
"1994-01-03T06:00:00.000Z","10.90","11.83","6.82","8.41","-22.86","-47.27","271,807,808"
"1995-01-02T06:00:00.000Z","8.38","10.71","6.95","9.47","12.70","-11.70","260,758,388"
"1996-01-01T06:00:00.000Z","9.47","12.46","8.24","12.21","28.90","4.49","230,861,816"
"1997-01-01T06:00:00.000Z","12.24","16.18","10.73","13.76","12.67","-11.74","219,015,232"
"1998-01-01T06:00:00.000Z","13.81","17.41","11.80","13.58","-1.29","-25.70","326,997,680"
"1999-01-01T06:00:00.000Z","13.58","14.22","8.78","9.28","-31.65","-56.06","218,049,676"
"2000-01-03T06:00:00.000Z","9.36","11.86","8.47","9.41","1.33","-23.07","202,769,820"
"2001-01-01T06:00:00.000Z","9.41","15.48","9.07","14.24","51.34","26.94","281,761,460"
"2002-01-01T06:00:00.000Z","14.18","17.51","11.07","12.59","-11.53","-35.94","363,559,244"
"2003-01-01T06:00:00.000Z","12.65","20.63","11.27","20.01","58.91","34.50","272,888,860"
"2004-01-01T06:00:00.000Z","20.01","21.33","16.87","20.64","3.12","-21.29","226,646,000"
"2005-01-03T06:00:00.000Z","20.69","20.69","15.00","18.00","-12.80","-37.21","290,559,200"
"2006-01-02T06:00:00.000Z","18.06","20.84","17.10","20.14","11.91","-12.50","327,342,400"
"2007-01-01T06:00:00.000Z","20.10","25.07","17.78","20.11","-0.1490","-24.56","581,540,348"
"2008-01-01T06:00:00.000Z","20.22","20.49","5.70","7.48","-62.79","-87.20","829,712,640"
"2009-01-01T06:00:00.000Z","7.53","12.99","4.91","12.64","68.99","44.59","928,860,172"
"2010-01-01T06:00:00.000Z","12.81","26.49","12.79","26.00","105.61","81.21","723,213,622"
"2011-01-03T06:00:00.000Z","26.25","31.10","15.02","16.66","-35.94","-60.35","640,232,058"
"2012-01-02T06:00:00.000Z","17.09","25.07","16.66","25.01","50.17","25.76","445,435,948"
"2013-01-01T06:00:00.000Z","25.50","44.38","25.39","41.03","64.05","39.65","329,541,076"
"2014-01-01T06:00:00.000Z","40.87","57.24","39.96","54.34","32.45","8.04","294,521,414"
"2015-01-01T06:00:00.000Z","54.50","59.42","40.31","40.56","-25.37","-49.77","403,989,893"
"2016-01-01T06:00:00.000Z","39.90","47.21","30.41","43.40","7.00","-17.41","442,183,087"
"2017-01-02T06:00:00.000Z","43.89","58.07","39.50","56.67","30.58","6.17","329,064,420"
"2018-01-01T06:00:00.000Z","56.79","67.47","42.88","45.45","-19.80","-44.21","332,173,260"
"2019-01-02T06:00:00.000Z","44.57","57.09","42.51","54.84","20.66","-3.75","250,768,883"
"2020-01-02T06:00:00.000Z","55.67","75.65","22.75","70.80","29.10","4.69","267,249,329"
"2021-01-04T06:00:00.000Z","71.62","104.28","68.30","80.94","14.32","-10.09","348,540,044"
"2022-01-03T06:00:00.000Z","81.63","90.15","45.58","56.18","-30.59","-55.00","314,934,316"
"2023-01-03T06:00:00.000Z","57.02","68.92","48.18","58.95","4.93","-19.48","196,484,318"
