"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1988-05-02T05:00:00.000Z","2.75","3.25","2.19","2.56","","-17.78","127,200"
"1989-01-02T06:00:00.000Z","2.69","4.88","2.31","3.91","52.44","34.66","2,931,600"
"1990-01-01T06:00:00.000Z","3.91","4.09","2.38","2.44","-37.60","-55.38","7,363,200"
"1991-01-01T06:00:00.000Z","2.47","3.84","2.47","2.84","16.67","-1.11","19,897,600"
"1992-01-01T06:00:00.000Z","2.88","5.13","2.69","4.78","68.13","50.35","41,818,800"
"1993-01-01T06:00:00.000Z","4.81","12.44","4.75","9.78","104.58","86.80","101,356,000"
"1994-01-03T06:00:00.000Z","9.78","9.91","5.66","6.03","-38.34","-56.12","108,435,600"
"1995-01-02T06:00:00.000Z","6.00","8.09","5.69","5.75","-4.66","-22.44","103,876,000"
"1996-01-01T06:00:00.000Z","5.72","12.19","5.69","8.72","51.63","33.85","168,385,200"
"1997-01-01T06:00:00.000Z","8.75","11.72","8.03","9.03","3.58","-14.20","219,809,600"
"1998-01-01T06:00:00.000Z","9.09","9.97","5.64","6.78","-24.91","-42.69","171,122,000"
"1999-01-01T06:00:00.000Z","6.78","13.64","6.78","12.58","85.48","67.71","222,944,000"
"2000-01-03T06:00:00.000Z","12.58","19.41","9.22","14.09","12.05","-5.73","288,828,800"
"2001-01-01T06:00:00.000Z","14.50","16.43","8.10","14.44","2.42","-15.36","299,060,798"
"2002-01-01T06:00:00.000Z","14.44","21.02","13.90","16.48","14.20","-3.58","512,557,000"
"2003-01-01T06:00:00.000Z","16.55","19.30","12.04","18.80","14.07","-3.71","459,482,174"
"2004-01-01T06:00:00.000Z","18.84","36.75","18.36","36.37","93.41","75.63","425,765,804"
"2005-01-03T06:00:00.000Z","36.37","46.77","32.57","36.67","0.8249","-16.95","533,172,801"
"2006-01-02T06:00:00.000Z","36.95","59.52","34.20","57.35","56.39","38.62","378,179,500"
"2007-01-01T06:00:00.000Z","57.40","100.50","56.40","84.02","46.50","28.72","501,895,455"
"2008-01-01T06:00:00.000Z","84.49","84.92","8.00","13.76","-83.62","-101.40","1,021,382,274"
"2009-01-01T06:00:00.000Z","13.65","16.89","1.81","9.12","-33.72","-51.50","5,957,207,111"
"2010-01-01T06:00:00.000Z","9.43","16.66","8.92","14.85","62.83","45.05","7,380,356,480"
"2011-01-03T06:00:00.000Z","15.23","16.94","7.40","10.43","-29.76","-47.54","5,645,750,173"
"2012-01-02T06:00:00.000Z","10.63","14.94","8.83","11.64","11.60","-6.18","2,864,979,118"
"2013-01-01T06:00:00.000Z","11.96","23.65","11.72","23.52","102.06","84.28","2,461,526,383"
"2014-01-01T06:00:00.000Z","23.54","28.75","17.25","21.38","-9.10","-26.88","2,411,765,531"
"2015-01-01T06:00:00.000Z","21.32","24.41","16.84","22.72","6.27","-11.51","2,380,238,513"
"2016-01-01T06:00:00.000Z","22.06","30.62","16.18","28.83","26.89","9.11","1,709,984,587"
"2017-01-02T06:00:00.000Z","29.01","34.65","25.15","33.39","15.82","-1.96","2,145,302,098"
"2018-01-01T06:00:00.000Z","32.99","38.41","21.61","24.26","-27.34","-45.12","2,259,142,387"
"2019-01-02T06:00:00.000Z","23.85","33.87","23.68","33.27","37.14","19.36","1,522,034,360"
"2020-01-02T06:00:00.000Z","33.52","34.63","5.90","31.51","-5.29","-23.07","4,758,351,189"
"2021-01-04T06:00:00.000Z","31.69","51.17","27.81","44.88","42.43","24.65","1,863,669,072"
"2022-01-03T06:00:00.000Z","45.04","49.00","26.41","33.53","-25.29","-43.07","1,337,068,600"
"2023-01-03T06:00:00.000Z","33.93","51.35","33.23","44.35","32.27","14.49","737,666,416"
