"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-04-03T06:00:00.000Z","0.8359","1.04","0.7656","1.03","","-11.45","23,500,800"
"1973-01-01T06:00:00.000Z","1.04","1.05","0.5625","0.5859","-43.18","-54.64","41,593,600"
"1974-01-01T06:00:00.000Z","0.5859","0.5859","0.3398","0.3789","-35.33","-46.78","37,344,000"
"1975-01-01T06:00:00.000Z","0.3789","0.5977","0.3711","0.5195","37.11","25.65","45,312,000"
"1976-01-01T06:00:00.000Z","0.5195","0.6211","0.5000","0.5352","3.02","-8.43","49,062,400"
"1977-01-03T06:00:00.000Z","0.5352","0.6016","0.4531","0.4805","-10.22","-21.67","75,580,800"
"1978-01-02T06:00:00.000Z","0.4805","0.5391","0.3945","0.4531","-5.70","-17.16","141,200,000"
"1979-01-01T06:00:00.000Z","0.4453","0.8008","0.4219","0.6094","34.50","23.04","354,131,200"
"1980-01-01T06:00:00.000Z","0.5859","1.02","0.5000","0.5781","-5.14","-16.59","552,441,600"
"1981-01-01T06:00:00.000Z","0.5742","0.6875","0.5117","0.6094","5.41","-6.04","242,099,200"
"1982-01-01T06:00:00.000Z","0.5977","1.01","0.5664","0.8320","36.53","25.07","277,776,000"
"1983-01-03T06:00:00.000Z","0.8320","1.12","0.7695","0.9453","13.62","2.16","326,883,200"
"1984-01-02T06:00:00.000Z","0.9453","1.07","0.8828","1.00","5.79","-5.67","350,233,600"
"1985-01-01T06:00:00.000Z","1.00","1.19","0.9609","1.07","7.03","-4.42","341,020,800"
"1986-01-01T06:00:00.000Z","1.07","1.43","1.05","1.23","14.97","3.51","398,032,000"
"1987-01-01T06:00:00.000Z","1.23","1.61","0.9297","1.14","-7.31","-18.76","357,001,600"
"1988-01-01T06:00:00.000Z","1.14","1.81","1.12","1.75","53.43","41.97","315,843,200"
"1989-01-02T06:00:00.000Z","1.73","3.36","1.59","3.22","83.93","72.48","338,392,000"
"1990-01-01T06:00:00.000Z","3.22","3.31","2.25","3.22","","-11.45","244,045,600"
"1991-01-01T06:00:00.000Z","3.22","6.63","3.06","6.59","104.85","93.40","282,064,000"
"1992-01-01T06:00:00.000Z","6.50","7.56","5.13","7.56","14.69","3.24","175,036,800"
"1993-01-01T06:00:00.000Z","7.44","7.44","5.00","6.16","-18.60","-30.05","353,295,604"
"1994-01-03T06:00:00.000Z","6.13","6.19","4.44","4.56","-25.89","-37.34","294,597,600"
"1995-01-02T06:00:00.000Z","4.56","6.66","4.53","6.03","32.19","20.74","308,785,200"
"1996-01-01T06:00:00.000Z","6.00","6.34","4.72","5.89","-2.33","-13.79","305,620,000"
"1997-01-01T06:00:00.000Z","5.94","7.09","5.66","7.00","18.83","7.38","258,938,800"
"1998-01-01T06:00:00.000Z","7.00","9.11","6.77","8.45","20.76","9.30","262,654,400"
"1999-01-01T06:00:00.000Z","8.47","8.66","6.66","7.44","-12.01","-23.47","177,495,600"
"2000-01-03T06:00:00.000Z","7.50","9.44","5.94","9.02","21.22","9.76","150,893,600"
"2001-01-01T06:00:00.000Z","9.09","11.63","8.50","10.49","16.38","4.93","164,940,000"
"2002-01-01T06:00:00.000Z","10.43","13.63","10.35","11.60","10.56","-0.8991","940,199,992"
"2003-01-01T06:00:00.000Z","11.63","15.11","10.86","15.05","29.74","18.29","248,440,706"
"2004-01-01T06:00:00.000Z","15.00","19.47","14.30","19.30","28.24","16.78","209,991,400"
"2005-01-03T06:00:00.000Z","19.23","19.57","14.47","15.46","-19.90","-31.35","293,862,998"
"2006-01-02T06:00:00.000Z","15.60","19.91","15.04","19.28","24.71","13.25","274,627,200"
"2007-01-01T06:00:00.000Z","19.20","19.86","16.95","18.95","-1.69","-13.14","354,695,320"
"2008-01-01T06:00:00.000Z","18.88","21.03","14.11","15.93","-15.96","-27.41","446,013,232"
"2009-01-01T06:00:00.000Z","16.09","18.40","14.04","18.07","13.40","1.95","406,894,554"
"2010-01-01T06:00:00.000Z","18.20","23.91","17.70","23.27","28.78","17.33","379,669,342"
"2011-01-03T06:00:00.000Z","23.38","25.63","21.68","25.21","8.36","-3.09","338,419,254"
"2012-01-02T06:00:00.000Z","25.46","33.19","24.93","31.77","26.00","14.55","278,884,718"
"2013-01-01T06:00:00.000Z","32.16","37.63","30.41","34.46","8.48","-2.97","300,597,834"
"2014-01-01T06:00:00.000Z","34.44","38.54","31.38","37.15","7.81","-3.65","314,527,476"
"2015-01-01T06:00:00.000Z","37.26","43.73","35.35","42.78","15.15","3.70","345,674,390"
"2016-01-01T06:00:00.000Z","42.23","53.92","39.23","46.66","9.08","-2.37","376,058,720"
"2017-01-02T06:00:00.000Z","46.88","53.25","44.83","50.95","9.19","-2.26","443,476,906"
"2018-01-01T06:00:00.000Z","51.01","78.00","49.17","69.62","36.63","25.18","513,347,978"
"2019-01-02T06:00:00.000Z","68.89","86.66","59.50","84.86","21.90","10.44","466,788,390"
"2020-01-02T06:00:00.000Z","84.69","105.53","56.11","95.60","12.65","1.20","360,533,055"
"2021-01-04T06:00:00.000Z","95.78","98.80","77.85","96.61","1.06","-10.40","321,399,365"
"2022-01-03T06:00:00.000Z","96.10","107.35","71.19","82.89","-14.20","-25.66","330,655,696"
"2023-01-03T06:00:00.000Z","83.24","94.39","70.60","80.46","-2.93","-14.39","237,434,802"
