"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-02-01T06:00:00.000Z","2.47","3.67","2.28","3.36","","-9.48","18,760,404"
"1969-01-01T06:00:00.000Z","3.34","3.54","1.57","2.11","-37.15","-46.63","33,361,860"
"1970-01-01T06:00:00.000Z","2.04","2.33","1.44","2.23","5.42","-4.06","65,082,582"
"1971-01-01T06:00:00.000Z","2.14","2.98","2.14","2.74","22.90","13.42","50,526,648"
"1972-01-03T06:00:00.000Z","2.74","2.86","1.86","1.93","-29.66","-39.13","87,025,718"
"1973-01-01T06:00:00.000Z","1.93","2.15","1.27","1.80","-6.49","-15.96","74,240,954"
"1974-01-01T06:00:00.000Z","1.80","2.08","1.27","1.83","1.73","-7.75","41,245,852"
"1975-01-01T06:00:00.000Z","1.83","2.57","1.71","2.43","32.39","22.91","71,233,756"
"1976-01-01T06:00:00.000Z","2.43","2.57","2.19","2.36","-2.58","-12.05","61,545,024"
"1977-01-03T06:00:00.000Z","2.36","2.68","2.23","2.55","7.71","-1.77","70,955,364"
"1978-01-02T06:00:00.000Z","2.54","2.86","2.15","2.57","1.02","-8.46","81,635,306"
"1979-01-01T06:00:00.000Z","2.57","3.01","2.46","2.93","13.97","4.49","57,335,418"
"1980-01-01T06:00:00.000Z","2.92","2.95","2.22","2.86","-2.31","-11.79","119,717,146"
"1981-01-01T06:00:00.000Z","2.85","3.54","2.47","2.75","-4.00","-13.48","102,762,414"
"1982-01-01T06:00:00.000Z","2.75","3.71","2.47","3.44","25.00","15.52","131,387,080"
"1983-01-03T06:00:00.000Z","3.44","4.23","3.05","4.15","20.61","11.13","167,349,706"
"1984-01-02T06:00:00.000Z","4.11","4.95","2.98","4.92","18.59","9.11","268,611,204"
"1985-01-01T06:00:00.000Z","4.90","6.96","4.71","6.79","38.14","28.66","173,754,072"
"1986-01-01T06:00:00.000Z","6.79","12.79","6.77","10.13","49.08","39.60","185,276,408"
"1987-01-01T06:00:00.000Z","10.29","12.00","7.29","8.25","-18.52","-28.00","350,941,616"
"1988-01-01T06:00:00.000Z","8.29","9.96","7.54","9.38","13.64","4.16","166,482,110"
"1989-01-02T06:00:00.000Z","9.38","14.96","9.19","13.00","38.67","29.19","185,478,036"
"1990-01-01T06:00:00.000Z","13.00","13.50","9.96","13.00","","-9.48","182,602,234"
"1991-01-01T06:00:00.000Z","12.94","14.54","11.52","13.56","4.33","-5.15","172,420,286"
"1992-01-01T06:00:00.000Z","13.40","15.75","11.88","15.23","12.29","2.81","150,761,006"
"1993-01-01T06:00:00.000Z","15.27","16.27","12.83","13.54","-11.08","-20.56","181,017,640"
"1994-01-03T06:00:00.000Z","13.52","14.79","11.88","13.21","-2.46","-11.94","171,041,498"
"1995-01-02T06:00:00.000Z","13.19","15.02","12.69","14.79","11.99","2.51","193,895,364"
"1996-01-01T06:00:00.000Z","14.73","19.15","14.04","17.33","17.18","7.71","236,539,568"
"1997-01-01T06:00:00.000Z","17.33","26.67","17.10","24.85","43.39","33.91","292,754,480"
"1998-01-01T06:00:00.000Z","24.83","32.16","21.69","29.22","17.56","8.08","254,597,776"
"1999-01-01T06:00:00.000Z","29.22","48.38","28.56","47.84","63.74","54.27","340,237,600"
"2000-01-03T06:00:00.000Z","47.25","67.84","35.25","58.50","22.27","12.80","462,748,400"
"2001-01-01T06:00:00.000Z","58.38","59.03","39.50","53.73","-8.16","-17.64","531,381,802"
"2002-01-01T06:00:00.000Z","54.20","57.30","34.61","46.21","-13.99","-23.47","502,707,100"
"2003-01-01T06:00:00.000Z","45.93","54.97","38.27","47.89","3.64","-5.84","528,152,063"
"2004-01-01T06:00:00.000Z","47.75","49.69","22.75","32.90","-31.30","-40.78","915,300,915"
"2005-01-03T06:00:00.000Z","33.25","34.25","26.67","31.76","-3.47","-12.94","625,181,501"
"2006-01-02T06:00:00.000Z","32.00","32.73","24.00","30.66","-3.46","-12.94","665,444,394"
"2007-01-01T06:00:00.000Z","31.00","33.90","23.12","26.47","-13.67","-23.14","863,302,382"
"2008-01-01T06:00:00.000Z","26.50","36.82","20.96","24.27","-8.31","-17.79","1,200,757,511"
"2009-01-01T06:00:00.000Z","24.17","25.46","17.18","22.08","-9.02","-18.50","1,273,998,329"
"2010-01-01T06:00:00.000Z","22.21","27.50","20.21","27.34","23.82","14.35","802,406,035"
"2011-01-03T06:00:00.000Z","27.51","32.00","25.29","31.62","15.65","6.18","892,525,903"
"2012-01-02T06:00:00.000Z","32.09","35.78","30.69","34.47","9.01","-0.4639","684,330,918"
"2013-01-01T06:00:00.000Z","35.01","48.56","34.43","48.36","40.30","30.82","622,557,742"
"2014-01-01T06:00:00.000Z","48.01","58.74","44.25","57.24","18.36","8.89","511,663,420"
"2015-01-01T06:00:00.000Z","57.53","59.99","50.90","55.45","-3.13","-12.60","523,493,868"
"2016-01-01T06:00:00.000Z","54.48","69.77","50.81","67.59","21.89","12.42","537,762,402"
"2017-01-02T06:00:00.000Z","67.85","86.54","66.75","81.39","20.42","10.94","446,776,594"
"2018-01-01T06:00:00.000Z","81.84","89.59","74.30","79.75","-2.01","-11.49","475,697,559"
"2019-01-02T06:00:00.000Z","78.74","113.94","77.85","111.41","39.70","30.22","415,917,855"
"2020-01-02T06:00:00.000Z","111.59","120.97","74.33","117.00","5.02","-4.46","536,410,877"
"2021-01-04T06:00:00.000Z","116.43","175.12","106.95","173.82","48.56","39.09","455,681,397"
"2022-01-03T06:00:00.000Z","172.04","183.14","142.80","165.48","-4.80","-14.28","476,292,669"
"2023-01-03T06:00:00.000Z","166.31","197.79","151.86","195.77","18.30","8.83","271,143,407"
