"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","5.86","7.38","5.14","6.54","","-6.97","44,876,800"
"1969-01-01T06:00:00.000Z","6.44","7.38","5.92","6.85","4.78","-2.19","57,160,000"
"1970-01-01T06:00:00.000Z","6.85","7.14","4.47","6.19","-9.69","-16.66","102,310,400"
"1971-01-01T06:00:00.000Z","6.05","8.44","5.99","8.44","36.36","29.39","77,028,800"
"1972-01-03T06:00:00.000Z","8.33","10.78","8.09","10.70","26.85","19.88","51,494,400"
"1973-01-01T06:00:00.000Z","10.70","11.45","8.75","9.75","-8.90","-15.88","76,536,800"
"1974-01-01T06:00:00.000Z","9.75","10.06","5.58","5.77","-40.87","-47.84","86,796,000"
"1975-01-01T06:00:00.000Z","5.72","8.50","5.38","6.94","20.33","13.35","133,517,600"
"1976-01-01T06:00:00.000Z","6.92","8.33","6.52","7.08","2.03","-4.94","147,587,200"
"1977-01-03T06:00:00.000Z","7.08","7.13","5.63","6.06","-14.35","-21.32","129,964,800"
"1978-01-02T06:00:00.000Z","6.02","8.25","5.38","7.89","30.15","23.18","168,013,600"
"1979-01-01T06:00:00.000Z","7.89","8.25","6.02","6.28","-20.40","-27.37","196,969,600"
"1980-01-01T06:00:00.000Z","6.28","7.86","5.73","7.38","17.41","10.44","231,278,400"
"1981-01-01T06:00:00.000Z","7.38","8.13","6.00","6.81","-7.63","-14.60","249,490,400"
"1982-01-01T06:00:00.000Z","6.81","9.92","6.09","9.38","37.61","30.64","409,554,400"
"1983-01-03T06:00:00.000Z","9.38","11.31","9.08","10.31","10.00","3.03","351,077,600"
"1984-01-02T06:00:00.000Z","10.31","10.69","8.66","9.83","-4.70","-11.67","391,100,800"
"1985-01-01T06:00:00.000Z","9.83","11.45","9.20","11.22","14.15","7.18","513,736,000"
"1986-01-01T06:00:00.000Z","11.22","14.86","10.75","14.58","29.94","22.97","609,527,200"
"1987-01-01T06:00:00.000Z","14.67","20.88","11.25","16.09","10.40","3.43","743,296,800"
"1988-01-01T06:00:00.000Z","16.13","16.88","13.81","15.50","-3.69","-10.66","512,589,200"
"1989-01-02T06:00:00.000Z","15.41","20.47","15.03","19.91","28.43","21.46","476,957,200"
"1990-01-01T06:00:00.000Z","19.91","22.84","18.41","21.44","7.69","0.7217","461,319,600"
"1991-01-01T06:00:00.000Z","21.44","24.38","19.56","23.81","11.08","4.11","407,544,000"
"1992-01-01T06:00:00.000Z","23.69","26.75","21.38","25.16","5.64","-1.33","307,238,400"
"1993-01-01T06:00:00.000Z","25.19","29.25","24.31","27.19","8.07","1.10","335,369,600"
