"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1985-12-02T06:00:00.000Z","0.0651","0.0814","0.0651","0.0814","","-39.13","41,322,744"
"1986-01-01T06:00:00.000Z","0.0814","0.1790","0.0488","0.0488","-40.05","-79.17","235,836,526"
"1987-01-01T06:00:00.000Z","0.0488","0.0814","0.0163","0.0163","-66.60","-105.72","97,003,776"
"1988-01-01T06:00:00.000Z","0.0163","0.0781","0.0163","0.0475","191.41","152.29","197,785,002"
"1989-01-02T06:00:00.000Z","0.0475","0.0547","0.0195","0.0195","-58.95","-98.07","112,531,220"
"1990-01-01T06:00:00.000Z","0.0208","0.0573","0.0182","0.0195","","-39.13","146,947,260"
"1991-01-01T06:00:00.000Z","0.0195","0.0247","0.0143","0.0234","20.00","-19.13","45,484,802"
"1992-01-01T06:00:00.000Z","0.0234","0.0560","0.0130","0.0462","97.44","58.31","120,028,836"
"1993-01-01T06:00:00.000Z","0.0469","0.0482","0.0221","0.0273","-40.91","-80.03","170,908,850"
"1994-01-03T06:00:00.000Z","0.0280","0.0326","0.0176","0.0195","-28.57","-67.70","222,278,472"
"1995-01-02T06:00:00.000Z","0.0189","0.0215","0.0062","0.0072","-63.08","-102.20","177,196,872"
"1996-01-01T06:00:00.000Z","0.0078","0.0280","0.0065","0.0111","54.17","15.04","652,781,274"
"1997-01-01T06:00:00.000Z","0.0137","0.0280","0.0101","0.0189","70.27","31.14","453,437,074"
"1998-01-01T06:00:00.000Z","0.0189","0.0710","0.0153","0.0560","196.30","157.17","1,440,202,792"
"1999-01-01T06:00:00.000Z","0.0560","0.0586","0.0358","0.0449","-19.82","-58.95","1,114,676,052"
"2000-01-03T06:00:00.000Z","0.0446","0.0664","0.0312","0.0404","-10.02","-49.15","677,309,242"
"2001-01-01T06:00:00.000Z","0.0397","0.0456","0.0270","0.0437","8.17","-30.96","312,288,154"
"2002-01-01T06:00:00.000Z","0.0442","0.0484","0.0312","0.0440","0.6865","-38.44","150,945,146"
"2003-01-01T06:00:00.000Z","0.0439","0.0979","0.0330","0.0877","99.32","60.19","286,490,926"
"2004-01-01T06:00:00.000Z","0.0878","0.3834","0.0787","0.3793","332.50","293.37","4,947,674,310"
"2005-01-03T06:00:00.000Z","0.3895","1.84","0.3372","1.64","332.88","293.75","11,265,341,256"
"2006-01-02T06:00:00.000Z","1.68","4.39","1.62","2.81","70.94","31.82","17,255,480,214"
"2007-01-01T06:00:00.000Z","2.82","5.70","2.71","3.69","31.50","-7.63","6,085,663,666"
"2008-01-01T06:00:00.000Z","3.70","3.80","1.71","2.79","-24.29","-63.42","8,233,185,678"
"2009-01-01T06:00:00.000Z","2.75","3.67","2.33","3.20","14.52","-24.60","4,318,460,110"
"2010-01-01T06:00:00.000Z","3.22","4.56","2.00","4.36","36.15","-2.98","2,625,250,358"
"2011-01-03T06:00:00.000Z","4.39","8.20","4.31","7.68","76.24","37.12","2,980,299,008"
"2012-01-02T06:00:00.000Z","7.80","13.99","6.67","8.81","14.70","-24.43","3,715,904,538"
"2013-01-01T06:00:00.000Z","8.95","11.39","7.56","11.29","28.25","-10.87","2,664,071,572"
"2014-01-01T06:00:00.000Z","11.31","18.92","10.50","18.06","59.88","20.75","2,184,560,232"
"2015-01-01T06:00:00.000Z","18.23","26.75","17.80","24.83","37.48","-1.65","1,846,256,314"
"2016-01-01T06:00:00.000Z","24.42","27.75","18.85","22.17","-10.70","-49.83","1,922,330,736"
"2017-01-02T06:00:00.000Z","22.32","32.40","20.51","31.64","42.74","3.61","1,092,612,852"
"2018-01-01T06:00:00.000Z","31.70","35.11","23.80","24.61","-22.23","-61.36","1,578,098,724"
"2019-01-02T06:00:00.000Z","24.28","33.19","23.92","31.77","29.11","-10.01","1,675,341,576"
"2020-01-02T06:00:00.000Z","31.98","46.27","25.03","46.24","45.52","6.40","1,344,387,918"
"2021-01-04T06:00:00.000Z","46.26","49.95","40.46","48.02","3.85","-35.28","1,015,820,156"
"2022-01-03T06:00:00.000Z","47.76","52.33","35.89","50.77","5.72","-33.41","1,370,781,516"
"2023-01-03T06:00:00.000Z","50.88","60.47","48.63","56.55","11.40","-27.73","704,986,983"
