"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1988-01-01T06:00:00.000Z","11.50","22.56","11.25","22.06","","-12.25","81,975,400"
"1989-01-02T06:00:00.000Z","22.06","24.88","15.63","16.88","-23.51","-35.76","70,866,800"
"1990-01-01T06:00:00.000Z","16.88","19.31","15.19","17.44","3.33","-8.92","42,439,800"
"1991-01-01T06:00:00.000Z","17.44","30.00","16.50","28.38","62.72","50.47","55,832,800"
"1992-01-01T06:00:00.000Z","28.25","34.00","18.63","21.31","-24.89","-37.14","61,274,600"
"1993-01-01T06:00:00.000Z","21.31","23.63","12.19","22.69","6.45","-5.80","64,532,200"
"1994-01-03T06:00:00.000Z","22.63","24.63","15.38","21.88","-3.58","-15.83","103,326,800"
"1995-01-02T06:00:00.000Z","21.81","40.88","20.63","40.75","86.29","74.03","100,649,000"
"1996-01-01T06:00:00.000Z","40.88","44.50","32.25","39.13","-3.99","-16.24","162,338,000"
"1997-01-01T06:00:00.000Z","39.13","42.50","29.63","32.75","-16.29","-28.54","134,748,100"
"1998-01-01T06:00:00.000Z","33.06","39.50","17.81","21.38","-34.73","-46.98","119,257,900"
"1999-01-01T06:00:00.000Z","21.69","27.13","12.75","16.38","-23.39","-35.64","172,266,696"
"2000-01-03T06:00:00.000Z","17.00","19.38","11.00","15.56","-4.96","-17.21","113,140,000"
"2001-01-01T06:00:00.000Z","15.75","16.69","8.00","13.00","-16.47","-28.72","123,034,600"
"2002-01-01T06:00:00.000Z","13.20","15.55","8.52","10.67","-17.92","-30.17","177,490,801"
"2003-01-01T06:00:00.000Z","10.82","11.45","5.82","9.93","-6.94","-19.19","254,099,291"
"2004-01-01T06:00:00.000Z","10.20","18.58","9.85","16.32","64.35","52.10","293,323,904"
"2005-01-03T06:00:00.000Z","16.28","17.99","12.36","14.63","-10.36","-22.61","206,634,700"
"2006-01-02T06:00:00.000Z","14.64","23.54","13.31","21.36","46.00","33.75","279,384,903"
"2007-01-01T06:00:00.000Z","21.61","97.60","19.49","94.34","341.67","329.42","709,305,478"
"2008-01-01T06:00:00.000Z","95.73","163.25","21.94","34.60","-63.32","-75.58","2,201,074,787"
"2009-01-01T06:00:00.000Z","35.18","62.46","31.17","59.73","72.63","60.38","1,793,995,443"
"2010-01-01T06:00:00.000Z","60.45","76.80","37.68","76.36","27.84","15.59","1,266,251,744"
"2011-01-03T06:00:00.000Z","77.46","89.24","44.86","50.43","-33.96","-46.21","1,760,216,015"
"2012-01-02T06:00:00.000Z","51.62","61.98","44.43","56.63","12.29","0.0432","998,586,060"
"2013-01-01T06:00:00.000Z","58.06","64.65","39.75","47.27","-16.53","-28.78","1,101,258,310"
"2014-01-01T06:00:00.000Z","47.25","51.25","40.32","45.65","-3.43","-15.68","729,480,575"
"2015-01-01T06:00:00.000Z","45.86","53.83","26.96","27.59","-39.56","-51.81","1,070,464,107"
"2016-01-01T06:00:00.000Z","27.31","31.54","22.02","29.33","6.31","-5.94","1,415,489,034"
"2017-01-02T06:00:00.000Z","29.65","34.36","19.23","25.66","-12.51","-24.76","1,139,118,689"
"2018-01-01T06:00:00.000Z","25.95","37.37","22.90","29.21","13.83","1.58","1,093,607,199"
"2019-01-02T06:00:00.000Z","28.79","33.91","17.36","21.64","-25.92","-38.17","1,164,176,896"
"2020-01-02T06:00:00.000Z","21.92","23.70","6.50","23.01","6.33","-5.92","1,310,055,543"
"2021-01-04T06:00:00.000Z","23.35","43.24","23.22","39.29","70.75","58.50","1,285,555,695"
"2022-01-03T06:00:00.000Z","39.50","79.28","37.08","43.87","11.66","-0.5941","1,673,844,291"
"2023-01-03T06:00:00.000Z","43.75","57.46","31.44","39.85","-9.16","-21.41","692,434,333"
