"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1970-01-01T06:00:00.000Z","1.49","1.49","0.9734","1.31","","-11.72","356,643,830"
"1971-01-01T06:00:00.000Z","1.28","1.74","1.25","1.64","25.25","13.53","302,532,908"
"1972-01-03T06:00:00.000Z","1.64","2.39","1.64","2.36","43.75","32.03","212,557,970"
"1973-01-01T06:00:00.000Z","2.36","2.69","2.02","2.14","-9.39","-21.11","289,692,238"
"1974-01-01T06:00:00.000Z","2.14","2.28","1.24","1.76","-17.81","-29.53","385,798,584"
"1975-01-01T06:00:00.000Z","1.76","2.27","1.52","1.83","4.34","-7.38","435,458,264"
"1976-01-01T06:00:00.000Z","1.83","2.16","1.66","1.80","-1.64","-13.35","487,251,144"
"1977-01-03T06:00:00.000Z","1.77","1.81","1.32","1.47","-18.52","-30.24","511,346,631"
"1978-01-02T06:00:00.000Z","1.46","1.83","1.25","1.79","21.84","10.12","585,464,302"
"1979-01-01T06:00:00.000Z","1.79","1.97","1.66","1.91","6.85","-4.87","609,121,836"
"1980-01-01T06:00:00.000Z","1.91","2.28","1.54","2.24","17.30","5.59","704,442,841"
"1981-01-01T06:00:00.000Z","2.24","2.73","2.02","2.24","","-11.72","963,780,973"
"1982-01-01T06:00:00.000Z","2.25","2.34","1.70","2.24","-0.1515","-11.87","1,210,471,031"
"1983-01-03T06:00:00.000Z","2.24","2.77","2.17","2.39","6.80","-4.92","1,287,269,287"
"1984-01-02T06:00:00.000Z","2.39","2.58","2.07","2.49","4.01","-7.70","1,667,492,561"
"1985-01-01T06:00:00.000Z","2.49","3.65","2.39","3.63","45.74","34.03","1,743,082,677"
"1986-01-01T06:00:00.000Z","3.63","6.86","3.56","6.56","80.83","69.12","1,943,994,269"
"1987-01-01T06:00:00.000Z","6.58","11.81","6.46","8.40","27.96","16.24","2,792,611,153"
"1988-01-01T06:00:00.000Z","8.48","9.48","7.63","9.18","9.31","-2.41","1,531,176,533"
"1989-01-02T06:00:00.000Z","9.10","12.83","8.94","12.32","34.20","22.48","1,219,728,560"
"1990-01-01T06:00:00.000Z","12.28","14.48","10.64","14.27","15.89","4.17","1,262,995,391"
"1991-01-01T06:00:00.000Z","14.18","26.53","13.02","26.46","85.39","73.67","1,030,610,503"
"1992-01-01T06:00:00.000Z","26.37","26.97","19.31","20.68","-21.85","-33.56","1,207,351,119"
"1993-01-01T06:00:00.000Z","20.92","21.04","13.65","16.57","-19.88","-31.60","1,645,380,743"
"1994-01-03T06:00:00.000Z","16.57","18.83","13.41","18.18","9.71","-2.00","1,291,994,520"
"1995-01-02T06:00:00.000Z","18.12","32.06","17.34","31.29","72.13","60.41","1,238,875,980"
"1996-01-01T06:00:00.000Z","30.87","40.17","26.94","37.96","21.33","9.62","1,403,661,032"
"1997-01-01T06:00:00.000Z","37.96","52.89","37.19","50.54","33.12","21.41","1,595,690,669"
"1998-01-01T06:00:00.000Z","50.18","77.12","48.33","70.50","39.50","27.79","1,500,690,262"
"1999-01-01T06:00:00.000Z","70.86","83.31","58.11","64.06","-9.13","-20.85","1,294,746,846"
"2000-01-03T06:00:00.000Z","65.44","92.19","49.58","89.27","39.35","27.63","1,528,121,732"
"2001-01-01T06:00:00.000Z","89.04","90.82","54.16","56.07","-37.20","-48.91","1,524,229,132"
"2002-01-01T06:00:00.000Z","56.40","61.50","36.71","53.98","-3.72","-15.44","1,872,032,183"
"2003-01-01T06:00:00.000Z","54.90","60.55","38.68","44.05","-18.39","-30.11","1,873,161,547"
"2004-01-01T06:00:00.000Z","46.61","47.04","24.41","30.65","-30.43","-42.15","2,823,202,304"
"2005-01-03T06:00:00.000Z","30.50","33.72","24.31","30.33","-1.03","-12.74","2,650,538,871"
"2006-01-02T06:00:00.000Z","31.01","44.22","30.33","41.57","37.06","25.35","2,574,234,842"
"2007-01-01T06:00:00.000Z","41.98","58.76","40.38","55.41","33.28","21.56","3,008,093,903"
"2008-01-01T06:00:00.000Z","55.45","58.34","21.76","28.99","-47.69","-59.40","4,864,632,628"
"2009-01-01T06:00:00.000Z","29.04","36.63","19.12","34.84","20.20","8.48","4,977,924,455"
"2010-01-01T06:00:00.000Z","35.11","39.63","29.27","34.37","-1.37","-13.09","4,027,756,243"
"2011-01-03T06:00:00.000Z","34.60","36.14","28.10","35.95","4.61","-7.11","4,448,883,121"
"2012-01-02T06:00:00.000Z","36.12","45.77","35.19","39.04","8.59","-3.12","3,509,944,766"
"2013-01-01T06:00:00.000Z","39.91","48.08","38.93","47.72","22.25","10.54","3,981,309,158"
"2014-01-01T06:00:00.000Z","47.56","59.31","47.01","54.15","13.47","1.75","2,774,969,516"
"2015-01-01T06:00:00.000Z","54.56","60.66","43.57","50.37","-6.99","-18.71","2,949,628,761"
"2016-01-01T06:00:00.000Z","49.59","62.42","45.74","56.13","11.45","-0.2626","2,692,949,293"
"2017-01-02T06:00:00.000Z","56.40","63.70","51.14","53.65","-4.42","-16.13","2,574,380,930"
"2018-01-01T06:00:00.000Z","53.96","76.46","50.37","72.86","35.79","24.07","2,984,758,647"
"2019-01-02T06:00:00.000Z","71.79","88.33","68.70","86.72","19.03","7.31","2,585,338,730"
"2020-01-02T06:00:00.000Z","86.85","87.86","62.22","78.00","-10.06","-21.78","2,724,416,528"
"2021-01-04T06:00:00.000Z","78.19","91.40","68.38","76.64","-1.74","-13.46","3,247,723,150"
"2022-01-03T06:00:00.000Z","76.58","112.89","72.88","110.95","44.77","33.05","2,657,999,125"
"2023-01-03T06:00:00.000Z","110.41","119.65","101.75","109.84","-1.00","-12.72","1,295,371,062"
