"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-04-03T06:00:00.000Z","1.26","1.29","1.09","1.14","","-12.56","6,092,000"
"1973-01-01T06:00:00.000Z","1.14","1.23","0.7625","0.8250","-27.47","-40.03","7,542,000"
"1974-01-01T06:00:00.000Z","0.8375","0.9187","0.4875","0.5250","-36.36","-48.92","4,264,000"
"1975-01-01T06:00:00.000Z","0.5625","0.8000","0.4250","0.4375","-16.67","-29.22","5,312,000"
"1976-01-01T06:00:00.000Z","0.4500","0.5375","0.2875","0.3750","-14.29","-26.84","14,046,000"
"1977-01-03T06:00:00.000Z","0.3750","0.4375","0.3125","0.3750","","-12.56","14,056,000"
"1978-01-02T06:00:00.000Z","0.3750","0.6000","0.3688","0.4500","20.00","7.44","18,762,000"
"1979-01-01T06:00:00.000Z","0.4437","0.7000","0.4437","0.5375","19.44","6.89","19,934,000"
"1980-01-01T06:00:00.000Z","0.5250","0.8125","0.4688","0.8000","48.84","36.28","23,758,000"
"1981-01-01T06:00:00.000Z","0.8125","1.00","0.7000","0.9625","20.31","7.76","18,590,000"
"1982-01-01T06:00:00.000Z","0.9625","1.30","0.7750","1.21","25.97","13.42","15,478,000"
"1983-01-03T06:00:00.000Z","1.19","1.89","1.18","1.89","55.67","43.11","18,232,000"
"1984-01-02T06:00:00.000Z","1.88","2.33","1.56","2.29","21.19","8.64","16,292,000"
"1985-01-01T06:00:00.000Z","2.29","3.58","2.21","3.45","50.82","38.26","19,794,000"
"1986-01-01T06:00:00.000Z","3.49","4.95","3.46","3.85","11.59","-0.9627","20,934,000"
"1987-01-01T06:00:00.000Z","3.88","5.90","3.50","4.15","7.79","-4.76","33,382,000"
"1988-01-01T06:00:00.000Z","4.15","5.63","3.90","5.22","25.90","13.35","35,244,000"
"1989-01-02T06:00:00.000Z","5.21","7.25","5.14","6.58","25.84","13.28","10,909,000"
"1990-01-01T06:00:00.000Z","6.58","6.75","4.70","5.47","-16.73","-29.29","9,511,000"
"1991-01-01T06:00:00.000Z","5.47","9.97","5.25","9.97","82.19","69.63","15,888,000"
"1992-01-01T06:00:00.000Z","9.93","14.20","9.90","13.45","34.84","22.28","13,764,000"
"1993-01-01T06:00:00.000Z","13.40","15.90","13.03","14.07","4.65","-7.91","10,491,000"
"1994-01-03T06:00:00.000Z","14.00","16.50","13.45","13.60","-3.37","-15.93","9,782,000"
"1995-01-02T06:00:00.000Z","13.65","21.80","13.60","21.80","60.29","47.74","8,542,000"
"1996-01-01T06:00:00.000Z","21.70","28.96","20.90","28.80","32.11","19.55","8,595,000"
"1997-01-01T06:00:00.000Z","28.55","46.80","28.10","46.50","61.46","48.90","9,243,000"
"1998-01-01T06:00:00.000Z","46.20","58.20","40.00","51.89","11.60","-0.9576","25,913,200"
"1999-01-01T06:00:00.000Z","51.42","58.25","40.60","41.42","-20.17","-32.73","18,709,500"
"2000-01-03T06:00:00.000Z","41.50","68.42","35.70","68.00","64.15","51.60","44,739,600"
"2001-01-01T06:00:00.000Z","66.40","82.11","59.80","72.85","7.13","-5.42","58,019,700"
"2002-01-01T06:00:00.000Z","73.25","90.05","67.70","79.35","8.92","-3.63","82,647,700"
"2003-01-01T06:00:00.000Z","79.80","98.98","74.71","98.30","23.88","11.32","81,328,042"
"2004-01-01T06:00:00.000Z","98.10","108.75","82.90","107.84","9.70","-2.85","112,711,092"
"2005-01-03T06:00:00.000Z","107.84","112.50","96.71","109.05","1.12","-11.43","78,724,500"
"2006-01-02T06:00:00.000Z","109.05","124.98","105.72","122.16","12.02","-0.5349","70,582,600"
"2007-01-01T06:00:00.000Z","121.94","125.13","77.39","81.57","-33.23","-45.78","155,567,874"
"2008-01-01T06:00:00.000Z","82.17","108.53","52.20","57.41","-29.62","-42.18","433,279,731"
"2009-01-01T06:00:00.000Z","58.74","69.89","29.11","66.89","16.51","3.96","378,727,699"
"2010-01-01T06:00:00.000Z","67.63","96.15","66.32","87.05","30.14","17.58","351,962,835"
"2011-01-03T06:00:00.000Z","87.67","91.05","66.40","76.34","-12.30","-24.86","244,087,979"
"2012-01-02T06:00:00.000Z","77.85","105.33","76.82","98.47","28.99","16.43","177,164,919"
"2013-01-01T06:00:00.000Z","100.33","119.54","95.68","116.42","18.23","5.67","198,402,813"
"2014-01-01T06:00:00.000Z","116.38","128.96","109.16","125.62","7.90","-4.65","181,243,110"
"2015-01-01T06:00:00.000Z","126.42","134.00","111.50","121.18","-3.53","-16.09","239,773,485"
"2016-01-01T06:00:00.000Z","119.24","158.35","100.08","156.43","29.09","16.53","242,888,490"
"2017-01-02T06:00:00.000Z","158.20","176.62","141.12","170.99","9.31","-3.25","184,706,387"
"2018-01-01T06:00:00.000Z","172.48","197.37","133.78","143.13","-16.29","-28.85","210,087,412"
"2019-01-02T06:00:00.000Z","141.11","176.11","141.11","169.75","18.60","6.04","180,416,549"
"2020-01-02T06:00:00.000Z","170.36","174.00","85.09","127.30","-25.01","-37.56","238,425,942"
"2021-01-04T06:00:00.000Z","128.63","168.27","125.45","153.58","20.64","8.09","229,950,967"
"2022-01-03T06:00:00.000Z","155.77","193.42","138.43","145.06","-5.55","-18.10","340,972,589"
"2023-01-03T06:00:00.000Z","145.00","161.99","109.36","125.76","-13.30","-25.86","253,253,032"
