"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1984-06-01T05:00:00.000Z","1.41","4.05","1.40","2.73","","-30.50","176,707,000"
"1985-01-01T06:00:00.000Z","2.73","2.76","0.3875","0.8500","-68.81","-99.31","446,893,000"
"1986-01-01T06:00:00.000Z","0.8500","1.71","0.3375","0.4500","-47.06","-77.56","628,044,000"
"1987-01-01T06:00:00.000Z","0.4500","1.61","0.4000","1.48","227.78","197.28","803,892,000"
"1988-01-01T06:00:00.000Z","1.48","2.60","1.20","1.57","6.78","-23.72","1,851,224,000"
"1989-01-02T06:00:00.000Z","1.57","2.58","0.9250","0.9750","-38.10","-68.59","1,224,348,000"
"1990-01-01T06:00:00.000Z","0.9750","1.64","0.6750","1.01","3.85","-26.65","737,749,000"
"1991-01-01T06:00:00.000Z","1.01","2.05","0.9500","1.41","39.51","9.01","899,203,000"
"1992-01-01T06:00:00.000Z","1.41","2.24","1.29","1.89","33.63","3.13","679,105,000"
"1993-01-01T06:00:00.000Z","1.90","6.36","1.81","4.65","146.36","115.86","1,568,967,000"
"1994-01-03T06:00:00.000Z","4.65","11.47","4.46","11.03","137.23","106.73","1,944,644,008"
"1995-01-02T06:00:00.000Z","10.97","47.38","10.63","19.81","79.60","49.11","2,694,494,586"
"1996-01-01T06:00:00.000Z","20.56","22.00","8.31","14.56","-26.50","-57.00","2,877,077,816"
"1997-01-01T06:00:00.000Z","14.81","30.03","11.00","12.97","-10.94","-41.44","2,524,398,946"
"1998-01-01T06:00:00.000Z","13.00","27.81","10.03","25.28","94.94","64.44","2,264,608,030"
"1999-01-01T06:00:00.000Z","24.81","42.50","17.13","38.88","53.77","23.27","2,870,932,184"
"2000-01-03T06:00:00.000Z","38.69","97.50","28.00","35.50","-8.68","-39.18","2,394,580,528"
"2001-01-01T06:00:00.000Z","36.75","49.61","16.39","31.00","-12.68","-43.18","2,128,730,499"
"2002-01-01T06:00:00.000Z","32.85","39.50","9.50","9.74","-68.58","-99.08","2,248,170,190"
"2003-01-01T06:00:00.000Z","9.75","15.66","6.60","13.47","38.30","7.80","2,801,615,754"
"2004-01-01T06:00:00.000Z","13.72","18.25","10.89","12.35","-8.31","-38.81","2,302,803,850"
"2005-01-03T06:00:00.000Z","12.38","14.82","9.32","13.31","7.77","-22.73","2,026,551,848"
"2006-01-02T06:00:00.000Z","13.48","18.65","13.12","13.96","4.88","-25.62","2,802,721,312"
"2007-01-01T06:00:00.000Z","14.14","14.31","7.11","7.25","-48.07","-78.56","4,985,574,880"
"2008-01-01T06:00:00.000Z","7.23","8.97","1.59","2.64","-63.59","-94.09","5,736,727,598"
"2009-01-01T06:00:00.000Z","2.65","10.87","2.55","10.56","300.00","269.50","5,872,403,589"
"2010-01-01T06:00:00.000Z","10.82","11.40","6.36","8.02","-24.05","-54.55","8,441,306,674"
"2011-01-03T06:00:00.000Z","8.14","11.95","3.97","6.29","-21.57","-52.07","9,628,072,548"
"2012-01-02T06:00:00.000Z","6.64","9.16","5.16","6.34","0.7949","-29.70","7,228,808,029"
"2013-01-01T06:00:00.000Z","6.60","23.67","6.45","21.75","243.06","212.56","9,575,486,691"
"2014-01-01T06:00:00.000Z","21.68","36.59","20.64","35.01","60.97","30.47","6,843,077,624"
"2015-01-01T06:00:00.000Z","35.24","35.52","13.50","14.16","-59.55","-90.05","6,838,025,397"
"2016-01-01T06:00:00.000Z","13.83","23.64","9.31","21.92","54.80","24.30","6,811,379,053"
"2017-01-02T06:00:00.000Z","22.07","49.89","21.49","41.12","87.59","57.09","7,665,798,293"
"2018-01-01T06:00:00.000Z","41.54","64.66","28.39","31.73","-22.84","-53.33","10,910,416,379"
"2019-01-02T06:00:00.000Z","31.00","56.11","30.75","53.78","69.49","38.99","6,687,362,194"
"2020-01-02T06:00:00.000Z","54.85","75.68","31.13","75.18","39.79","9.29","5,742,726,825"
"2021-01-04T06:00:00.000Z","76.48","96.96","65.67","93.15","23.90","-6.60","4,950,323,692"
"2022-01-03T06:00:00.000Z","93.91","98.45","48.43","49.98","-46.34","-76.84","4,850,275,981"
"2023-01-03T06:00:00.000Z","50.56","74.77","49.55","70.39","40.84","10.34","2,675,316,811"
