"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1979-12-03T06:00:00.000Z","1.31","1.39","1.31","1.39","","-16.14","59,288"
"1980-01-01T06:00:00.000Z","1.42","2.22","1.19","1.94","40.00","23.86","10,035,208"
"1981-01-01T06:00:00.000Z","1.94","2.14","0.8889","1.03","-47.14","-63.29","8,380,672"
"1982-01-01T06:00:00.000Z","1.06","1.42","0.8889","1.28","24.32","8.18","5,891,432"
"1983-01-03T06:00:00.000Z","1.28","1.74","1.28","1.42","10.87","-5.27","9,773,664"
"1984-01-02T06:00:00.000Z","1.44","1.63","1.00","1.46","2.94","-13.21","7,216,168"
"1985-01-01T06:00:00.000Z","1.44","1.79","1.25","1.54","5.72","-10.42","22,573,760"
"1986-01-01T06:00:00.000Z","1.54","2.58","1.50","2.46","59.45","43.31","21,106,016"
"1987-01-01T06:00:00.000Z","2.48","5.00","2.48","4.00","62.71","46.57","22,320,136"
"1988-01-01T06:00:00.000Z","4.00","6.03","3.63","5.94","48.44","32.29","20,470,400"
"1989-01-02T06:00:00.000Z","5.94","7.38","5.50","6.25","5.26","-10.88","20,683,200"
"1990-01-01T06:00:00.000Z","6.25","6.56","4.20","5.94","-5.00","-21.14","20,362,400"
"1991-01-01T06:00:00.000Z","5.81","11.50","5.53","11.50","93.68","77.54","17,162,400"
"1992-01-01T06:00:00.000Z","11.25","14.25","10.75","11.88","3.26","-12.88","23,102,400"
"1993-01-01T06:00:00.000Z","11.81","13.69","9.56","13.44","13.16","-2.99","13,658,000"
"1994-01-03T06:00:00.000Z","13.44","15.75","13.00","15.00","11.63","-4.52","15,853,200"
"1995-01-02T06:00:00.000Z","15.06","15.25","13.44","14.06","-6.25","-22.39","19,672,400"
"1996-01-01T06:00:00.000Z","14.06","16.25","11.38","15.94","13.33","-2.81","21,325,600"
"1997-01-01T06:00:00.000Z","15.94","16.25","11.09","11.47","-28.04","-44.18","27,323,600"
"1998-01-01T06:00:00.000Z","11.25","13.09","10.56","12.84","11.99","-4.15","23,667,600"
"1999-01-01T06:00:00.000Z","12.91","16.48","10.75","12.06","-6.08","-22.23","30,531,200"
"2000-01-03T06:00:00.000Z","12.49","16.50","9.03","12.75","5.70","-10.44","37,810,200"
"2001-01-01T06:00:00.000Z","13.50","16.13","10.34","13.21","3.57","-12.57","40,010,600"
"2002-01-01T06:00:00.000Z","13.13","16.70","10.65","12.41","-5.98","-22.13","50,892,484"
"2003-01-01T06:00:00.000Z","12.40","18.00","10.26","17.30","39.39","23.24","49,409,214"
"2004-01-01T06:00:00.000Z","17.20","21.89","16.11","20.04","15.78","-0.3676","80,544,906"
"2005-01-03T06:00:00.000Z","20.11","22.93","14.72","20.25","1.10","-15.05","89,806,188"
"2006-01-02T06:00:00.000Z","20.25","28.91","19.35","24.91","23.01","6.86","90,039,296"
"2007-01-01T06:00:00.000Z","25.27","30.79","22.16","28.98","16.32","0.1720","106,409,400"
"2008-01-01T06:00:00.000Z","28.84","39.49","12.02","16.14","-44.29","-60.43","181,729,404"
"2009-01-01T06:00:00.000Z","16.28","32.41","10.15","30.59","89.47","73.33","124,864,812"
"2010-01-01T06:00:00.000Z","30.98","47.31","26.73","45.94","50.18","34.04","104,476,854"
"2011-01-03T06:00:00.000Z","46.55","59.41","36.12","41.18","-10.36","-26.50","117,496,489"
"2012-01-02T06:00:00.000Z","42.14","64.74","40.82","63.12","53.28","37.13","79,272,551"
"2013-01-01T06:00:00.000Z","64.58","75.88","60.76","74.30","17.71","1.57","63,902,546"
"2014-01-01T06:00:00.000Z","74.25","84.95","66.77","77.96","4.93","-11.22","62,641,524"
"2015-01-01T06:00:00.000Z","78.07","84.45","58.52","64.15","-17.71","-33.86","70,409,587"
"2016-01-01T06:00:00.000Z","63.49","115.69","51.89","112.05","74.67","58.53","75,697,903"
"2017-01-02T06:00:00.000Z","113.52","150.48","107.16","146.40","30.66","14.51","75,008,056"
"2018-01-01T06:00:00.000Z","145.73","151.84","110.16","119.35","-18.48","-34.62","61,590,430"
"2019-01-02T06:00:00.000Z","116.99","168.97","111.85","162.84","36.44","20.30","51,259,089"
"2020-01-02T06:00:00.000Z","163.22","216.87","96.45","200.95","23.40","7.26","71,163,144"
"2021-01-04T06:00:00.000Z","201.58","272.28","178.60","255.27","27.03","10.89","52,909,253"
"2022-01-03T06:00:00.000Z","255.10","256.13","194.89","237.72","-6.88","-23.02","70,013,224"
"2023-01-03T06:00:00.000Z","238.65","253.40","202.57","245.51","3.28","-12.87","40,697,594"
