"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1985-01-01T06:00:00.000Z","125.00","132.91","107.16","132.29","","-17.28","0"
"1986-01-01T06:00:00.000Z","131.25","164.51","128.80","141.41","6.89","-10.39","0"
"1987-01-01T06:00:00.000Z","142.86","213.81","128.43","156.25","10.49","-6.79","0"
"1988-01-01T06:00:00.000Z","161.81","191.91","152.47","177.41","13.54","-3.74","0"
"1989-01-02T06:00:00.000Z","174.63","236.78","174.63","223.84","26.17","8.89","0"
"1990-01-01T06:00:00.000Z","227.72","246.18","165.19","200.53","-10.41","-27.69","0"
"1991-01-01T06:00:00.000Z","200.53","332.58","190.89","330.85","64.99","47.71","0"
"1992-01-01T06:00:00.000Z","330.85","363.20","287.63","360.18","8.87","-8.41","0"
"1993-01-01T06:00:00.000Z","360.18","401.81","326.56","397.72","10.42","-6.86","0"
"1994-01-03T06:00:00.000Z","398.14","418.99","350.03","404.27","1.65","-15.63","0"
"1995-01-02T06:00:00.000Z","404.27","623.53","394.59","576.23","42.54","25.26","0"
"1996-01-01T06:00:00.000Z","576.23","873.00","526.80","821.36","42.54","25.26","0"
"1997-01-01T06:00:00.000Z","821.36","1,153.89","779.17","990.80","20.63","3.35","0"
"1998-01-01T06:00:00.000Z","1,008.23","1,848.36","933.01","1,836.01","85.31","68.03","0"
"1999-01-01T06:00:00.000Z","1,836.01","3,750.41","1,833.43","3,707.83","101.95","84.67","0"
"2000-01-03T06:00:00.000Z","3,755.74","4,816.35","2,174.76","2,341.70","-36.84","-54.12","0"
"2001-01-01T06:00:00.000Z","2,341.28","2,771.63","1,088.96","1,577.05","-32.65","-49.93","0"
"2002-01-01T06:00:00.000Z","1,590.71","1,710.23","795.25","984.36","-37.58","-54.86","0"
"2003-01-01T06:00:00.000Z","995.64","1,474.24","938.52","1,467.92","49.12","31.84","0"
"2004-01-01T06:00:00.000Z","1,474.16","1,635.70","1,301.93","1,621.12","10.44","-6.84","0"
"2005-01-03T06:00:00.000Z","1,628.75","1,716.65","1,394.36","1,645.20","1.49","-15.79","0"
"2006-01-02T06:00:00.000Z","1,654.79","1,824.21","1,446.77","1,756.90","6.79","-10.49","0"
"2007-01-01T06:00:00.000Z","1,766.76","2,239.23","1,710.97","2,084.93","18.67","1.39","0"
"2008-01-01T06:00:00.000Z","2,086.36","2,094.22","1,018.86","1,211.65","-41.89","-59.17","0"
"2009-01-01T06:00:00.000Z","1,212.24","1,883.12","1,040.52","1,860.31","53.54","36.26","0"
"2010-01-01T06:00:00.000Z","1,882.69","2,238.92","1,700.04","2,217.86","19.22","1.94","0"
"2011-01-03T06:00:00.000Z","2,238.66","2,438.44","2,034.92","2,277.83","2.70","-14.58","0"
"2012-01-02T06:00:00.000Z","2,323.16","2,878.38","2,307.56","2,660.93","16.82","-0.4612","0"
"2013-01-01T06:00:00.000Z","2,727.67","3,592.00","2,689.83","3,592.00","34.99","17.71","0"
"2014-01-01T06:00:00.000Z","3,575.60","4,347.09","3,414.11","4,236.28","17.94","0.6567","0"
"2015-01-01T06:00:00.000Z","4,258.60","4,739.75","3,787.23","4,593.27","8.43","-8.85","0"
"2016-01-01T06:00:00.000Z","4,485.06","4,992.08","3,888.78","4,863.62","5.89","-11.39","0"
"2017-01-02T06:00:00.000Z","4,900.85","6,522.70","4,884.52","6,396.42","31.52","14.24","0"
"2018-01-01T06:00:00.000Z","6,431.59","7,700.56","5,895.12","6,329.96","-1.04","-18.32","0"
"2019-01-02T06:00:00.000Z","6,198.68","8,811.10","6,139.40","8,733.07","37.96","20.68","0"
"2020-01-02T06:00:00.000Z","8,802.22","12,926","6,771.91","12,888","47.58","30.30","0"
"2021-01-04T06:00:00.000Z","12,950","16,765","12,208","16,320","26.63","9.35","0"
"2022-01-03T06:00:00.000Z","16,396","16,514","10,441","10,940","-32.97","-50.25","0"
"2023-01-03T06:00:00.000Z","11,038","15,932","10,696","15,491","41.60","24.32","0"
