"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","2.36","2.48","1.97","2.11","","-8.43","58,326,400"
"1969-01-01T06:00:00.000Z","2.11","2.37","2.02","2.12","0.7409","-7.69","57,929,600"
"1970-01-01T06:00:00.000Z","2.14","2.32","1.69","2.26","6.63","-1.80","51,219,200"
"1971-01-01T06:00:00.000Z","2.27","2.37","1.77","2.27","0.3449","-8.09","70,723,200"
"1972-01-03T06:00:00.000Z","2.23","2.68","1.78","2.46","8.43","0.0009","138,048,000"
"1973-01-01T06:00:00.000Z","2.46","2.52","1.48","1.54","-37.46","-45.89","76,656,000"
"1974-01-01T06:00:00.000Z","1.54","1.83","0.8438","0.9688","-37.05","-45.49","103,190,400"
"1975-01-01T06:00:00.000Z","0.9844","1.71","0.9844","1.68","73.38","64.95","140,174,400"
"1976-01-01T06:00:00.000Z","1.68","1.80","1.30","1.73","2.79","-5.64","235,742,400"
"1977-01-03T06:00:00.000Z","1.73","1.79","1.34","1.68","-2.72","-11.15","186,046,400"
"1978-01-02T06:00:00.000Z","1.68","1.84","1.48","1.63","-2.79","-11.22","217,817,600"
"1979-01-01T06:00:00.000Z","1.63","1.80","1.51","1.56","-4.31","-12.74","252,067,200"
"1980-01-01T06:00:00.000Z","1.56","1.76","1.24","1.63","4.50","-3.93","384,718,400"
"1981-01-01T06:00:00.000Z","1.63","2.00","1.49","1.84","12.44","4.01","302,662,400"
"1982-01-01T06:00:00.000Z","1.84","2.35","1.76","2.27","23.41","14.97","441,544,000"
"1983-01-03T06:00:00.000Z","2.27","2.64","2.19","2.52","11.03","2.60","586,708,800"
"1984-01-02T06:00:00.000Z","2.52","2.85","2.20","2.80","11.18","2.75","504,795,200"
"1985-01-01T06:00:00.000Z","2.80","3.63","2.56","3.53","26.25","17.82","464,604,800"
"1986-01-01T06:00:00.000Z","3.53","4.75","3.30","3.95","11.95","3.52","678,807,200"
"1987-01-01T06:00:00.000Z","3.98","4.36","3.05","3.58","-9.49","-17.92","737,922,400"
"1988-01-01T06:00:00.000Z","3.58","4.06","3.47","3.89","8.73","0.3010","552,339,200"
"1989-01-02T06:00:00.000Z","3.89","4.59","3.63","4.55","16.87","8.44","521,675,200"
"1990-01-01T06:00:00.000Z","4.55","4.56","3.27","3.63","-20.28","-28.71","512,491,200"
"1991-01-01T06:00:00.000Z","3.64","4.66","3.52","4.63","27.59","19.15","636,296,800"
"1992-01-01T06:00:00.000Z","4.63","4.80","4.00","4.53","-2.03","-10.46","620,094,400"
"1993-01-01T06:00:00.000Z","4.55","5.13","4.44","4.89","7.93","-0.5010","737,079,264"
"1994-01-03T06:00:00.000Z","4.89","4.89","3.36","4.39","-10.22","-18.66","906,648,800"
"1995-01-02T06:00:00.000Z","4.36","5.81","4.25","5.80","32.03","23.60","714,697,600"
"1996-01-01T06:00:00.000Z","5.77","6.02","5.19","5.75","-0.8091","-9.24","757,699,200"
"1997-01-01T06:00:00.000Z","5.75","7.50","5.33","7.40","28.67","20.24","823,961,600"
"1998-01-01T06:00:00.000Z","7.41","9.07","7.01","7.70","4.12","-4.31","987,640,000"
"1999-01-01T06:00:00.000Z","7.67","7.74","5.14","5.35","-30.53","-38.96","1,009,111,200"
"2000-01-03T06:00:00.000Z","5.30","9.13","4.55","8.97","67.59","59.16","1,662,544,800"
"2001-01-01T06:00:00.000Z","8.86","8.95","6.40","7.05","-21.39","-29.83","1,634,484,800"
"2002-01-01T06:00:00.000Z","7.03","8.16","5.63","7.52","6.61","-1.82","2,128,961,600"
"2003-01-01T06:00:00.000Z","7.54","8.51","6.69","8.18","8.80","0.3642","1,878,334,576"
"2004-01-01T06:00:00.000Z","8.18","9.51","7.53","9.34","14.26","5.83","1,736,348,000"
"2005-01-03T06:00:00.000Z","9.38","12.03","8.97","10.39","11.20","2.76","1,750,315,600"
"2006-01-02T06:00:00.000Z","10.46","13.89","9.45","13.61","30.94","22.51","2,548,281,996"
"2007-01-01T06:00:00.000Z","13.61","18.19","13.43","16.95","24.55","16.12","2,332,961,884"
"2008-01-01T06:00:00.000Z","16.97","18.44","8.45","12.58","-25.75","-34.18","2,802,624,604"
"2009-01-01T06:00:00.000Z","12.56","15.15","10.37","13.21","4.95","-3.49","2,684,845,288"
"2010-01-01T06:00:00.000Z","13.26","14.06","11.32","13.00","-1.57","-10.00","2,565,858,336"
"2011-01-03T06:00:00.000Z","13.04","15.30","12.25","15.22","17.10","8.67","2,050,326,528"
"2012-01-02T06:00:00.000Z","15.29","18.05","14.64","17.30","13.65","5.22","1,883,677,884"
"2013-01-01T06:00:00.000Z","17.50","22.44","17.45","21.41","23.75","15.31","1,959,807,220"
"2014-01-01T06:00:00.000Z","21.35","27.71","20.99","26.57","24.14","15.71","2,055,145,236"
"2015-01-01T06:00:00.000Z","26.66","28.16","23.43","25.97","-2.26","-10.69","2,272,361,972"
"2016-01-01T06:00:00.000Z","25.72","32.99","25.55","29.86","14.99","6.55","2,271,530,152"
