"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","10.30","12.54","8.97","12.12","","-6.08","10,975,643"
"1969-01-01T06:00:00.000Z","12.18","13.78","10.12","12.72","4.96","-1.12","8,721,826"
"1970-01-01T06:00:00.000Z","13.42","14.77","8.66","10.92","-14.17","-20.25","11,670,818"
"1971-01-01T06:00:00.000Z","10.72","15.62","9.06","11.37","4.13","-1.95","13,500,538"
"1972-01-03T06:00:00.000Z","11.47","14.07","10.12","11.47","0.8815","-5.20","10,869,047"
"1973-01-01T06:00:00.000Z","11.47","13.92","8.71","12.82","11.79","5.71","11,704,773"
"1974-01-01T06:00:00.000Z","12.82","14.67","6.51","7.61","-40.62","-46.70","12,691,015"
"1975-01-01T06:00:00.000Z","7.61","10.62","7.31","9.21","21.05","14.97","10,164,124"
"1976-01-01T06:00:00.000Z","9.21","12.42","9.21","11.22","21.74","15.66","13,386,708"
"1977-01-03T06:00:00.000Z","11.22","12.02","6.41","6.96","-37.95","-44.03","16,870,393"
"1978-01-02T06:00:00.000Z","6.96","9.71","6.21","8.61","23.74","17.66","17,857,636"
"1979-01-01T06:00:00.000Z","8.61","15.92","8.61","15.87","84.30","78.22","27,586,807"
"1980-01-01T06:00:00.000Z","16.02","24.39","12.22","18.63","17.35","11.27","50,472,152"
"1981-01-01T06:00:00.000Z","18.63","31.75","17.08","17.28","-7.26","-13.34","66,637,254"
"1982-01-01T06:00:00.000Z","17.28","22.23","11.07","22.03","27.54","21.46","31,245,979"
"1983-01-03T06:00:00.000Z","22.03","24.84","18.23","20.33","-7.73","-13.81","37,088,814"
"1984-01-02T06:00:00.000Z","20.23","21.98","12.42","14.37","-29.31","-35.39","32,784,384"
"1985-01-01T06:00:00.000Z","14.37","19.63","14.22","18.88","31.36","25.28","30,449,685"
"1986-01-01T06:00:00.000Z","18.88","25.39","16.43","24.64","30.50","24.42","53,244,677"
"1987-01-01T06:00:00.000Z","24.64","81.92","19.63","28.24","14.63","8.55","144,219,816"
"1988-01-01T06:00:00.000Z","27.84","37.36","24.24","26.54","-6.03","-12.11","41,741,343"
"1989-01-02T06:00:00.000Z","26.54","39.86","25.34","38.06","43.40","37.32","64,744,513"
"1990-01-01T06:00:00.000Z","38.06","43.87","25.34","32.75","-13.95","-20.03","50,284,682"
"1991-01-01T06:00:00.000Z","32.55","35.25","26.44","32.35","-1.22","-7.30","40,756,349"
"1992-01-01T06:00:00.000Z","32.05","43.17","28.94","32.95","1.86","-4.22","45,763,832"
"1993-01-01T06:00:00.000Z","32.55","47.17","29.65","46.17","40.12","34.04","148,263,393"
"1994-01-03T06:00:00.000Z","46.17","48.07","33.88","36.00","-22.03","-28.11","106,461,489"
"1995-01-02T06:00:00.000Z","36.00","46.25","33.13","45.38","26.04","19.96","109,012,000"
"1996-01-01T06:00:00.000Z","45.63","60.75","43.88","44.75","-1.38","-7.46","160,606,199"
"1997-01-01T06:00:00.000Z","44.63","47.50","26.56","29.38","-34.36","-40.44","235,044,400"
"1998-01-01T06:00:00.000Z","29.19","34.88","13.25","18.25","-37.87","-43.95","362,557,296"
"1999-01-01T06:00:00.000Z","18.06","30.06","16.38","24.50","34.25","28.17","385,318,799"
"2000-01-03T06:00:00.000Z","24.00","28.38","12.75","17.06","-30.36","-36.44","363,122,797"
"2001-01-01T06:00:00.000Z","17.31","25.23","14.00","19.11","12.00","5.92","572,766,194"
"2002-01-01T06:00:00.000Z","19.00","32.75","18.52","29.03","51.91","45.83","1,295,024,117"
"2003-01-01T06:00:00.000Z","29.04","50.28","24.08","48.61","67.45","61.37","1,259,280,740"
"2004-01-01T06:00:00.000Z","48.20","50.20","34.70","44.41","-8.64","-14.72","1,348,264,411"
"2005-01-03T06:00:00.000Z","43.80","53.93","34.90","53.40","20.24","14.16","1,327,102,685"
"2006-01-02T06:00:00.000Z","54.10","62.72","39.84","45.15","-15.45","-21.53","1,809,643,896"
"2007-01-01T06:00:00.000Z","45.50","56.35","38.01","48.83","8.15","2.07","2,011,874,017"
"2008-01-01T06:00:00.000Z","49.74","57.55","21.17","40.70","-16.65","-22.73","2,188,064,569"
"2009-01-01T06:00:00.000Z","40.13","56.45","34.40","47.31","16.24","10.16","2,097,295,032"
"2010-01-01T06:00:00.000Z","48.90","65.50","42.80","61.43","29.85","23.77","1,951,187,609"
"2011-01-03T06:00:00.000Z","61.85","72.42","50.05","60.01","-2.31","-8.39","1,811,893,308"
"2012-01-02T06:00:00.000Z","61.41","64.62","42.95","46.44","-22.61","-28.69","1,545,973,028"
"2013-01-01T06:00:00.000Z","47.34","47.59","22.34","23.03","-50.41","-56.49","2,182,332,989"
"2014-01-01T06:00:00.000Z","23.47","27.40","17.60","18.90","-17.93","-24.01","2,063,816,829"
"2015-01-01T06:00:00.000Z","18.65","27.90","15.39","17.99","-4.81","-10.89","2,039,129,592"
"2016-01-01T06:00:00.000Z","18.44","46.07","16.05","34.07","89.38","83.30","2,169,060,879"
"2017-01-02T06:00:00.000Z","34.12","39.63","31.42","37.52","10.13","4.05","1,349,400,507"
"2018-01-01T06:00:00.000Z","37.87","42.04","29.06","34.65","-7.65","-13.73","1,349,813,264"
"2019-01-02T06:00:00.000Z","34.45","44.08","29.77","43.45","25.40","19.32","2,279,231,631"
"2020-01-02T06:00:00.000Z","43.55","72.22","33.00","59.89","37.84","31.76","1,995,270,868"
"2021-01-04T06:00:00.000Z","61.90","75.31","52.60","62.02","3.56","-2.52","1,641,899,872"
"2022-01-03T06:00:00.000Z","61.16","86.37","37.45","47.20","-23.90","-29.98","2,046,103,558"
"2023-01-03T06:00:00.000Z","48.27","55.41","37.84","39.32","-16.69","-22.78","1,302,312,549"
