"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","5.72","6.75","5.26","5.89","","-5.32","4,913,872"
"1969-01-01T06:00:00.000Z","5.92","6.73","4.74","5.40","-8.33","-13.66","6,479,437"
"1970-01-01T06:00:00.000Z","5.45","6.14","4.62","6.14","13.64","8.31","6,713,555"
"1971-01-01T06:00:00.000Z","6.14","6.34","4.81","5.28","-14.00","-19.32","10,109,325"
"1972-01-03T06:00:00.000Z","5.33","5.89","4.35","5.08","-3.72","-9.04","11,529,325"
"1973-01-01T06:00:00.000Z","5.08","5.40","3.07","3.56","-29.95","-35.28","13,445,041"
"1974-01-01T06:00:00.000Z","3.56","3.76","2.31","2.78","-22.07","-27.39","11,882,035"
"1975-01-01T06:00:00.000Z","2.78","3.63","2.70","3.51","26.55","21.22","12,701,963"
"1976-01-01T06:00:00.000Z","3.51","3.93","3.14","3.90","11.19","5.86","25,060,500"
"1977-01-03T06:00:00.000Z","3.90","4.18","3.36","3.76","-3.77","-9.10","19,536,769"
"1978-01-02T06:00:00.000Z","3.76","3.78","3.00","3.09","-17.65","-22.97","26,019,889"
"1979-01-01T06:00:00.000Z","3.09","3.32","2.55","2.70","-12.70","-18.02","40,203,055"
"1980-01-01T06:00:00.000Z","2.70","2.85","1.96","2.26","-16.36","-21.69","49,807,118"
"1981-01-01T06:00:00.000Z","2.26","2.43","1.99","2.16","-4.35","-9.67","68,501,672"
"1982-01-01T06:00:00.000Z","2.16","2.73","2.01","2.48","14.77","9.45","168,846,501"
"1983-01-03T06:00:00.000Z","2.48","3.05","2.36","2.87","15.84","10.52","224,759,704"
"1984-01-02T06:00:00.000Z","2.87","2.97","2.14","2.31","-19.66","-24.98","303,091,545"
"1985-01-01T06:00:00.000Z","2.31","2.53","1.60","1.94","-15.96","-21.28","514,639,317"
"1986-01-01T06:00:00.000Z","1.94","2.65","1.84","2.31","18.99","13.66","296,623,698"
"1987-01-01T06:00:00.000Z","2.31","2.55","1.57","1.67","-27.66","-32.98","331,159,112"
"1988-01-01T06:00:00.000Z","1.69","2.78","1.69","2.73","63.24","57.91","248,411,038"
"1989-01-02T06:00:00.000Z","2.70","3.86","2.58","3.81","39.64","34.31","275,952,822"
"1990-01-01T06:00:00.000Z","3.78","3.78","3.09","3.71","-2.58","-7.90","163,965,066"
"1991-01-01T06:00:00.000Z","3.71","5.30","3.63","5.06","36.42","31.10","257,691,895"
"1992-01-01T06:00:00.000Z","5.03","5.23","4.42","5.21","2.91","-2.41","231,525,294"
"1993-01-01T06:00:00.000Z","5.21","6.85","5.13","6.46","24.06","18.73","194,051,160"
"1994-01-03T06:00:00.000Z","6.48","6.48","5.13","5.85","-9.51","-14.83","211,575,127"
"1995-01-02T06:00:00.000Z","5.82","7.56","5.75","7.52","28.57","23.25","170,527,592"
"1996-01-01T06:00:00.000Z","7.49","7.91","6.93","7.79","3.60","-1.73","187,433,675"
"1997-01-01T06:00:00.000Z","7.79","9.80","7.47","9.71","24.76","19.44","188,180,321"
"1998-01-01T06:00:00.000Z","9.69","13.26","9.69","11.96","23.13","17.81","183,426,904"
"1999-01-01T06:00:00.000Z","11.96","12.16","6.43","7.02","-41.27","-46.60","216,753,527"
"2000-01-03T06:00:00.000Z","7.00","12.38","5.01","12.08","72.03","66.71","542,319,794"
"2001-01-01T06:00:00.000Z","12.01","12.79","7.17","9.06","-25.01","-30.33","588,898,454"
"2002-01-01T06:00:00.000Z","9.08","9.82","5.70","7.86","-13.27","-18.59","612,942,960"
"2003-01-01T06:00:00.000Z","7.85","8.63","6.44","8.62","9.70","4.38","742,373,377"
"2004-01-01T06:00:00.000Z","8.57","8.97","7.72","8.95","3.83","-1.49","683,950,875"
"2005-01-03T06:00:00.000Z","9.00","10.02","8.03","8.20","-8.43","-13.75","659,152,618"
"2006-01-02T06:00:00.000Z","8.25","9.75","7.67","9.47","15.53","10.21","787,618,178"
"2007-01-01T06:00:00.000Z","9.47","9.99","6.87","7.42","-21.62","-26.94","1,222,908,209"
"2008-01-01T06:00:00.000Z","7.36","7.79","4.07","4.31","-41.93","-47.25","1,717,128,768"
"2009-01-01T06:00:00.000Z","4.32","6.22","3.06","6.04","40.20","34.88","2,090,354,071"
"2010-01-01T06:00:00.000Z","6.11","7.06","5.55","6.92","14.56","9.24","1,801,776,132"
"2011-01-03T06:00:00.000Z","6.96","9.42","6.96","9.36","35.13","29.81","1,962,742,210"
"2012-01-02T06:00:00.000Z","9.45","10.28","8.77","9.78","4.53","-0.7888","1,683,545,873"
"2013-01-01T06:00:00.000Z","9.88","13.16","9.77","12.92","32.10","26.78","1,313,462,906"
"2014-01-01T06:00:00.000Z","12.90","17.65","12.62","16.67","29.01","23.69","1,285,888,153"
"2015-01-01T06:00:00.000Z","16.72","20.13","16.04","19.51","17.04","11.72","1,131,392,983"
"2016-01-01T06:00:00.000Z","19.41","26.94","19.05","22.14","13.48","8.16","729,965,697"
"2017-01-02T06:00:00.000Z","22.17","27.76","21.65","25.67","15.94","10.62","646,595,452"
"2018-01-01T06:00:00.000Z","25.64","28.11","22.44","25.35","-1.25","-6.57","866,309,163"
"2019-01-02T06:00:00.000Z","25.29","30.67","24.69","27.84","9.82","4.50","778,709,582"
"2020-01-02T06:00:00.000Z","27.93","30.46","19.56","22.94","-17.60","-22.92","846,688,307"
"2021-01-04T06:00:00.000Z","22.93","27.85","21.09","27.61","20.36","15.03","933,175,961"
"2022-01-03T06:00:00.000Z","27.60","32.59","23.78","27.42","-0.6882","-6.01","1,154,105,618"
"2023-01-03T06:00:00.000Z","27.50","28.95","25.92","26.56","-3.14","-8.46","638,371,698"
