"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1980-12-01T06:00:00.000Z","0.1797","0.1816","0.1406","0.1641","","-21.52","246,592,000"
"1981-01-01T06:00:00.000Z","0.1680","0.2227","0.1348","0.2207","34.49","12.97","685,849,600"
"1982-01-01T06:00:00.000Z","0.2207","0.4375","0.1943","0.3525","59.72","38.20","1,800,614,400"
"1983-01-03T06:00:00.000Z","0.3525","0.3711","0.2246","0.2266","-35.72","-57.24","2,941,836,800"
"1984-01-02T06:00:00.000Z","0.2266","0.2559","0.1035","0.1230","-45.72","-67.24","1,601,510,400"
"1985-01-01T06:00:00.000Z","0.1230","0.2305","0.1230","0.2207","79.43","57.91","2,311,980,800"
"1986-01-01T06:00:00.000Z","0.2207","0.3203","0.1621","0.1836","-16.81","-38.33","5,216,140,800"
"1987-01-01T06:00:00.000Z","0.1836","0.3867","0.1797","0.3047","65.96","44.44","5,013,158,400"
"1988-01-01T06:00:00.000Z","0.3047","0.5371","0.2695","0.4141","35.90","14.38","5,855,084,800"
"1989-01-02T06:00:00.000Z","0.4141","1.08","0.3945","0.8320","100.92","79.40","6,373,337,600"
"1990-01-01T06:00:00.000Z","0.8320","1.50","0.7500","1.26","51.18","29.66","7,217,625,600"
"1991-01-01T06:00:00.000Z","1.26","2.37","1.10","2.26","79.81","58.29","3,470,483,200"
"1992-01-01T06:00:00.000Z","2.22","2.82","1.72","2.59","14.68","-6.84","2,193,622,400"
"1993-01-01T06:00:00.000Z","2.60","2.79","1.35","1.45","-44.28","-65.80","2,989,830,400"
"1994-01-03T06:00:00.000Z","1.45","2.39","1.45","2.33","61.35","39.83","2,223,049,600"
"1995-01-02T06:00:00.000Z","2.31","4.40","2.15","4.35","86.60","65.08","2,197,108,800"
"1996-01-01T06:00:00.000Z","4.30","8.00","3.97","7.50","72.35","50.83","2,565,899,224"
"1997-01-01T06:00:00.000Z","7.47","9.55","4.72","4.88","-34.90","-56.42","4,246,232,040"
"1998-01-01T06:00:00.000Z","4.91","6.59","3.88","5.07","3.84","-17.68","2,551,559,984"
"1999-01-01T06:00:00.000Z","5.07","8.37","4.84","6.20","22.19","0.6671","2,443,527,224"
"2000-01-03T06:00:00.000Z","6.16","7.13","3.23","6.98","12.61","-8.91","2,437,282,384"
"2001-01-01T06:00:00.000Z","6.84","7.51","4.44","7.03","0.7654","-20.76","2,830,777,632"
"2002-01-01T06:00:00.000Z","7.04","8.04","4.82","5.56","-20.93","-42.45","3,310,996,032"
"2003-01-01T06:00:00.000Z","5.57","8.57","5.30","8.56","53.95","32.43","2,927,713,184"
"2004-01-01T06:00:00.000Z","8.59","11.55","8.23","11.34","32.47","10.95","2,515,780,816"
"2005-01-03T06:00:00.000Z","11.32","11.44","9.39","10.85","-4.30","-25.82","3,410,287,232"
"2006-01-02T06:00:00.000Z","10.85","12.65","9.44","12.38","14.10","-7.42","3,638,656,792"
"2007-01-01T06:00:00.000Z","12.25","16.98","11.87","16.06","29.74","8.22","3,515,355,156"
"2008-01-01T06:00:00.000Z","16.08","17.65","10.67","12.75","-20.61","-42.13","4,376,623,512"
"2009-01-01T06:00:00.000Z","12.74","16.66","9.56","16.52","29.55","8.03","3,644,673,352"
"2010-01-01T06:00:00.000Z","16.52","23.12","15.22","21.36","29.29","7.77","2,899,612,328"
"2011-01-03T06:00:00.000Z","21.46","24.56","17.36","24.09","12.82","-8.70","3,107,022,584"
"2012-01-02T06:00:00.000Z","24.34","28.70","21.27","25.80","7.09","-14.43","2,614,305,122"
"2013-01-01T06:00:00.000Z","26.20","40.13","25.70","39.32","52.40","30.88","1,885,883,074"
"2014-01-01T06:00:00.000Z","39.08","49.88","34.92","48.08","22.27","0.7450","1,847,919,278"
"2015-01-01T06:00:00.000Z","48.27","68.19","45.35","62.50","30.01","8.48","1,917,834,104"
"2016-01-01T06:00:00.000Z","61.11","65.44","49.01","50.83","-18.67","-40.19","2,481,195,331"
"2017-01-02T06:00:00.000Z","51.99","65.19","50.35","62.55","23.06","1.54","2,415,163,837"
"2018-01-01T06:00:00.000Z","62.85","86.04","62.09","74.14","18.53","-2.99","1,861,969,401"
"2019-01-02T06:00:00.000Z","72.79","101.79","71.21","101.31","36.65","15.13","1,617,980,798"
"2020-01-02T06:00:00.000Z","101.36","147.95","60.00","141.47","39.64","18.12","1,867,888,618"
"2021-01-04T06:00:00.000Z","142.85","179.10","125.44","166.67","17.81","-3.71","1,599,281,927"
"2022-01-03T06:00:00.000Z","167.53","167.91","82.22","117.01","-29.80","-51.32","1,934,053,279"
"2023-01-03T06:00:00.000Z","118.55","131.31","96.55","102.36","-12.52","-34.04","1,159,777,642"
