"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","2.14","2.72","1.60","2.72","","-13.60","41,021,966"
"1969-01-01T06:00:00.000Z","2.62","2.67","1.68","1.79","-34.11","-47.71","23,330,564"
"1970-01-01T06:00:00.000Z","1.75","1.75","0.8064","1.18","-33.80","-47.40","26,687,797"
"1971-01-01T06:00:00.000Z","1.16","1.44","0.8442","1.09","-7.98","-21.58","28,152,105"
"1972-01-03T06:00:00.000Z","1.13","1.34","1.08","1.17","6.94","-6.67","22,497,216"
"1973-01-01T06:00:00.000Z","1.17","1.34","0.7056","0.8757","-24.86","-38.47","16,715,281"
"1974-01-01T06:00:00.000Z","0.8757","1.40","0.7812","1.20","37.41","23.81","23,580,540"
"1975-01-01T06:00:00.000Z","1.20","1.86","1.12","1.75","45.28","31.68","38,327,815"
"1976-01-01T06:00:00.000Z","1.76","3.74","1.73","3.63","107.57","93.96","51,775,295"
"1977-01-03T06:00:00.000Z","3.62","3.77","2.78","3.48","-4.17","-17.77","30,976,328"
"1978-01-02T06:00:00.000Z","3.48","7.54","3.06","5.37","54.35","40.74","45,988,073"
"1979-01-01T06:00:00.000Z","5.29","6.80","4.20","6.22","15.85","2.24","45,917,317"
"1980-01-01T06:00:00.000Z","6.22","9.34","5.61","9.15","47.11","33.51","64,230,116"
"1981-01-01T06:00:00.000Z","9.13","9.53","4.99","7.92","-13.43","-27.03","46,769,837"
"1982-01-01T06:00:00.000Z","7.92","11.76","5.93","11.40","43.91","30.31","90,916,953"
"1983-01-03T06:00:00.000Z","11.38","14.85","9.94","13.04","14.43","0.8238","53,526,023"
"1984-01-02T06:00:00.000Z","13.04","17.92","10.73","15.99","22.61","9.01","66,948,565"
"1985-01-01T06:00:00.000Z","15.99","25.68","14.34","20.01","25.18","11.57","91,664,558"
"1986-01-01T06:00:00.000Z","20.01","23.42","16.73","17.80","-11.05","-24.65","82,918,070"
"1987-01-01T06:00:00.000Z","17.80","23.87","11.23","11.57","-35.03","-48.64","96,620,815"
"1988-01-01T06:00:00.000Z","11.57","16.27","11.40","12.59","8.82","-4.78","66,348,408"
"1989-01-02T06:00:00.000Z","12.59","13.49","7.26","7.94","-36.94","-50.54","82,729,579"
