"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","3.51","4.35","3.25","3.99","","-9.57","43,224,745"
"1969-01-01T06:00:00.000Z","4.01","4.06","2.78","2.87","-28.19","-37.76","44,906,857"
"1970-01-01T06:00:00.000Z","3.09","3.17","1.84","2.47","-13.90","-23.47","53,749,497"
"1971-01-01T06:00:00.000Z","2.47","3.14","2.47","2.79","12.95","3.38","50,900,929"
"1972-01-03T06:00:00.000Z","2.81","3.16","2.43","2.61","-6.31","-15.88","49,823,607"
"1973-01-01T06:00:00.000Z","2.63","2.92","2.07","2.90","10.99","1.42","56,660,114"
"1974-01-01T06:00:00.000Z","2.91","2.97","1.86","2.24","-22.68","-32.25","39,798,322"
"1975-01-01T06:00:00.000Z","2.24","2.63","2.22","2.37","5.58","-3.99","48,794,931"
"1976-01-01T06:00:00.000Z","2.37","3.76","2.36","3.51","48.53","38.96","73,395,045"
"1977-01-03T06:00:00.000Z","3.51","4.11","2.79","2.97","-15.41","-24.98","62,967,433"
"1978-01-02T06:00:00.000Z","2.97","3.11","2.31","2.43","-18.23","-27.80","65,519,923"
"1979-01-01T06:00:00.000Z","2.43","3.21","2.43","3.03","24.57","15.00","59,312,475"
"1980-01-01T06:00:00.000Z","3.04","5.15","2.68","4.53","49.54","39.97","127,474,433"
"1981-01-01T06:00:00.000Z","4.53","6.14","4.37","5.76","27.30","17.73","90,345,966"
"1982-01-01T06:00:00.000Z","5.76","7.22","4.47","6.08","5.54","-4.03","204,659,112"
"1983-01-03T06:00:00.000Z","6.08","7.85","5.71","7.01","15.30","5.73","274,946,912"
"1984-01-02T06:00:00.000Z","7.01","7.14","5.39","6.51","-7.13","-16.70","191,535,018"
"1985-01-01T06:00:00.000Z","6.51","9.03","6.42","9.03","38.59","29.02","238,753,581"
"1986-01-01T06:00:00.000Z","9.03","11.03","8.21","9.39","4.00","-5.57","272,947,062"
"1987-01-01T06:00:00.000Z","9.42","12.75","7.00","8.75","-6.80","-16.37","314,503,738"
"1988-01-01T06:00:00.000Z","8.75","10.96","8.17","10.46","19.52","9.95","223,394,408"
"1989-01-02T06:00:00.000Z","10.42","13.75","10.08","13.50","29.08","19.51","247,343,944"
"1990-01-01T06:00:00.000Z","13.50","15.75","11.67","13.92","3.09","-6.48","198,280,559"
"1991-01-01T06:00:00.000Z","13.87","21.92","13.25","19.79","42.22","32.65","168,279,652"
"1992-01-01T06:00:00.000Z","19.33","22.50","17.75","20.42","3.16","-6.41","149,200,371"
"1993-01-01T06:00:00.000Z","20.67","24.12","19.75","23.50","15.10","5.53","141,420,088"
"1994-01-03T06:00:00.000Z","23.42","24.92","19.50","20.21","-14.01","-23.58","159,163,465"
"1995-01-02T06:00:00.000Z","20.17","27.21","20.17","26.46","30.93","21.36","147,581,546"
"1996-01-01T06:00:00.000Z","26.33","32.21","25.46","29.33","10.87","1.30","159,518,971"
"1997-01-01T06:00:00.000Z","29.08","38.12","28.21","30.50","3.98","-5.59","161,710,859"
"1998-01-01T06:00:00.000Z","30.81","41.75","27.44","31.69","3.89","-5.68","166,151,500"
"1999-01-01T06:00:00.000Z","31.06","36.44","19.63","20.50","-35.31","-44.88","190,692,700"
"2000-01-03T06:00:00.000Z","20.25","22.75","11.94","13.31","-35.06","-44.63","261,251,400"
"2001-01-01T06:00:00.000Z","13.81","24.11","13.41","18.33","37.69","28.12","299,103,199"
"2002-01-01T06:00:00.000Z","18.26","26.98","17.20","19.99","9.06","-0.5145","341,718,901"
"2003-01-01T06:00:00.000Z","20.22","24.62","17.35","23.65","18.31","8.74","341,587,295"
"2004-01-01T06:00:00.000Z","23.65","36.69","20.38","36.19","53.02","43.45","408,933,599"
"2005-01-03T06:00:00.000Z","36.23","45.81","29.60","44.83","23.87","14.30","530,229,501"
"2006-01-02T06:00:00.000Z","45.00","57.71","39.10","50.29","12.18","2.61","717,377,499"
"2007-01-01T06:00:00.000Z","50.46","59.77","45.38","50.44","0.2983","-9.27","950,484,686"
"2008-01-01T06:00:00.000Z","49.51","75.53","41.36","47.05","-6.72","-16.29","1,101,195,782"
"2009-01-01T06:00:00.000Z","46.91","54.55","26.69","52.42","11.41","1.84","1,138,554,003"
"2010-01-01T06:00:00.000Z","52.83","63.67","46.18","62.82","19.84","10.27","701,593,574"
"2011-01-03T06:00:00.000Z","63.25","78.40","57.57","72.86","15.98","6.41","716,050,113"
"2012-01-02T06:00:00.000Z","73.99","78.50","56.05","61.84","-15.12","-24.70","712,585,638"
"2013-01-01T06:00:00.000Z","63.14","93.17","62.65","92.83","50.11","40.54","490,809,460"
"2014-01-01T06:00:00.000Z","92.33","117.64","87.14","109.61","18.08","8.51","462,030,739"
"2015-01-01T06:00:00.000Z","110.70","112.05","72.10","84.59","-22.83","-32.40","566,962,761"
"2016-01-01T06:00:00.000Z","83.64","111.43","64.51","108.07","27.76","18.19","432,784,383"
"2017-01-02T06:00:00.000Z","108.91","146.33","105.89","144.90","34.08","24.51","436,131,637"
"2018-01-01T06:00:00.000Z","145.96","186.91","127.79","149.54","3.20","-6.37","478,473,385"
"2019-01-02T06:00:00.000Z","146.96","211.46","143.60","194.13","29.82","20.25","410,966,041"
"2020-01-02T06:00:00.000Z","195.05","247.98","112.62","237.61","22.40","12.83","391,771,653"
"2021-01-04T06:00:00.000Z","238.31","299.19","230.15","297.71","25.29","15.72","298,797,602"
"2022-01-03T06:00:00.000Z","298.50","298.99","203.65","246.42","-17.23","-26.80","333,077,979"
"2023-01-03T06:00:00.000Z","247.11","260.20","196.33","206.38","-16.25","-25.82","240,214,529"
