"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-04-03T06:00:00.000Z","1.02","1.11","0.9653","0.9792","","-11.83","9,827,312"
"1973-01-01T06:00:00.000Z","1.00","1.13","0.8750","0.8958","-8.52","-20.35","14,885,064"
"1974-01-01T06:00:00.000Z","0.9306","1.17","0.5972","0.8889","-0.7703","-12.60","27,200,636"
"1975-01-01T06:00:00.000Z","0.9167","1.05","0.8056","0.9444","6.24","-5.59","24,176,640"
"1976-01-01T06:00:00.000Z","0.9514","1.17","0.9444","1.17","23.54","11.70","23,179,404"
"1977-01-03T06:00:00.000Z","1.17","1.17","0.8958","0.8958","-23.22","-35.05","16,674,264"
"1978-01-02T06:00:00.000Z","0.8889","1.15","0.8681","1.09","21.71","9.88","28,075,440"
"1979-01-01T06:00:00.000Z","1.09","1.15","0.8958","0.9236","-15.29","-27.12","23,013,844"
"1980-01-01T06:00:00.000Z","0.9167","1.06","0.7708","0.9236","","-11.83","35,153,020"
"1981-01-01T06:00:00.000Z","0.9306","1.13","0.9097","1.02","10.52","-1.31","24,986,624"
"1982-01-01T06:00:00.000Z","1.02","1.34","0.9236","1.25","22.45","10.62","39,865,416"
"1983-01-03T06:00:00.000Z","1.26","1.78","1.23","1.67","33.34","21.50","101,990,672"
"1984-01-02T06:00:00.000Z","1.67","1.77","1.56","1.64","-1.67","-13.50","59,715,856"
"1985-01-01T06:00:00.000Z","1.65","2.38","1.65","2.35","43.65","31.81","94,383,952"
"1986-01-01T06:00:00.000Z","2.35","3.92","2.35","3.26","38.49","26.66","102,958,888"
"1987-01-01T06:00:00.000Z","3.26","4.25","2.48","3.00","-7.99","-19.82","111,721,172"
"1988-01-01T06:00:00.000Z","3.04","4.00","3.04","3.71","23.61","11.78","80,461,268"
"1989-01-02T06:00:00.000Z","3.71","5.94","3.65","5.15","38.76","26.93","138,178,704"
"1990-01-01T06:00:00.000Z","5.15","5.63","3.25","4.92","-4.45","-16.29","112,372,256"
"1991-01-01T06:00:00.000Z","4.92","8.67","4.50","8.31","69.07","57.23","124,002,000"
"1992-01-01T06:00:00.000Z","8.25","10.79","8.17","10.50","26.32","14.48","109,378,132"
"1993-01-01T06:00:00.000Z","10.50","12.63","9.25","9.91","-5.66","-17.49","153,606,000"
"1994-01-03T06:00:00.000Z","9.94","10.81","8.06","8.75","-11.67","-23.51","127,281,200"
"1995-01-02T06:00:00.000Z","8.88","14.00","7.94","14.00","60.00","48.17","180,277,600"
"1996-01-01T06:00:00.000Z","13.94","18.88","12.31","18.13","29.46","17.63","174,653,200"
"1997-01-01T06:00:00.000Z","18.19","35.75","17.00","34.88","92.41","80.58","184,388,800"
"1998-01-01T06:00:00.000Z","34.88","44.94","27.88","43.66","25.18","13.35","244,768,202"
"1999-01-01T06:00:00.000Z","43.44","54.63","40.16","53.00","21.40","9.57","204,773,700"
"2000-01-03T06:00:00.000Z","52.56","92.13","46.75","81.56","53.89","42.06","243,716,799"
"2001-01-01T06:00:00.000Z","80.88","82.25","41.40","60.22","-26.17","-38.00","285,093,500"
"2002-01-01T06:00:00.000Z","60.34","62.67","30.41","35.05","-41.80","-53.63","351,463,311"
"2003-01-01T06:00:00.000Z","35.25","48.75","27.64","46.28","32.04","20.21","295,773,069"
"2004-01-01T06:00:00.000Z","46.49","51.35","38.40","48.58","4.97","-6.86","282,718,750"
"2005-01-03T06:00:00.000Z","48.73","55.00","41.60","51.82","6.67","-5.16","281,412,227"
"2006-01-02T06:00:00.000Z","52.05","61.40","49.12","60.69","17.12","5.28","255,640,379"
"2007-01-01T06:00:00.000Z","60.82","83.17","56.52","76.58","26.18","14.35","341,935,384"
"2008-01-01T06:00:00.000Z","76.45","88.92","33.88","52.14","-31.91","-43.75","664,786,757"
"2009-01-01T06:00:00.000Z","52.00","66.08","43.32","52.40","0.4987","-11.34","804,219,993"
"2010-01-01T06:00:00.000Z","52.09","59.36","45.30","55.41","5.74","-6.09","488,147,764"
"2011-01-03T06:00:00.000Z","55.81","56.86","33.20","39.66","-28.42","-40.26","510,384,849"
"2012-01-02T06:00:00.000Z","40.72","50.46","39.86","50.16","26.48","14.64","307,562,074"
"2013-01-01T06:00:00.000Z","50.95","62.02","49.27","61.89","23.39","11.55","322,028,800"
"2014-01-01T06:00:00.000Z","61.76","70.84","58.30","67.40","8.90","-2.93","286,763,354"
"2015-01-01T06:00:00.000Z","67.68","79.25","61.10","72.09","6.96","-4.88","311,603,651"
"2016-01-01T06:00:00.000Z","70.29","90.96","54.38","89.05","23.53","11.69","346,797,497"
"2017-01-02T06:00:00.000Z","90.34","101.45","81.92","99.89","12.17","0.3391","282,389,044"
"2018-01-01T06:00:00.000Z","104.84","115.61","75.96","83.59","-16.32","-28.15","306,250,942"
"2019-01-02T06:00:00.000Z","81.96","110.48","81.75","106.24","27.10","15.26","286,542,187"
"2020-01-02T06:00:00.000Z","106.53","109.88","60.67","93.14","-12.33","-24.16","325,656,280"
"2021-01-04T06:00:00.000Z","93.51","126.73","88.20","119.61","28.42","16.59","205,293,272"
"2022-01-03T06:00:00.000Z","120.69","135.15","76.15","88.49","-26.02","-37.85","239,612,881"
"2023-01-03T06:00:00.000Z","89.60","100.25","69.54","77.29","-12.66","-24.49","215,281,891"
