"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","0.1524","0.2126","0.1134","0.1949","","-18.13","308,584,128"
"1969-01-01T06:00:00.000Z","0.1984","0.2126","0.1063","0.1134","-41.82","-59.95","167,163,712"
"1970-01-01T06:00:00.000Z","0.1240","0.1240","0.0638","0.0673","-40.65","-58.78","53,272,384"
"1971-01-01T06:00:00.000Z","0.0709","0.1169","0.0709","0.1028","52.75","34.62","74,814,608"
"1972-01-03T06:00:00.000Z","0.1205","0.1701","0.1028","0.1355","31.81","13.68","141,999,600"
"1973-01-01T06:00:00.000Z","0.1355","0.1497","0.0833","0.1019","-24.80","-42.93","96,050,288"
"1974-01-01T06:00:00.000Z","0.1010","0.1382","0.0726","0.0753","-26.10","-44.23","48,804,368"
"1975-01-01T06:00:00.000Z","0.0771","0.1329","0.0771","0.1028","36.52","18.39","101,313,904"
"1976-01-01T06:00:00.000Z","0.1036","0.2197","0.1028","0.1860","80.93","62.80","192,787,920"
"1977-01-03T06:00:00.000Z","0.1860","0.2555","0.1594","0.2555","37.37","19.24","115,923,328"
"1978-01-02T06:00:00.000Z","0.2555","0.4583","0.2406","0.4340","69.86","51.73","132,324,336"
"1979-01-01T06:00:00.000Z","0.4306","0.8464","0.4184","0.8307","91.41","73.28","120,676,736"
"1980-01-01T06:00:00.000Z","0.8307","1.55","0.6250","1.46","75.24","57.11","129,250,352"
"1981-01-01T06:00:00.000Z","1.46","1.71","1.02","1.24","-14.49","-32.62","130,867,920"
"1982-01-01T06:00:00.000Z","1.24","1.32","0.7109","1.30","4.60","-13.53","198,912,592"
"1983-01-03T06:00:00.000Z","1.29","1.78","1.26","1.78","36.80","18.67","131,575,920"
"1984-01-02T06:00:00.000Z","1.78","1.84","1.08","1.34","-24.56","-42.69","119,093,552"
"1985-01-01T06:00:00.000Z","1.33","2.32","1.29","2.24","67.05","48.92","198,379,920"
"1986-01-01T06:00:00.000Z","2.24","2.89","1.82","1.91","-15.08","-33.21","269,317,312"
"1987-01-01T06:00:00.000Z","1.92","3.09","1.84","2.48","29.92","11.79","255,870,400"
"1988-01-01T06:00:00.000Z","2.48","3.05","2.28","2.98","20.50","2.37","151,307,200"
"1989-01-02T06:00:00.000Z","2.94","4.22","2.80","3.77","26.18","8.05","153,499,200"
"1990-01-01T06:00:00.000Z","3.77","5.11","3.02","3.88","2.91","-15.22","172,131,200"
"1991-01-01T06:00:00.000Z","3.88","5.59","3.56","5.59","44.15","26.02","186,078,400"
"1992-01-01T06:00:00.000Z","5.52","9.98","5.23","9.80","75.39","57.26","164,192,000"
"1993-01-01T06:00:00.000Z","9.66","14.31","9.50","13.25","35.25","17.12","203,996,000"
"1994-01-03T06:00:00.000Z","13.19","18.00","12.19","13.84","4.48","-13.65","229,324,400"
"1995-01-02T06:00:00.000Z","13.66","15.81","10.50","14.28","3.16","-14.97","355,308,800"
"1996-01-01T06:00:00.000Z","14.16","15.75","11.28","12.75","-10.72","-28.85","275,135,200"
"1997-01-01T06:00:00.000Z","12.75","15.73","11.19","12.08","-5.27","-23.40","313,154,400"
"1998-01-01T06:00:00.000Z","12.02","15.16","8.81","10.81","-10.48","-28.61","340,686,400"
"1999-01-01T06:00:00.000Z","10.81","15.45","10.41","13.70","26.73","8.60","382,575,600"
"2000-01-03T06:00:00.000Z","13.70","14.11","7.38","9.92","-27.59","-45.72","446,591,200"
"2001-01-01T06:00:00.000Z","9.95","14.13","8.36","13.24","33.44","15.31","518,154,800"
"2002-01-01T06:00:00.000Z","13.11","17.54","9.00","10.32","-22.02","-40.15","805,281,208"
"2003-01-01T06:00:00.000Z","10.38","14.70","8.76","14.00","35.59","17.46","815,801,572"
"2004-01-01T06:00:00.000Z","14.00","27.73","13.04","26.17","86.93","68.80","1,331,810,992"
"2005-01-03T06:00:00.000Z","26.25","35.10","22.77","33.36","27.47","9.35","1,374,960,400"
"2006-01-02T06:00:00.000Z","34.00","67.55","33.63","54.66","63.85","45.72","1,255,691,409"
"2007-01-01T06:00:00.000Z","54.66","69.93","41.62","59.22","8.34","-9.79","1,101,494,116"
"2008-01-01T06:00:00.000Z","59.30","83.56","25.25","46.20","-21.99","-40.11","1,921,095,017"
"2009-01-01T06:00:00.000Z","46.95","51.08","29.84","46.65","0.9740","-17.16","1,530,281,910"
"2010-01-01T06:00:00.000Z","47.38","50.72","35.71","43.82","-6.07","-24.20","1,161,678,371"
"2011-01-03T06:00:00.000Z","44.24","49.24","29.82","39.57","-9.70","-27.83","957,795,913"
"2012-01-02T06:00:00.000Z","40.54","45.75","34.23","43.16","9.07","-9.06","693,552,975"
"2013-01-01T06:00:00.000Z","44.10","54.73","41.32","53.38","23.68","5.55","521,681,226"
"2014-01-01T06:00:00.000Z","53.29","58.76","46.39","49.05","-8.11","-26.24","475,672,703"
"2015-01-01T06:00:00.000Z","49.23","50.70","36.76","40.30","-17.84","-35.97","594,067,789"
"2016-01-01T06:00:00.000Z","39.64","68.00","33.90","59.52","47.69","29.56","728,233,499"
"2017-01-02T06:00:00.000Z","59.74","66.00","51.67","63.58","6.82","-11.31","683,353,621"
"2018-01-01T06:00:00.000Z","64.21","70.48","49.79","51.81","-18.51","-36.64","645,260,070"
"2019-01-02T06:00:00.000Z","50.87","62.31","46.10","56.28","8.63","-9.50","565,160,388"
"2020-01-02T06:00:00.000Z","56.83","57.50","27.52","53.19","-5.49","-23.62","584,226,739"
"2021-01-04T06:00:00.000Z","54.18","128.81","47.94","114.15","114.61","96.48","829,802,572"
"2022-01-03T06:00:00.000Z","114.89","187.90","88.50","131.81","15.47","-2.66","657,714,376"
"2023-01-03T06:00:00.000Z","131.81","182.68","129.79","172.58","30.93","12.80","270,441,594"
