"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1981-04-01T06:00:00.000Z","0.3200","0.4775","0.2812","0.3987","","-19.71","970,380,000"
"1982-01-01T06:00:00.000Z","0.3962","0.5200","0.3488","0.4388","10.06","-9.65","1,054,880,000"
"1983-01-03T06:00:00.000Z","0.4388","0.7350","0.4200","0.5600","27.62","7.91","946,260,000"
"1984-01-02T06:00:00.000Z","0.5625","0.6138","0.2087","0.2375","-57.59","-77.30","2,118,080,000"
"1985-01-01T06:00:00.000Z","0.2375","0.3500","0.2300","0.2938","23.71","3.99","2,472,260,000"
"1986-01-01T06:00:00.000Z","0.2925","0.3550","0.2587","0.3287","11.88","-7.83","1,739,070,000"
"1987-01-01T06:00:00.000Z","0.3287","0.4250","0.1725","0.2138","-34.96","-54.67","1,707,510,000"
"1988-01-01T06:00:00.000Z","0.2175","0.4188","0.2175","0.3875","81.24","61.53","1,274,770,000"
"1989-01-02T06:00:00.000Z","0.3875","0.5200","0.3875","0.5012","29.34","9.63","572,130,000"
"1990-01-01T06:00:00.000Z","0.4987","0.6450","0.4400","0.6238","24.46","4.75","366,030,000"
"1991-01-01T06:00:00.000Z","0.6238","0.9412","0.5700","0.8950","43.48","23.76","197,580,000"
"1992-01-01T06:00:00.000Z","0.9100","0.9675","0.8000","0.8875","-0.8380","-20.55","168,890,000"
"1993-01-01T06:00:00.000Z","0.8838","0.9900","0.7800","0.9900","11.55","-8.16","94,510,000"
"1994-01-03T06:00:00.000Z","0.9900","1.10","0.8750","0.9500","-4.04","-23.75","50,060,000"
"1995-01-02T06:00:00.000Z","0.9350","1.38","0.8900","1.37","44.21","24.50","107,830,000"
"1996-01-01T06:00:00.000Z","1.38","1.90","1.26","1.87","36.50","16.79","141,087,500"
"1997-01-01T06:00:00.000Z","1.81","2.92","1.75","2.88","54.28","34.57","69,670,000"
"1998-01-01T06:00:00.000Z","2.86","3.40","2.15","2.66","-7.80","-27.51","92,725,000"
"1999-01-01T06:00:00.000Z","2.73","2.81","1.90","2.58","-2.82","-22.53","69,670,000"
"2000-01-03T06:00:00.000Z","2.70","4.54","2.48","3.54","36.94","17.23","84,240,000"
"2001-01-01T06:00:00.000Z","3.55","4.63","3.47","4.01","13.28","-6.43","52,096,000"
"2002-01-01T06:00:00.000Z","4.05","4.06","2.15","2.89","-27.93","-47.64","56,883,000"
"2003-01-01T06:00:00.000Z","2.92","4.12","2.51","4.10","41.73","22.02","60,812,950"
"2004-01-01T06:00:00.000Z","4.10","5.53","3.90","5.43","32.47","12.76","71,739,000"
"2005-01-03T06:00:00.000Z","5.39","6.01","4.80","5.63","3.72","-15.99","111,267,000"
"2006-01-02T06:00:00.000Z","5.69","8.46","5.48","8.36","48.60","28.89","137,093,000"
"2007-01-01T06:00:00.000Z","8.44","13.75","7.77","12.97","55.11","35.40","163,600,155"
"2008-01-01T06:00:00.000Z","13.00","14.75","8.38","10.28","-20.77","-40.48","324,216,330"
"2009-01-01T06:00:00.000Z","10.38","14.00","8.27","12.77","24.25","4.54","393,880,655"
"2010-01-01T06:00:00.000Z","13.04","22.75","12.82","22.51","76.30","56.59","337,834,465"
"2011-01-03T06:00:00.000Z","22.13","26.58","18.92","23.05","2.39","-17.32","403,814,235"
"2012-01-02T06:00:00.000Z","23.66","34.05","22.83","32.64","41.60","21.89","446,136,825"
"2013-01-01T06:00:00.000Z","33.13","38.89","29.90","36.95","13.20","-6.51","379,218,510"
"2014-01-01T06:00:00.000Z","36.92","49.10","36.61","42.32","14.53","-5.18","332,566,228"
"2015-01-01T06:00:00.000Z","42.55","60.34","41.72","58.08","37.24","17.53","363,822,639"
"2016-01-01T06:00:00.000Z","57.79","58.16","30.89","35.86","-38.26","-57.97","625,470,011"
"2017-01-02T06:00:00.000Z","36.23","54.12","32.83","53.67","49.67","29.95","509,052,187"
"2018-01-01T06:00:00.000Z","54.49","58.37","41.23","46.07","-14.16","-33.87","385,399,162"
"2019-01-02T06:00:00.000Z","46.13","58.63","46.10","57.88","25.63","5.92","358,418,328"
"2020-01-02T06:00:00.000Z","58.31","73.92","49.24","69.85","20.68","0.9699","364,639,654"
"2021-01-04T06:00:00.000Z","71.19","117.35","66.59","112.00","60.34","40.63","250,782,779"
"2022-01-03T06:00:00.000Z","109.65","135.86","91.51","135.34","20.84","1.13","375,455,995"
"2023-01-03T06:00:00.000Z","137.27","192.18","130.10","189.31","39.88","20.17","244,970,736"
