"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1987-06-01T05:00:00.000Z","10.25","10.25","3.25","3.75","","-78.18","5,851,600"
"1988-01-01T06:00:00.000Z","3.75","7.38","3.88","5.88","56.67","-21.51","6,343,500"
"1989-01-02T06:00:00.000Z","5.88","8.25","4.75","5.00","-14.89","-93.07","8,759,600"
"1990-01-01T06:00:00.000Z","5.00","5.38","0.1875","0.3125","-93.75","-171.93","9,428,000"
"1991-01-01T06:00:00.000Z","0.3125","2.25","0.3125","0.8750","180.00","101.82","7,707,400"
"1992-01-01T06:00:00.000Z","0.8750","2.13","0.3750","0.5000","-42.86","-121.04","11,617,900"
"1993-01-01T06:00:00.000Z","0.5000","11.13","0.3125","9.75","1,850.00","1,771.82","10,057,200"
"1994-01-03T06:00:00.000Z","9.88","11.25","5.13","5.50","-43.59","-121.77","10,221,300"
"1995-01-02T06:00:00.000Z","5.50","11.63","5.38","10.00","81.82","3.64","7,184,100"
"1996-01-01T06:00:00.000Z","9.81","13.25","8.75","13.00","30.00","-48.18","8,208,800"
"1997-01-01T06:00:00.000Z","13.00","29.25","12.13","21.88","68.27","-9.91","6,990,400"
"1998-01-01T06:00:00.000Z","21.88","50.25","21.63","47.69","118.00","39.82","11,068,400"
"1999-01-01T06:00:00.000Z","47.69","58.00","38.00","47.75","0.1311","-78.05","8,154,500"
"2000-01-03T06:00:00.000Z","47.75","128.74","42.00","123.60","158.85","80.67","7,829,800"
"2001-01-01T06:00:00.000Z","123.60","213.75","103.00","204.00","65.05","-13.13","19,788,100"
"2002-01-01T06:00:00.000Z","195.00","391.00","192.31","326.50","60.05","-18.13","30,687,900"
"2003-01-01T06:00:00.000Z","316.00","541.35","297.01","466.00","42.73","-35.46","18,771,625"
"2004-01-01T06:00:00.000Z","456.00","784.00","405.13","769.40","65.11","-13.07","13,468,700"
"2005-01-03T06:00:00.000Z","736.00","947.95","641.00","702.00","-8.76","-86.94","15,839,000"
"2006-01-02T06:00:00.000Z","680.00","846.75","386.55","645.00","-8.12","-86.30","18,927,900"
"2007-01-01T06:00:00.000Z","611.40","851.96","398.96","524.00","-18.76","-96.94","29,136,057"
"2008-01-01T06:00:00.000Z","515.27","679.37","316.82","456.25","-12.93","-91.11","26,076,558"
"2009-01-01T06:00:00.000Z","440.00","742.00","310.69","710.71","55.77","-22.41","18,251,023"
"2010-01-01T06:00:00.000Z","697.94","769.50","595.00","691.02","-2.77","-80.95","10,348,360"
"2011-01-03T06:00:00.000Z","675.00","804.32","554.71","686.00","-0.7265","-78.91","10,786,073"
"2012-01-02T06:00:00.000Z","696.23","966.93","667.98","920.00","34.11","-44.07","9,813,477"
"2013-01-01T06:00:00.000Z","935.00","1,100.00","830.00","1,026.01","11.52","-66.66","9,251,707"
"2014-01-01T06:00:00.000Z","995.01","1,284.50","991.05","1,275.33","24.30","-53.88","9,795,168"
"2015-01-01T06:00:00.000Z","1,246.98","1,721.95","1,187.84","1,643.00","28.83","-49.35","7,071,342"
"2016-01-01T06:00:00.000Z","1,629.89","1,845.37","1,462.02","1,669.00","1.58","-76.60","6,499,618"
"2017-01-02T06:00:00.000Z","1,650.00","3,536.00","1,631.78","3,508.00","110.19","32.00","7,123,652"
"2018-01-01T06:00:00.000Z","3,410.00","3,700.00","2,040.71","2,436.99","-30.53","-108.71","7,926,458"
"2019-01-02T06:00:00.000Z","2,387.35","3,946.50","2,285.00","3,808.41","56.28","-21.91","7,310,642"
"2020-01-02T06:00:00.000Z","3,777.00","4,530.00","2,043.01","4,079.86","7.13","-71.05","7,036,650"
"2021-01-04T06:00:00.000Z","4,089.98","5,982.44","3,885.00","5,908.87","44.83","-33.35","5,197,294"
"2022-01-03T06:00:00.000Z","5,870.00","5,885.00","3,576.01","4,612.58","-21.94","-100.12","5,382,510"
"2023-01-03T06:00:00.000Z","4,647.44","6,525.00","4,519.05","6,509.35","41.12","-37.06","3,713,115"
