"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","1.52","1.74","1.39","1.71","","-11.81","9,364,814"
"1969-01-01T06:00:00.000Z","1.71","1.74","1.21","1.28","-25.53","-37.34","8,727,227"
"1970-01-01T06:00:00.000Z","1.28","1.65","1.19","1.60","25.00","13.19","8,231,019"
"1971-01-01T06:00:00.000Z","1.55","1.75","1.46","1.50","-6.28","-18.10","7,584,091"
"1972-01-03T06:00:00.000Z","1.51","1.82","1.28","1.81","21.33","9.52","10,027,961"
"1973-01-01T06:00:00.000Z","1.81","1.84","1.38","1.51","-16.58","-28.39","10,831,144"
"1974-01-01T06:00:00.000Z","1.51","1.70","1.06","1.29","-15.06","-26.88","6,113,386"
"1975-01-01T06:00:00.000Z","1.30","1.86","1.30","1.73","34.75","22.94","9,649,660"
"1976-01-01T06:00:00.000Z","1.73","2.53","1.70","2.52","45.26","33.45","14,527,766"
"1977-01-03T06:00:00.000Z","2.54","3.13","2.28","2.41","-4.35","-16.16","23,423,274"
"1978-01-02T06:00:00.000Z","2.41","2.67","1.97","2.16","-10.23","-22.04","12,357,063"
"1979-01-01T06:00:00.000Z","2.16","2.93","1.97","2.63","21.52","9.70","11,812,102"
"1980-01-01T06:00:00.000Z","2.63","4.91","1.92","4.13","57.29","45.48","26,117,062"
"1981-01-01T06:00:00.000Z","4.13","4.49","2.97","3.02","-26.82","-38.64","20,235,166"
"1982-01-01T06:00:00.000Z","3.02","3.31","2.64","2.91","-3.62","-15.43","22,922,545"
"1983-01-03T06:00:00.000Z","2.91","3.58","2.60","3.34","14.55","2.74","25,915,126"
"1984-01-02T06:00:00.000Z","3.32","3.50","2.90","3.16","-5.33","-17.14","28,194,961"
"1985-01-01T06:00:00.000Z","3.16","3.69","3.05","3.49","10.39","-1.43","72,098,557"
"1986-01-01T06:00:00.000Z","3.49","3.91","2.98","3.67","5.10","-6.71","85,849,787"
"1987-01-01T06:00:00.000Z","3.68","4.82","1.59","1.83","-50.00","-61.81","93,031,969"
"1988-01-01T06:00:00.000Z","1.83","2.18","1.05","2.07","12.68","0.8689","137,492,054"
"1989-01-02T06:00:00.000Z","2.07","3.72","2.02","3.49","68.88","57.06","64,730,883"
"1990-01-01T06:00:00.000Z","3.49","3.61","2.60","3.23","-7.45","-19.27","56,928,718"
"1991-01-01T06:00:00.000Z","3.23","3.69","2.74","3.69","14.41","2.59","63,984,343"
"1992-01-01T06:00:00.000Z","3.64","4.16","3.06","4.02","8.89","-2.93","63,772,346"
"1993-01-01T06:00:00.000Z","4.05","5.75","3.86","4.13","2.72","-9.09","58,075,489"
"1994-01-03T06:00:00.000Z","4.10","4.46","3.45","3.94","-4.64","-16.45","50,795,990"
"1995-01-02T06:00:00.000Z","3.91","5.43","3.75","5.01","27.09","15.27","43,537,507"
"1996-01-01T06:00:00.000Z","4.98","6.65","4.38","6.57","31.15","19.33","64,147,449"
"1997-01-01T06:00:00.000Z","6.57","8.91","5.66","8.84","34.58","22.77","64,797,585"
"1998-01-01T06:00:00.000Z","8.78","9.69","6.51","7.91","-10.53","-22.34","83,210,389"
"1999-01-01T06:00:00.000Z","7.95","8.14","5.36","5.50","-30.45","-42.27","83,855,958"
"2000-01-03T06:00:00.000Z","5.53","11.08","4.76","10.53","91.54","79.73","102,053,548"
"2001-01-01T06:00:00.000Z","10.48","10.66","6.20","7.81","-25.86","-37.67","143,551,667"
"2002-01-01T06:00:00.000Z","7.88","10.13","6.40","8.40","7.62","-4.19","105,892,274"
"2003-01-01T06:00:00.000Z","8.43","9.82","7.00","9.67","15.00","3.19","462,063,414"
"2004-01-01T06:00:00.000Z","9.70","12.69","8.62","12.44","28.71","16.90","333,489,778"
"2005-01-03T06:00:00.000Z","12.48","15.69","11.51","11.66","-6.30","-18.11","384,338,418"
"2006-01-02T06:00:00.000Z","11.76","19.47","11.53","18.88","61.92","50.11","399,756,136"
"2007-01-01T06:00:00.000Z","18.98","24.19","17.19","19.60","3.83","-7.99","422,844,922"
"2008-01-01T06:00:00.000Z","19.56","22.47","9.44","12.75","-34.96","-46.77","488,624,352"
"2009-01-01T06:00:00.000Z","12.80","19.69","7.92","19.51","53.06","41.24","473,408,480"
"2010-01-01T06:00:00.000Z","19.65","24.55","12.94","24.28","24.46","12.64","458,882,755"
"2011-01-03T06:00:00.000Z","24.44","38.16","23.87","37.95","56.28","44.47","485,279,550"
"2012-01-02T06:00:00.000Z","38.53","43.59","34.42","37.43","-1.37","-13.19","354,393,678"
"2013-01-01T06:00:00.000Z","37.94","54.48","34.49","54.44","45.45","33.64","412,787,094"
"2014-01-01T06:00:00.000Z","54.41","71.19","43.36","49.79","-8.54","-20.35","358,956,917"
"2015-01-01T06:00:00.000Z","49.90","51.53","18.84","24.66","-50.47","-62.29","647,771,548"
"2016-01-01T06:00:00.000Z","24.66","59.47","18.88","57.41","132.81","120.99","678,622,787"
"2017-01-02T06:00:00.000Z","58.14","59.30","47.14","53.45","-6.90","-18.71","802,453,249"
"2018-01-01T06:00:00.000Z","53.76","71.99","50.26","53.95","0.9355","-10.88","640,507,946"
"2019-01-02T06:00:00.000Z","53.05","77.21","52.72","75.67","40.26","28.44","546,663,597"
"2020-01-02T06:00:00.000Z","75.92","78.48","12.16","38.38","-49.28","-61.09","1,356,586,086"
"2021-01-04T06:00:00.000Z","39.00","66.78","37.39","58.76","53.10","41.29","662,824,162"
"2022-01-03T06:00:00.000Z","58.96","75.07","50.50","65.70","11.81","-0.0038","678,477,146"
"2023-01-03T06:00:00.000Z","65.64","71.57","55.91","65.55","-0.2283","-12.04","459,594,659"
