"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","18.15","25.84","13.77","22.72","","-6.92","78,811,375"
"1969-01-01T06:00:00.000Z","23.32","24.58","10.67","11.69","-48.55","-55.47","63,439,498"
"1970-01-01T06:00:00.000Z","12.59","12.59","6.47","8.87","-24.10","-31.02","53,617,140"
"1971-01-01T06:00:00.000Z","8.69","10.79","4.80","5.70","-35.81","-42.73","56,165,558"
"1972-01-03T06:00:00.000Z","5.88","8.75","4.86","5.64","-1.05","-7.97","43,918,623"
"1973-01-01T06:00:00.000Z","5.64","6.47","3.72","3.96","-29.79","-36.71","29,950,558"
"1974-01-01T06:00:00.000Z","3.96","7.01","3.54","6.12","54.55","47.63","33,806,438"
"1975-01-01T06:00:00.000Z","6.12","10.85","6.06","6.71","9.80","2.88","59,770,844"
"1976-01-01T06:00:00.000Z","6.71","11.75","6.47","11.51","71.43","64.51","64,094,593"
"1977-01-03T06:00:00.000Z","11.51","14.93","10.07","11.15","-3.12","-10.05","77,578,104"
"1978-01-02T06:00:00.000Z","11.15","12.65","7.13","7.55","-32.26","-39.18","75,476,283"
"1979-01-01T06:00:00.000Z","7.55","14.21","7.55","13.01","72.22","65.30","105,888,269"
"1980-01-01T06:00:00.000Z","13.01","18.77","9.11","16.61","27.65","20.73","150,713,245"
"1981-01-01T06:00:00.000Z","16.61","16.73","10.37","11.51","-30.69","-37.61","96,256,464"
"1982-01-01T06:00:00.000Z","11.51","11.87","8.15","9.47","-17.71","-24.63","96,152,638"
"1983-01-03T06:00:00.000Z","9.47","12.41","8.63","11.93","25.95","19.03","96,269,398"
"1984-01-02T06:00:00.000Z","11.87","17.15","11.69","13.43","12.56","5.64","185,862,021"
"1985-01-01T06:00:00.000Z","13.43","17.63","11.09","14.87","10.71","3.79","194,453,847"
"1986-01-01T06:00:00.000Z","14.87","14.99","10.85","13.19","-11.29","-18.21","366,356,623"
"1987-01-01T06:00:00.000Z","13.31","19.01","10.67","11.69","-11.36","-18.29","450,736,069"
"1988-01-01T06:00:00.000Z","11.75","13.91","11.27","12.17","4.10","-2.82","351,912,784"
"1989-01-02T06:00:00.000Z","12.17","14.87","12.05","14.21","16.75","9.83","367,545,887"
"1990-01-01T06:00:00.000Z","14.21","14.51","8.51","8.81","-37.97","-44.90","359,319,104"
"1991-01-01T06:00:00.000Z","8.81","12.17","7.91","8.57","-2.72","-9.64","423,854,086"
"1992-01-01T06:00:00.000Z","8.63","11.09","7.55","8.15","-4.90","-11.82","346,433,132"
"1993-01-01T06:00:00.000Z","8.27","11.27","8.09","8.15","","-6.92","408,961,142"
"1994-01-03T06:00:00.000Z","8.21","10.73","7.25","9.23","13.24","6.31","416,008,234"
"1995-01-02T06:00:00.000Z","9.29","11.69","8.63","10.25","11.04","4.12","538,098,018"
"1996-01-01T06:00:00.000Z","10.25","13.07","9.65","11.21","9.36","2.43","532,200,132"
"1997-01-01T06:00:00.000Z","11.27","14.75","10.43","14.06","25.40","18.48","606,270,999"
"1998-01-01T06:00:00.000Z","14.12","14.60","7.97","8.09","-42.43","-49.35","519,749,703"
"1999-01-01T06:00:00.000Z","8.21","11.78","7.01","10.37","28.15","21.23","543,236,555"
"2000-01-03T06:00:00.000Z","10.28","12.26","7.55","11.63","12.14","5.22","633,145,461"
"2001-01-01T06:00:00.000Z","11.51","14.92","10.49","12.72","9.40","2.48","609,648,392"
"2002-01-01T06:00:00.000Z","12.69","14.75","11.02","13.65","7.24","0.3150","716,425,529"
"2003-01-01T06:00:00.000Z","13.57","20.61","13.03","20.26","48.47","41.55","787,237,010"
"2004-01-01T06:00:00.000Z","20.22","29.14","20.12","27.99","38.16","31.24","950,764,133"
"2005-01-03T06:00:00.000Z","27.99","43.07","25.98","38.31","36.87","29.95","1,499,181,995"
"2006-01-02T06:00:00.000Z","39.57","53.19","39.28","46.84","22.26","15.34","1,688,212,252"
"2007-01-01T06:00:00.000Z","46.84","76.02","40.35","73.85","57.67","50.75","1,626,304,507"
"2008-01-01T06:00:00.000Z","74.86","95.96","38.30","57.55","-22.08","-29.00","2,321,369,635"
"2009-01-01T06:00:00.000Z","58.14","81.73","45.56","78.04","35.61","28.68","1,751,080,210"
"2010-01-01T06:00:00.000Z","79.29","95.51","69.19","94.10","20.59","13.67","1,370,810,945"
"2011-01-03T06:00:00.000Z","94.77","113.08","63.66","89.88","-4.49","-11.41","1,313,717,610"
"2012-01-02T06:00:00.000Z","92.79","102.33","69.47","73.49","-18.24","-25.16","1,159,039,563"
"2013-01-01T06:00:00.000Z","75.14","95.37","74.06","91.23","24.14","17.21","1,159,550,615"
"2014-01-01T06:00:00.000Z","90.66","101.34","72.29","80.58","-11.67","-18.59","1,172,808,997"
"2015-01-01T06:00:00.000Z","79.98","83.71","63.58","67.58","-16.13","-23.05","1,227,258,329"
"2016-01-01T06:00:00.000Z","67.06","78.48","58.22","71.23","5.40","-1.53","1,174,056,011"
"2017-01-02T06:00:00.000Z","72.27","74.06","57.20","73.66","3.41","-3.51","1,119,812,287"
"2018-01-01T06:00:00.000Z","74.01","87.67","56.83","61.38","-16.67","-23.59","1,270,082,751"
"2019-01-02T06:00:00.000Z","60.52","68.83","37.25","41.21","-32.86","-39.78","2,184,722,503"
"2020-01-02T06:00:00.000Z","41.63","47.58","8.52","17.31","-58.00","-64.92","7,736,549,557"
"2021-01-04T06:00:00.000Z","17.75","35.75","17.32","28.99","67.48","60.55","4,436,031,351"
"2022-01-03T06:00:00.000Z","29.21","77.13","29.15","62.99","117.28","110.36","6,401,965,263"
"2023-01-03T06:00:00.000Z","62.30","67.93","55.51","64.57","2.51","-4.41","1,921,862,312"
