"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1983-08-01T05:00:00.000Z","0.2081","0.2428","0.1951","0.2081","","-21.06","57,223,037"
"1984-01-02T06:00:00.000Z","0.2038","0.2124","0.1344","0.1626","-21.86","-42.93","159,895,731"
"1985-01-01T06:00:00.000Z","0.1604","0.3642","0.1561","0.3295","102.64","81.58","421,747,048"
"1986-01-01T06:00:00.000Z","0.3295","0.6698","0.3208","0.6048","83.55","62.49","282,404,615"
"1987-01-01T06:00:00.000Z","0.6113","0.8064","0.4357","0.6438","6.45","-14.62","360,642,789"
"1988-01-01T06:00:00.000Z","0.6438","0.7902","0.5560","0.6829","6.07","-14.99","285,810,384"
"1989-01-02T06:00:00.000Z","0.6829","1.07","0.6731","0.7609","11.42","-9.64","255,039,035"
"1990-01-01T06:00:00.000Z","0.7609","0.7999","0.4682","0.7170","-5.77","-26.83","503,199,382"
"1991-01-01T06:00:00.000Z","0.7170","1.37","0.5560","1.36","89.11","68.04","374,209,016"
"1992-01-01T06:00:00.000Z","1.34","2.34","1.27","2.06","52.16","31.10","347,866,812"
"1993-01-01T06:00:00.000Z","2.06","3.31","1.98","3.07","48.93","27.87","295,981,536"
"1994-01-03T06:00:00.000Z","3.03","3.58","2.50","3.56","15.72","-5.35","377,011,212"
"1995-01-02T06:00:00.000Z","3.51","6.57","3.39","6.57","84.72","63.66","429,211,900"
"1996-01-01T06:00:00.000Z","6.57","12.57","6.02","10.16","54.70","33.63","502,414,194"
"1997-01-01T06:00:00.000Z","10.05","15.33","7.56","15.00","47.63","26.57","514,977,101"
"1998-01-01T06:00:00.000Z","15.03","24.47","13.37","22.86","52.41","31.34","552,963,389"
"1999-01-01T06:00:00.000Z","23.00","29.92","15.71","26.67","16.65","-4.42","670,824,104"
"2000-01-03T06:00:00.000Z","26.67","61.25","24.17","48.63","82.34","61.28","634,844,175"
"2001-01-01T06:00:00.000Z","49.69","51.00","28.27","34.85","-28.33","-49.39","729,462,904"
"2002-01-01T06:00:00.000Z","35.08","42.15","20.39","27.90","-19.94","-41.01","757,892,541"
"2003-01-01T06:00:00.000Z","28.03","40.54","23.76","37.20","33.33","12.27","664,579,245"
"2004-01-01T06:00:00.000Z","37.36","39.12","28.83","34.08","-8.39","-29.45","562,725,138"
"2005-01-03T06:00:00.000Z","34.08","43.37","28.80","38.12","11.85","-9.21","547,457,218"
"2006-01-02T06:00:00.000Z","38.50","42.37","32.98","39.54","3.73","-17.34","513,607,538"
"2007-01-01T06:00:00.000Z","39.69","47.14","35.96","36.22","-8.40","-29.46","795,387,760"
"2008-01-01T06:00:00.000Z","36.02","37.47","23.22","26.28","-27.44","-48.51","1,017,975,877"
"2009-01-01T06:00:00.000Z","26.31","32.88","20.31","30.64","16.59","-4.47","993,497,433"
"2010-01-01T06:00:00.000Z","31.14","32.82","24.65","30.91","0.8812","-20.18","875,729,208"
"2011-01-03T06:00:00.000Z","31.24","33.91","25.12","30.11","-2.59","-23.65","778,959,599"
"2012-01-02T06:00:00.000Z","30.67","34.70","29.12","31.10","3.29","-17.78","661,009,229"
"2013-01-01T06:00:00.000Z","31.70","45.94","31.47","45.53","46.40","25.33","588,280,864"
"2014-01-01T06:00:00.000Z","45.44","48.20","39.80","46.17","1.41","-19.66","553,472,799"
"2015-01-01T06:00:00.000Z","46.36","54.78","41.59","52.89","14.55","-6.51","533,195,709"
"2016-01-01T06:00:00.000Z","52.00","62.18","45.76","60.88","15.11","-5.96","568,042,023"
"2017-01-02T06:00:00.000Z","61.15","70.39","54.20","68.08","11.83","-9.24","499,146,577"
"2018-01-01T06:00:00.000Z","68.34","76.02","59.36","65.15","-4.30","-25.37","559,062,681"
"2019-01-02T06:00:00.000Z","64.08","88.43","63.33","85.06","30.56","9.50","436,908,437"
"2020-01-02T06:00:00.000Z","85.50","99.95","47.87","93.18","9.55","-11.52","532,105,295"
"2021-01-04T06:00:00.000Z","93.21","138.97","85.30","136.50","46.49","25.43","402,986,803"
"2022-01-03T06:00:00.000Z","136.01","141.92","105.66","115.56","-15.34","-36.40","448,024,099"
"2023-01-03T06:00:00.000Z","116.64","129.70","104.09","122.40","5.92","-15.14","329,718,838"
