"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","17.75","19.38","15.44","19.06","","-2.61","5,019,200"
"1969-01-01T06:00:00.000Z","18.94","19.50","15.19","16.38","-14.10","-16.71","5,553,600"
"1970-01-01T06:00:00.000Z","17.00","17.50","11.38","17.31","5.73","3.11","7,380,200"
"1971-01-01T06:00:00.000Z","17.13","18.00","14.44","16.19","-6.50","-9.11","10,139,600"
"1972-01-03T06:00:00.000Z","16.25","16.56","13.31","16.31","0.7722","-1.84","11,374,800"
"1973-01-01T06:00:00.000Z","16.31","16.31","10.75","11.44","-29.89","-32.50","10,649,200"
"1974-01-01T06:00:00.000Z","11.44","12.44","8.50","10.06","-12.02","-14.63","11,879,400"
"1975-01-01T06:00:00.000Z","10.13","11.75","9.06","10.38","3.11","0.4925","14,621,800"
"1976-01-01T06:00:00.000Z","10.38","12.06","7.50","11.56","11.45","8.83","31,814,400"
"1977-01-03T06:00:00.000Z","11.56","12.75","11.13","12.00","3.78","1.17","34,753,200"
"1978-01-02T06:00:00.000Z","12.00","12.44","10.88","11.13","-7.29","-9.90","28,003,600"
"1979-01-01T06:00:00.000Z","11.13","12.56","10.81","11.50","3.37","0.7577","33,418,200"
"1980-01-01T06:00:00.000Z","11.50","12.38","9.63","10.25","-10.87","-13.48","41,164,000"
"1981-01-01T06:00:00.000Z","10.38","12.06","9.75","10.50","2.44","-0.1740","59,810,600"
"1982-01-01T06:00:00.000Z","10.50","14.38","10.13","14.06","33.93","31.32","88,197,000"
"1983-01-03T06:00:00.000Z","14.06","16.75","13.94","14.88","5.78","3.16","75,829,000"
"1984-01-02T06:00:00.000Z","14.88","17.25","12.00","16.38","10.08","7.47","77,708,200"
"1985-01-01T06:00:00.000Z","16.38","20.38","16.00","20.00","22.14","19.52","96,848,100"
"1986-01-01T06:00:00.000Z","20.00","27.50","18.75","24.25","21.25","18.64","151,051,602"
"1987-01-01T06:00:00.000Z","24.25","27.88","15.00","16.25","-32.99","-35.60","174,755,800"
"1988-01-01T06:00:00.000Z","16.25","18.38","14.00","17.50","7.69","5.08","152,537,000"
"1989-01-02T06:00:00.000Z","17.50","22.00","17.25","22.00","25.71","23.10","126,551,800"
"1990-01-01T06:00:00.000Z","22.00","25.63","20.00","25.00","13.64","11.02","127,353,900"
"1991-01-01T06:00:00.000Z","25.00","32.63","24.00","32.50","30.00","27.39","104,637,500"
"1992-01-01T06:00:00.000Z","32.25","34.63","29.00","33.13","1.92","-0.6900","105,787,600"
"1993-01-01T06:00:00.000Z","33.13","36.75","31.75","35.13","6.04","3.42","139,098,792"
"1994-01-03T06:00:00.000Z","34.88","35.00","21.38","24.38","-30.60","-33.22","172,093,302"
"1995-01-02T06:00:00.000Z","24.38","30.63","24.25","28.38","16.41","13.80","153,660,700"
"1996-01-01T06:00:00.000Z","28.38","28.38","19.50","21.00","-25.99","-28.60","259,584,098"
"1997-01-01T06:00:00.000Z","21.25","30.94","20.88","30.31","44.35","41.73","279,113,903"
"1998-01-01T06:00:00.000Z","30.44","35.06","29.06","31.50","3.92","1.30","241,885,900"
"1999-01-01T06:00:00.000Z","31.00","34.00","20.25","20.50","-34.92","-37.53","232,860,000"
"2000-01-03T06:00:00.000Z","20.38","31.81","17.00","20.00","-2.44","-5.05","315,402,496"
"2001-01-01T06:00:00.000Z","19.63","20.94","6.50","19.24","-3.80","-6.41","533,951,690"
"2002-01-01T06:00:00.000Z","19.10","23.75","8.00","13.90","-27.75","-30.37","407,117,303"
"2003-01-01T06:00:00.000Z","14.00","27.98","11.69","27.77","99.78","97.17","432,102,410"
"2004-01-01T06:00:00.000Z","27.74","34.46","25.90","33.28","19.84","17.23","426,801,597"
"2005-01-03T06:00:00.000Z","33.15","40.10","31.83","37.12","11.54","8.93","499,655,002"
"2006-01-02T06:00:00.000Z","37.12","48.17","36.25","47.33","27.51","24.89","386,295,800"
"2007-01-01T06:00:00.000Z","47.30","52.17","42.58","43.09","-8.96","-11.57","498,778,432"
"2008-01-01T06:00:00.000Z","43.15","45.68","26.67","38.71","-10.16","-12.78","655,283,299"
"2009-01-01T06:00:00.000Z","38.49","45.80","34.50","44.65","15.34","12.73","653,609,218"
"2010-01-01T06:00:00.000Z","44.95","48.63","34.95","47.84","7.14","4.53","695,342,548"
"2011-01-03T06:00:00.000Z","47.99","47.99","36.84","41.22","-13.84","-16.45","756,417,367"
"2012-01-02T06:00:00.000Z","41.42","47.03","39.40","40.18","-2.52","-5.14","635,084,408"
"2013-01-01T06:00:00.000Z","40.61","48.50","39.91","40.28","0.2489","-2.36","709,647,853"
"2014-01-01T06:00:00.000Z","40.36","55.24","39.42","53.24","32.17","29.56","763,124,083"
"2015-01-01T06:00:00.000Z","53.48","60.21","47.33","53.19","-0.0939","-2.71","771,384,498"
"2016-01-01T06:00:00.000Z","52.85","65.43","50.65","60.77","14.25","11.64","680,489,012"
"2017-01-02T06:00:00.000Z","60.81","71.57","41.61","44.83","-26.23","-28.84","880,184,105"
"2018-01-01T06:00:00.000Z","44.34","49.42","17.26","23.75","-47.02","-49.64","1,781,775,438"
"2019-01-02T06:00:00.000Z","23.55","25.19","3.55","10.87","-54.23","-56.84","4,088,651,365"
"2020-01-02T06:00:00.000Z","10.91","18.34","6.25","12.46","14.63","12.01","4,413,963,237"
"2021-01-04T06:00:00.000Z","12.48","12.65","8.24","12.14","-2.57","-5.18","3,823,941,763"
"2022-01-03T06:00:00.000Z","12.06","16.49","9.64","16.26","33.94","31.32","4,977,429,804"
"2023-01-03T06:00:00.000Z","15.99","18.19","14.90","16.46","1.23","-1.38","2,608,061,337"
