"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","10.83","12.58","10.00","11.71","","-4.83","6,382,348"
"1969-01-01T06:00:00.000Z","11.67","12.29","8.33","8.88","-24.20","-29.03","8,777,500"
"1970-01-01T06:00:00.000Z","8.88","9.38","6.92","9.33","5.17","0.3391","14,597,192"
"1971-01-01T06:00:00.000Z","9.21","9.96","8.29","9.17","-1.79","-6.61","15,446,794"
"1972-01-03T06:00:00.000Z","9.17","9.33","7.54","7.92","-13.64","-18.46","27,331,882"
"1973-01-01T06:00:00.000Z","7.92","8.42","6.00","6.13","-22.63","-27.46","15,228,396"
"1974-01-01T06:00:00.000Z","6.13","7.00","3.50","3.83","-37.41","-42.24","20,582,188"
"1975-01-01T06:00:00.000Z","4.00","6.33","4.00","6.04","57.61","52.78","17,026,592"
"1976-01-01T06:00:00.000Z","6.04","7.79","5.88","7.67","26.90","22.07","25,271,490"
"1977-01-03T06:00:00.000Z","7.67","8.71","7.17","7.63","-0.5439","-5.37","23,796,388"
"1978-01-02T06:00:00.000Z","7.63","8.21","6.67","6.75","-11.48","-16.30","24,723,088"
"1979-01-01T06:00:00.000Z","6.75","7.58","6.13","6.42","-4.94","-9.76","28,820,478"
"1980-01-01T06:00:00.000Z","6.42","7.00","5.17","5.67","-11.69","-16.51","47,514,030"
"1981-01-01T06:00:00.000Z","5.67","6.71","5.50","6.00","5.88","1.06","59,005,484"
"1982-01-01T06:00:00.000Z","6.00","7.92","5.92","7.75","29.17","24.34","88,939,678"
"1983-01-03T06:00:00.000Z","7.75","8.83","7.08","7.58","-2.15","-6.98","124,957,532"
"1984-01-02T06:00:00.000Z","7.58","9.04","6.71","8.92","17.58","12.76","139,297,454"
"1985-01-01T06:00:00.000Z","8.92","11.04","8.46","10.54","18.22","13.40","213,954,192"
"1986-01-01T06:00:00.000Z","10.54","16.08","10.25","13.42","27.27","22.45","224,248,640"
"1987-01-01T06:00:00.000Z","13.42","15.29","10.00","11.94","-11.03","-15.85","195,520,164"
"1988-01-01T06:00:00.000Z","11.94","13.44","11.00","12.25","2.62","-2.21","160,141,598"
"1989-01-02T06:00:00.000Z","12.25","14.69","11.50","14.63","19.39","14.56","144,135,600"
"1990-01-01T06:00:00.000Z","14.63","14.88","11.25","13.19","-9.83","-14.66","134,787,000"
"1991-01-01T06:00:00.000Z","13.19","14.69","12.63","14.69","11.37","6.55","171,019,400"
"1992-01-01T06:00:00.000Z","14.63","15.69","12.69","15.44","5.11","0.2804","199,406,000"
"1993-01-01T06:00:00.000Z","15.38","18.06","15.00","16.00","3.64","-1.18","204,313,208"
"1994-01-03T06:00:00.000Z","16.00","16.00","11.94","13.25","-17.19","-22.01","179,464,000"
"1995-01-02T06:00:00.000Z","13.19","15.31","13.00","15.31","15.57","10.74","200,837,800"
"1996-01-01T06:00:00.000Z","15.25","16.06","12.56","13.63","-11.02","-15.85","237,176,400"
"1997-01-01T06:00:00.000Z","13.69","15.91","11.44","15.91","16.74","11.92","248,258,996"
"1998-01-01T06:00:00.000Z","15.91","21.38","15.16","20.00","25.74","20.91","355,553,806"
"1999-01-01T06:00:00.000Z","20.00","21.31","16.00","17.41","-12.97","-17.80","250,795,400"
"2000-01-03T06:00:00.000Z","17.50","25.00","12.84","24.31","39.68","34.85","336,218,200"
"2001-01-01T06:00:00.000Z","24.25","25.77","18.44","21.09","-13.23","-18.06","331,173,000"
"2002-01-01T06:00:00.000Z","21.13","23.63","10.00","16.05","-23.92","-28.74","556,336,002"
"2003-01-01T06:00:00.000Z","16.20","22.25","16.05","21.90","36.45","31.62","557,304,122"
"2004-01-01T06:00:00.000Z","21.96","26.32","19.05","25.89","18.20","13.37","540,949,794"
"2005-01-03T06:00:00.000Z","25.89","34.23","24.66","32.48","25.50","20.67","521,245,800"
"2006-01-02T06:00:00.000Z","32.75","36.30","29.50","33.19","2.17","-2.66","857,222,006"
"2007-01-01T06:00:00.000Z","33.23","49.88","32.16","49.12","48.00","43.17","740,916,044"
"2008-01-01T06:00:00.000Z","48.28","52.30","22.09","29.17","-40.61","-45.44","784,234,606"
