"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","0.4295","0.5069","0.3752","0.4954","","-10.91","577,692,944"
"1969-01-01T06:00:00.000Z","0.4970","0.6912","0.4633","0.6805","37.36","26.46","453,720,329"
"1970-01-01T06:00:00.000Z","0.6797","0.7537","0.5332","0.7184","5.57","-5.34","590,787,439"
"1971-01-01T06:00:00.000Z","0.7208","0.8393","0.6912","0.8270","15.12","4.21","501,804,439"
"1972-01-03T06:00:00.000Z","0.8048","0.9035","0.7356","0.8467","2.38","-8.53","641,661,622"
"1973-01-01T06:00:00.000Z","0.8517","1.03","0.7603","0.8492","0.2953","-10.61","536,394,034"
"1974-01-01T06:00:00.000Z","0.8492","0.8887","0.4221","0.6492","-23.55","-34.46","407,124,877"
"1975-01-01T06:00:00.000Z","0.6492","0.7282","0.4690","0.5456","-15.96","-26.87","656,062,532"
"1976-01-01T06:00:00.000Z","0.5456","0.6147","0.5011","0.5801","6.32","-4.58","865,691,330"
"1977-01-03T06:00:00.000Z","0.5801","0.5851","0.4666","0.5406","-6.81","-17.72","649,940,636"
"1978-01-02T06:00:00.000Z","0.5382","0.7702","0.5036","0.6517","20.55","9.64","1,040,376,075"
"1979-01-01T06:00:00.000Z","0.6517","0.8245","0.5727","0.7751","18.94","8.03","1,128,467,856"
"1980-01-01T06:00:00.000Z","0.7702","1.06","0.6320","1.06","36.32","25.41","1,317,634,556"
"1981-01-01T06:00:00.000Z","1.06","1.08","0.7899","1.05","-0.4732","-11.38","1,564,020,155"
"1982-01-01T06:00:00.000Z","1.05","1.59","0.9850","1.36","29.35","18.44","3,081,040,046"
"1983-01-03T06:00:00.000Z","1.36","1.77","1.33","1.41","3.81","-7.10","2,549,311,894"
"1984-01-02T06:00:00.000Z","1.41","1.67","1.16","1.67","18.19","7.28","2,668,514,572"
"1985-01-01T06:00:00.000Z","1.66","2.22","1.49","2.00","19.82","8.92","2,975,942,110"
"1986-01-01T06:00:00.000Z","2.00","2.88","1.83","2.41","20.49","9.58","2,977,570,057"
"1987-01-01T06:00:00.000Z","2.41","3.04","1.63","1.84","-23.56","-34.47","3,308,495,307"
"1988-01-01T06:00:00.000Z","1.87","2.38","1.87","2.29","24.40","13.49","2,555,203,422"
"1989-01-02T06:00:00.000Z","2.29","2.99","2.13","2.75","19.83","8.92","2,748,046,308"
"1990-01-01T06:00:00.000Z","2.75","3.23","2.15","3.19","16.19","5.28","3,883,904,781"
"1991-01-01T06:00:00.000Z","3.19","6.80","2.90","6.64","108.05","97.14","2,691,943,936"
"1992-01-01T06:00:00.000Z","6.52","6.87","5.14","5.73","-13.69","-24.60","2,723,815,630"
"1993-01-01T06:00:00.000Z","5.73","5.97","4.15","5.45","-4.83","-15.74","3,659,144,657"
"1994-01-03T06:00:00.000Z","5.45","6.27","4.20","6.10","11.96","1.05","2,707,153,806"
"1995-01-02T06:00:00.000Z","6.07","10.57","5.89","9.95","63.11","52.20","2,463,396,832"
"1996-01-01T06:00:00.000Z","9.87","14.42","9.52","13.11","31.74","20.84","2,080,014,378"
"1997-01-01T06:00:00.000Z","13.11","25.28","12.74","23.56","79.67","68.76","2,566,659,555"
"1998-01-01T06:00:00.000Z","23.84","40.74","22.45","39.50","67.64","56.74","3,283,057,949"
"1999-01-01T06:00:00.000Z","40.07","47.44","29.90","30.75","-22.15","-33.06","2,956,826,874"
"2000-01-03T06:00:00.000Z","30.39","46.69","28.44","43.61","41.81","30.90","3,099,363,880"
"2001-01-01T06:00:00.000Z","43.19","44.32","32.23","37.78","-13.37","-24.28","3,437,449,541"
"2002-01-01T06:00:00.000Z","37.78","40.25","23.82","28.98","-23.29","-34.19","4,402,111,012"
"2003-01-01T06:00:00.000Z","29.14","35.00","26.45","33.49","15.57","4.66","5,147,424,139"
"2004-01-01T06:00:00.000Z","33.59","36.87","20.85","25.49","-23.89","-34.80","6,173,403,882"
"2005-01-03T06:00:00.000Z","25.89","27.69","19.21","22.11","-13.28","-24.18","7,799,421,070"
"2006-01-02T06:00:00.000Z","22.42","27.11","21.01","24.55","11.06","0.1556","8,266,747,671"
"2007-01-01T06:00:00.000Z","24.79","26.29","21.08","21.55","-12.24","-23.15","10,129,822,865"
"2008-01-01T06:00:00.000Z","21.58","22.98","13.52","16.79","-22.09","-32.99","13,376,995,661"
"2009-01-01T06:00:00.000Z","16.95","18.00","11.02","17.24","2.71","-8.20","14,854,061,973"
"2010-01-01T06:00:00.000Z","17.32","19.30","13.27","16.60","-3.74","-14.65","14,636,622,629"
"2011-01-03T06:00:00.000Z","16.78","20.76","15.76","20.51","23.59","12.68","12,995,214,991"
"2012-01-02T06:00:00.000Z","20.72","24.73","19.67","23.77","15.89","4.99","8,923,302,380"
"2013-01-01T06:00:00.000Z","24.20","30.81","24.01","29.04","22.13","11.22","9,718,449,243"
"2014-01-01T06:00:00.000Z","28.88","31.39","26.08","29.53","1.70","-9.21","6,941,003,303"
"2015-01-01T06:00:00.000Z","29.64","34.56","26.99","30.60","3.63","-7.28","7,654,008,424"
"2016-01-01T06:00:00.000Z","30.19","35.44","26.78","30.79","0.6196","-10.29","8,277,006,565"
"2017-01-02T06:00:00.000Z","31.00","35.41","29.29","34.33","11.51","0.6073","5,207,925,976"
"2018-01-01T06:00:00.000Z","34.49","44.05","31.47","41.38","20.51","9.61","5,994,840,155"
"2019-01-02T06:00:00.000Z","40.88","42.24","32.20","37.14","-10.24","-21.15","6,066,061,927"
"2020-01-02T06:00:00.000Z","37.25","43.08","26.43","36.81","-0.8901","-11.80","8,578,129,780"
"2021-01-04T06:00:00.000Z","36.87","61.71","33.36","59.05","60.42","49.51","8,292,369,609"
"2022-01-03T06:00:00.000Z","58.50","58.55","41.45","51.24","-13.23","-24.13","6,084,653,179"
"2023-01-03T06:00:00.000Z","51.01","51.60","34.66","35.78","-30.17","-41.08","4,056,945,887"
