"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-10-02T05:00:00.000Z","0.0534","0.0677","0.0534","0.0573","","-22.94","164,915,488"
"1973-01-01T06:00:00.000Z","0.0585","0.0652","0.0207","0.0229","-60.03","-82.98","520,088,432"
"1974-01-01T06:00:00.000Z","0.0232","0.0265","0.0055","0.0073","-68.12","-91.06","277,539,328"
"1975-01-01T06:00:00.000Z","0.0073","0.0204","0.0070","0.0146","100.00","77.06","161,450,436"
"1976-01-01T06:00:00.000Z","0.0149","0.0287","0.0149","0.0253","73.29","50.35","249,244,500"
"1977-01-03T06:00:00.000Z","0.0253","0.0320","0.0238","0.0320","26.48","3.54","305,954,700"
"1978-01-02T06:00:00.000Z","0.0320","0.0457","0.0256","0.0390","21.87","-1.07","383,415,256"
"1979-01-01T06:00:00.000Z","0.0390","0.0613","0.0390","0.0601","54.10","31.16","312,881,072"
"1980-01-01T06:00:00.000Z","0.0591","0.1061","0.0466","0.1061","76.54","53.60","351,031,264"
"1981-01-01T06:00:00.000Z","0.1070","0.2126","0.0978","0.1783","68.05","45.11","294,189,200"
"1982-01-01T06:00:00.000Z","0.1783","0.2277","0.1344","0.2030","13.85","-9.09","162,144,808"
"1983-01-03T06:00:00.000Z","0.2030","0.3333","0.2030","0.3025","49.01","26.07","194,805,080"
"1984-01-02T06:00:00.000Z","0.3025","0.3107","0.2448","0.2839","-6.15","-29.09","210,723,888"
"1985-01-01T06:00:00.000Z","0.2839","0.5864","0.2839","0.5710","101.13","78.18","480,546,232"
"1986-01-01T06:00:00.000Z","0.5741","1.07","0.5648","0.8611","50.81","27.86","739,700,584"
"1987-01-01T06:00:00.000Z","0.8611","0.9861","0.7083","0.8472","-1.61","-24.56","819,010,780"
"1988-01-01T06:00:00.000Z","0.8472","0.8958","0.6007","0.6389","-24.59","-47.53","370,283,524"
"1989-01-02T06:00:00.000Z","0.6389","1.20","0.6250","1.07","67.38","44.44","465,847,416"
"1990-01-01T06:00:00.000Z","1.07","1.57","0.9132","1.42","33.12","10.18","333,663,764"
"1991-01-01T06:00:00.000Z","1.42","1.72","1.25","1.50","5.37","-17.58","340,554,220"
"1992-01-01T06:00:00.000Z","1.49","2.45","1.23","2.43","61.81","38.86","388,207,864"
"1993-01-01T06:00:00.000Z","2.41","3.84","2.29","3.38","39.05","16.11","443,401,528"
"1994-01-03T06:00:00.000Z","3.38","3.38","2.31","2.92","-13.58","-36.52","459,142,096"
"1995-01-02T06:00:00.000Z","2.92","4.13","2.90","4.07","39.65","16.70","341,362,108"
"1996-01-01T06:00:00.000Z","4.05","6.02","3.36","5.61","37.85","14.91","340,634,896"
"1997-01-01T06:00:00.000Z","5.62","10.07","5.12","9.99","77.92","54.98","530,067,576"
"1998-01-01T06:00:00.000Z","9.93","14.33","7.83","14.11","41.29","18.35","636,977,864"
"1999-01-01T06:00:00.000Z","14.00","14.52","5.71","6.09","-56.83","-79.77","935,795,252"
"2000-01-03T06:00:00.000Z","6.05","9.25","3.75","8.64","41.71","18.77","1,594,751,848"
"2001-01-01T06:00:00.000Z","8.61","12.65","6.84","12.44","44.08","21.13","1,301,872,116"
"2002-01-01T06:00:00.000Z","12.45","15.12","11.19","12.41","-0.2733","-23.22","777,385,004"
"2003-01-01T06:00:00.000Z","12.53","21.17","11.56","20.90","68.43","45.48","822,045,156"
"2004-01-01T06:00:00.000Z","20.90","24.32","18.27","21.21","1.50","-21.45","766,073,596"
"2005-01-03T06:00:00.000Z","21.49","31.23","20.34","29.20","37.65","14.70","749,849,200"
"2006-01-02T06:00:00.000Z","29.20","30.09","22.18","24.22","-17.04","-39.98","734,027,596"
"2007-01-01T06:00:00.000Z","24.50","25.16","17.26","19.16","-20.89","-43.83","1,158,600,073"
"2008-01-01T06:00:00.000Z","19.03","21.31","10.29","14.81","-22.70","-45.65","1,461,851,268"
"2009-01-01T06:00:00.000Z","14.83","18.22","9.76","17.99","21.47","-1.47","1,350,231,082"
"2010-01-01T06:00:00.000Z","17.99","22.13","16.18","19.87","10.45","-12.49","1,103,265,777"
"2011-01-03T06:00:00.000Z","20.09","22.08","16.88","19.51","-1.81","-24.75","1,185,268,962"
"2012-01-02T06:00:00.000Z","19.81","23.41","19.01","21.10","8.15","-14.79","1,319,160,669"
"2013-01-01T06:00:00.000Z","21.45","28.54","21.36","27.27","29.24","6.30","857,140,545"
"2014-01-01T06:00:00.000Z","27.29","27.52","22.53","26.99","-1.03","-23.97","949,484,913"
"2015-01-01T06:00:00.000Z","27.09","33.95","25.23","31.80","17.82","-5.12","904,684,287"
"2016-01-01T06:00:00.000Z","31.40","35.95","29.32","35.50","11.64","-11.31","823,112,521"
"2017-01-02T06:00:00.000Z","35.74","57.18","35.23","56.32","58.65","35.71","765,323,967"
"2018-01-01T06:00:00.000Z","56.46","73.69","50.79","60.33","7.12","-15.82","872,310,322"
"2019-01-02T06:00:00.000Z","59.28","84.96","58.10","72.39","19.99","-2.95","784,773,503"
"2020-01-02T06:00:00.000Z","73.92","102.05","62.18","98.88","36.59","13.65","763,336,170"
"2021-01-04T06:00:00.000Z","97.58","107.58","84.89","102.65","3.81","-19.13","694,009,525"
"2022-01-03T06:00:00.000Z","102.50","134.50","100.81","129.71","26.36","3.42","677,555,736"
"2023-01-03T06:00:00.000Z","129.37","149.87","111.41","135.48","4.45","-18.49","456,886,808"
