"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-10-02T05:00:00.000Z","3.39","3.60","3.39","3.52","","-9.41","2,938,592"
"1973-01-01T06:00:00.000Z","3.57","4.40","2.92","3.22","-8.58","-17.99","20,426,362"
"1974-01-01T06:00:00.000Z","3.12","3.25","1.87","2.14","-33.67","-43.08","11,915,492"
"1975-01-01T06:00:00.000Z","2.17","3.12","2.14","2.69","26.15","16.74","10,268,735"
"1976-01-01T06:00:00.000Z","2.83","3.42","2.53","2.73","1.22","-8.19","7,038,453"
"1977-01-03T06:00:00.000Z","2.83","3.35","2.66","3.02","10.84","1.44","8,531,093"
"1978-01-02T06:00:00.000Z","3.09","3.52","2.76","3.19","5.44","-3.97","6,352,437"
"1979-01-01T06:00:00.000Z","3.22","3.42","2.73","2.86","-10.31","-19.72","11,592,068"
"1980-01-01T06:00:00.000Z","2.86","2.86","1.76","1.86","-35.06","-44.47","11,937,958"
"1981-01-01T06:00:00.000Z","1.86","2.45","1.81","2.14","15.05","5.64","14,398,243"
"1982-01-01T06:00:00.000Z","2.17","2.83","2.10","2.73","27.69","18.28","28,045,706"
"1983-01-03T06:00:00.000Z","2.76","5.13","2.76","3.78","38.55","29.15","401,863,635"
"1984-01-02T06:00:00.000Z","3.88","4.57","3.38","4.11","8.69","-0.7133","261,073,458"
"1985-01-01T06:00:00.000Z","4.11","5.91","3.75","5.88","43.20","33.79","332,911,729"
"1986-01-01T06:00:00.000Z","5.98","6.80","4.90","5.22","-11.17","-20.58","203,876,900"
"1987-01-01T06:00:00.000Z","5.26","7.19","3.61","3.81","-27.04","-36.45","131,624,651"
"1988-01-01T06:00:00.000Z","3.81","4.67","3.32","4.50","18.10","8.69","99,305,794"
"1989-01-02T06:00:00.000Z","4.57","6.64","4.30","6.57","45.98","36.58","147,572,888"
"1990-01-01T06:00:00.000Z","6.57","6.57","2.89","3.09","-53.00","-62.41","156,460,989"
"1991-01-01T06:00:00.000Z","3.09","5.16","2.96","4.60","48.93","39.53","117,108,880"
"1992-01-01T06:00:00.000Z","4.60","5.75","2.53","2.83","-38.57","-47.98","250,969,783"
"1993-01-01T06:00:00.000Z","2.89","5.75","2.86","5.42","91.86","82.45","311,172,939"
"1994-01-03T06:00:00.000Z","5.52","8.90","5.52","7.72","42.42","33.02","366,239,621"
"1995-01-02T06:00:00.000Z","7.85","14.03","7.79","9.43","22.13","12.72","680,226,711"
"1996-01-01T06:00:00.000Z","9.63","11.30","7.56","10.51","11.50","2.09","406,349,514"
"1997-01-01T06:00:00.000Z","10.45","23.36","10.25","15.90","51.25","41.84","547,076,240"
"1998-01-01T06:00:00.000Z","16.08","27.04","11.04","17.79","11.88","2.47","674,371,892"
"1999-01-01T06:00:00.000Z","18.02","33.00","17.51","32.64","83.48","74.07","533,238,620"
"2000-01-03T06:00:00.000Z","34.67","52.35","29.08","34.01","4.19","-5.22","444,157,553"
"2001-01-01T06:00:00.000Z","34.36","39.99","14.10","27.31","-19.70","-29.10","334,898,950"
"2002-01-01T06:00:00.000Z","28.18","30.96","11.96","16.59","-39.26","-48.67","299,585,856"
"2003-01-01T06:00:00.000Z","17.09","28.28","12.95","27.29","64.54","55.13","238,522,703"
"2004-01-01T06:00:00.000Z","28.23","31.32","20.54","24.86","-8.90","-18.31","226,160,550"
"2005-01-03T06:00:00.000Z","25.02","30.22","22.49","29.18","17.36","7.95","209,719,688"
"2006-01-02T06:00:00.000Z","30.04","35.61","25.67","35.26","20.84","11.43","213,035,725"
"2007-01-01T06:00:00.000Z","35.56","43.06","33.16","40.11","13.76","4.35","231,607,353"
"2008-01-01T06:00:00.000Z","40.18","40.26","13.80","18.64","-53.52","-62.93","269,046,001"
"2009-01-01T06:00:00.000Z","18.80","28.58","13.05","27.62","48.16","38.76","291,971,935"
"2010-01-01T06:00:00.000Z","28.76","33.83","24.88","28.80","4.28","-5.13","380,039,728"
"2011-01-03T06:00:00.000Z","29.44","31.97","15.25","19.65","-31.76","-41.17","412,472,778"
"2012-01-02T06:00:00.000Z","19.98","25.18","16.10","24.90","26.68","17.27","255,664,355"
"2013-01-01T06:00:00.000Z","25.39","34.71","24.70","34.68","39.30","29.89","186,824,969"
"2014-01-01T06:00:00.000Z","34.31","36.02","24.71","27.21","-21.56","-30.97","173,085,484"
"2015-01-01T06:00:00.000Z","27.37","28.55","21.73","23.88","-12.24","-21.65","355,856,614"
"2016-01-01T06:00:00.000Z","23.24","28.73","21.57","28.68","20.12","10.71","402,250,248"
"2017-01-02T06:00:00.000Z","28.22","39.73","26.93","35.46","23.65","14.24","414,448,440"
"2018-01-01T06:00:00.000Z","35.54","43.78","31.58","32.94","-7.12","-16.52","308,326,641"
"2019-01-02T06:00:00.000Z","32.61","46.20","30.94","45.78","38.99","29.58","175,334,728"
"2020-01-02T06:00:00.000Z","46.34","52.93","28.61","51.85","13.26","3.85","207,300,136"
"2021-01-04T06:00:00.000Z","53.61","58.61","32.16","35.27","-31.97","-41.38","225,783,605"
"2022-01-03T06:00:00.000Z","35.83","37.11","11.25","14.35","-59.32","-68.73","640,718,918"
"2023-01-03T06:00:00.000Z","14.87","23.30","14.80","21.88","52.49","43.08","248,752,306"
