"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-02-01T06:00:00.000Z","0.1615","0.1706","0.0716","0.0781","","-30.44","112,929,536"
"1973-01-01T06:00:00.000Z","0.0781","0.0807","0.0143","0.0143","-81.69","-112.13","39,306,688"
"1974-01-01T06:00:00.000Z","0.0156","0.0352","0.0065","0.0117","-18.18","-48.62","19,274,624"
"1975-01-01T06:00:00.000Z","0.0117","0.0378","0.0117","0.0221","88.89","58.45","18,438,784"
"1976-01-01T06:00:00.000Z","0.0234","0.0729","0.0234","0.0651","194.57","164.13","72,772,480"
"1977-01-03T06:00:00.000Z","0.0651","0.0977","0.0638","0.0833","27.96","-2.48","62,490,112"
"1978-01-02T06:00:00.000Z","0.0833","0.1510","0.0716","0.1146","37.58","7.14","88,131,264"
"1979-01-01T06:00:00.000Z","0.1146","0.2520","0.1146","0.2109","84.03","53.60","57,215,936"
"1980-01-01T06:00:00.000Z","0.2090","0.4648","0.1406","0.4023","90.75","60.32","52,281,600"
"1981-01-01T06:00:00.000Z","0.4023","0.5430","0.3203","0.4766","18.47","-11.97","28,684,800"
"1982-01-01T06:00:00.000Z","0.4766","2.43","0.4023","2.42","408.16","377.73","78,123,200"
"1983-01-03T06:00:00.000Z","2.50","4.69","2.20","3.09","27.74","-2.69","144,089,600"
"1984-01-02T06:00:00.000Z","3.09","3.38","1.27","2.31","-25.25","-55.69","147,013,600"
"1985-01-01T06:00:00.000Z","2.31","2.72","1.30","1.72","-25.67","-56.11","128,895,200"
"1986-01-01T06:00:00.000Z","1.72","3.00","1.31","1.52","-11.82","-42.26","166,054,400"
"1987-01-01T06:00:00.000Z","1.52","2.17","0.8438","1.05","-30.93","-61.36","121,770,400"
"1988-01-01T06:00:00.000Z","1.06","1.44","0.7656","1.39","32.83","2.39","74,816,000"
"1989-01-02T06:00:00.000Z","1.38","2.36","1.19","1.39","","-30.44","102,716,800"
"1990-01-01T06:00:00.000Z","1.41","1.56","0.7500","1.17","-15.73","-46.16","89,188,800"
"1991-01-01T06:00:00.000Z","1.17","3.14","1.16","2.94","150.66","120.23","96,560,800"
"1992-01-01T06:00:00.000Z","2.97","3.97","2.16","3.77","28.19","-2.24","260,288,000"
"1993-01-01T06:00:00.000Z","3.78","5.17","2.94","4.53","20.33","-10.10","182,740,000"
"1994-01-03T06:00:00.000Z","4.50","4.83","2.27","2.88","-36.55","-66.99","165,430,400"
"1995-01-02T06:00:00.000Z","2.84","4.33","2.52","4.20","46.19","15.76","158,284,800"
"1996-01-01T06:00:00.000Z","4.23","4.33","3.00","3.84","-8.55","-38.98","153,209,600"
"1997-01-01T06:00:00.000Z","3.83","5.31","3.41","5.23","35.97","5.54","102,769,600"
"1998-01-01T06:00:00.000Z","5.23","9.05","4.98","6.95","33.03","2.60","197,860,400"
"1999-01-01T06:00:00.000Z","7.02","7.81","4.19","5.63","-19.10","-49.54","155,333,200"
"2000-01-03T06:00:00.000Z","5.63","11.25","3.81","10.55","87.50","57.06","244,429,200"
"2001-01-01T06:00:00.000Z","10.61","12.56","6.53","11.17","5.88","-24.55","537,119,200"
"2002-01-01T06:00:00.000Z","11.18","14.94","9.05","11.97","7.16","-23.27","709,688,000"
"2003-01-01T06:00:00.000Z","11.97","24.71","11.36","23.41","95.57","65.14","756,055,388"
"2004-01-01T06:00:00.000Z","23.41","32.50","20.00","31.90","36.30","5.86","772,852,396"
"2005-01-03T06:00:00.000Z","31.90","48.23","30.01","39.36","23.39","-7.05","869,211,797"
"2006-01-02T06:00:00.000Z","39.50","44.70","26.02","33.12","-15.85","-46.29","752,705,990"
"2007-01-01T06:00:00.000Z","33.13","35.56","8.78","10.54","-68.18","-98.61","1,159,765,363"
"2008-01-01T06:00:00.000Z","10.50","23.24","6.49","10.93","3.70","-26.74","2,361,661,718"
"2009-01-01T06:00:00.000Z","11.09","13.59","7.71","10.00","-8.51","-38.94","2,113,991,148"
"2010-01-01T06:00:00.000Z","10.02","13.91","6.13","7.52","-24.80","-55.24","2,047,326,966"
"2011-01-03T06:00:00.000Z","7.62","8.69","3.29","6.31","-16.09","-46.53","2,571,386,584"
"2012-01-02T06:00:00.000Z","6.47","18.86","6.37","18.16","187.80","157.36","3,233,885,501"
"2013-01-01T06:00:00.000Z","18.88","24.47","14.23","20.37","12.17","-18.27","2,422,830,875"
"2014-01-01T06:00:00.000Z","20.25","22.03","16.56","21.46","5.35","-25.08","1,548,431,666"
"2015-01-01T06:00:00.000Z","21.59","23.36","17.08","17.82","-16.96","-47.40","1,443,992,379"
"2016-01-01T06:00:00.000Z","17.57","22.40","14.61","18.38","3.14","-27.29","1,388,615,747"
"2017-01-02T06:00:00.000Z","18.55","34.60","18.18","33.25","80.90","50.47","1,257,598,616"
"2018-01-01T06:00:00.000Z","33.45","35.21","20.64","25.99","-21.83","-52.27","1,307,738,693"
"2019-01-02T06:00:00.000Z","25.60","41.22","25.10","38.80","49.29","18.85","962,195,433"
"2020-01-02T06:00:00.000Z","38.87","49.70","17.12","43.12","11.13","-19.30","932,139,427"
"2021-01-04T06:00:00.000Z","43.29","63.91","39.92","57.16","32.56","2.12","670,199,138"
"2022-01-03T06:00:00.000Z","57.33","58.09","35.03","45.53","-20.35","-50.78","668,554,772"
"2023-01-03T06:00:00.000Z","46.40","86.16","45.53","82.63","81.48","51.05","456,168,752"
