"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-04-03T06:00:00.000Z","3.67","4.75","3.42","4.75","","-10.36","3,694,400"
"1973-01-01T06:00:00.000Z","4.75","4.77","3.47","4.16","-12.50","-22.86","4,236,000"
"1974-01-01T06:00:00.000Z","4.13","4.13","1.84","2.00","-51.88","-62.24","5,024,000"
"1975-01-01T06:00:00.000Z","2.09","3.06","2.09","2.34","17.19","6.83","4,817,600"
"1976-01-01T06:00:00.000Z","2.31","2.97","2.31","2.94","25.33","14.97","5,800,800"
"1977-01-03T06:00:00.000Z","2.94","2.94","2.53","2.88","-2.13","-12.49","4,905,600"
"1978-01-02T06:00:00.000Z","2.84","3.56","2.72","3.41","18.48","8.12","7,959,200"
"1979-01-01T06:00:00.000Z","3.41","3.72","2.78","3.03","-11.01","-21.37","6,717,600"
"1980-01-01T06:00:00.000Z","3.00","3.88","2.28","3.88","27.84","17.48","7,652,800"
"1981-01-01T06:00:00.000Z","3.94","6.06","3.66","5.78","49.19","38.83","22,964,000"
"1982-01-01T06:00:00.000Z","5.78","8.94","5.47","7.91","36.76","26.40","27,107,200"
"1983-01-03T06:00:00.000Z","7.94","11.56","7.88","10.72","35.57","25.22","34,933,200"
"1984-01-02T06:00:00.000Z","10.72","11.72","9.03","11.56","7.87","-2.49","31,776,800"
"1985-01-01T06:00:00.000Z","11.53","17.81","11.41","17.50","51.35","40.99","46,601,600"
"1986-01-01T06:00:00.000Z","17.50","25.50","17.44","20.63","17.86","7.50","53,729,400"
"1987-01-01T06:00:00.000Z","20.75","25.50","16.63","18.63","-9.70","-20.05","82,242,600"
"1988-01-01T06:00:00.000Z","18.63","23.25","18.25","19.88","6.71","-3.65","69,686,000"
"1989-01-02T06:00:00.000Z","19.88","24.50","19.25","20.81","4.72","-5.64","81,579,000"
"1990-01-01T06:00:00.000Z","20.81","22.06","7.88","10.81","-48.05","-58.41","79,365,200"
"1991-01-01T06:00:00.000Z","10.81","24.13","9.44","23.56","117.92","107.56","95,645,800"
"1992-01-01T06:00:00.000Z","23.25","29.25","23.13","28.50","20.95","10.60","85,253,400"
"1993-01-01T06:00:00.000Z","28.75","36.38","27.00","29.00","1.75","-8.60","83,432,200"
"1994-01-03T06:00:00.000Z","28.75","31.63","20.00","21.13","-27.16","-37.51","113,163,800"
"1995-01-02T06:00:00.000Z","21.13","32.38","21.13","32.25","52.66","42.31","204,118,903"
"1996-01-01T06:00:00.000Z","31.75","39.75","27.50","37.63","16.67","6.31","185,922,900"
"1997-01-01T06:00:00.000Z","37.50","58.75","36.50","56.94","51.33","40.97","168,575,498"
"1998-01-01T06:00:00.000Z","56.50","66.75","38.75","54.00","-5.16","-15.52","165,298,000"
"1999-01-01T06:00:00.000Z","54.25","62.00","43.00","44.50","-17.59","-27.95","183,809,900"
"2000-01-03T06:00:00.000Z","44.00","75.00","36.00","73.06","64.19","53.83","247,151,900"
"2001-01-01T06:00:00.000Z","73.00","75.81","51.14","56.20","-23.08","-33.44","268,364,900"
"2002-01-01T06:00:00.000Z","55.70","62.80","32.70","41.90","-25.44","-35.80","341,677,502"
"2003-01-01T06:00:00.000Z","42.37","55.55","41.63","54.73","30.62","20.26","263,831,958"
"2004-01-01T06:00:00.000Z","54.73","59.79","48.90","57.44","4.95","-5.41","254,687,098"
"2005-01-03T06:00:00.000Z","57.44","65.66","49.35","61.83","7.64","-2.71","325,539,700"
"2006-01-02T06:00:00.000Z","62.25","75.15","61.78","74.04","19.75","9.39","354,157,497"
"2007-01-01T06:00:00.000Z","74.47","76.41","63.54","65.65","-11.33","-21.69","555,642,618"
"2008-01-01T06:00:00.000Z","65.51","87.99","39.09","49.00","-25.36","-35.72","1,172,459,253"
"2009-01-01T06:00:00.000Z","48.49","57.86","16.20","52.79","7.73","-2.62","2,131,709,833"
"2010-01-01T06:00:00.000Z","53.74","70.45","49.43","60.72","15.02","4.66","1,322,337,110"
"2011-01-03T06:00:00.000Z","61.29","65.19","42.70","57.67","-5.02","-15.38","1,176,394,390"
"2012-01-02T06:00:00.000Z","58.93","67.89","53.36","58.31","1.11","-9.25","856,151,792"
"2013-01-01T06:00:00.000Z","59.51","78.36","58.96","77.58","33.05","22.69","632,430,330"
"2014-01-01T06:00:00.000Z","76.06","93.45","76.06","91.23","17.59","7.24","551,016,497"
"2015-01-01T06:00:00.000Z","91.84","100.52","81.84","95.31","4.47","-5.89","616,079,162"
"2016-01-01T06:00:00.000Z","94.00","118.57","77.40","116.96","22.72","12.36","693,491,442"
"2017-01-02T06:00:00.000Z","118.78","147.28","113.66","144.29","23.37","13.01","543,406,702"
"2018-01-01T06:00:00.000Z","145.25","163.59","108.45","116.91","-18.98","-29.33","596,828,468"
"2019-01-02T06:00:00.000Z","115.15","161.79","114.85","159.63","36.54","26.18","497,316,125"
"2020-01-02T06:00:00.000Z","159.75","161.25","79.41","149.00","-6.66","-17.02","668,432,876"
"2021-01-04T06:00:00.000Z","149.68","217.60","141.60","200.52","34.58","24.22","433,553,132"
"2022-01-03T06:00:00.000Z","204.60","228.14","143.52","157.94","-21.23","-31.59","536,724,459"
"2023-01-03T06:00:00.000Z","159.65","169.07","110.31","122.22","-22.62","-32.97","526,468,158"
