"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-12-01T06:00:00.000Z","0.2268","0.2268","0.2046","0.2179","","-16.83","379,064"
"1973-01-01T06:00:00.000Z","0.2224","0.5626","0.2224","0.2984","36.94","20.11","23,181,313"
"1974-01-01T06:00:00.000Z","0.3033","0.4061","0.1561","0.2314","-22.45","-39.29","13,743,781"
"1975-01-01T06:00:00.000Z","0.2260","0.2368","0.1539","0.1835","-20.70","-37.53","10,717,082"
"1976-01-01T06:00:00.000Z","0.1954","0.4854","0.1954","0.4736","158.09","141.26","19,308,987"
"1977-01-03T06:00:00.000Z","0.4677","0.6808","0.3907","0.6097","28.74","11.90","35,276,762"
"1978-01-02T06:00:00.000Z","0.6097","1.22","0.5742","0.7518","23.31","6.47","62,771,482"
"1979-01-01T06:00:00.000Z","0.7577","1.01","0.6512","0.7518","","-16.83","52,621,294"
"1980-01-01T06:00:00.000Z","0.7400","0.9176","0.6393","0.8169","8.66","-8.17","50,243,595"
"1981-01-01T06:00:00.000Z","0.8228","1.13","0.8110","0.8465","3.62","-13.21","37,441,274"
"1982-01-01T06:00:00.000Z","0.8347","1.36","0.7400","1.04","22.39","5.55","27,961,934"
"1983-01-03T06:00:00.000Z","1.04","2.15","1.04","2.15","107.13","90.30","36,338,858"
"1984-01-02T06:00:00.000Z","2.00","2.16","1.62","2.14","-0.4287","-17.26","45,107,293"
"1985-01-01T06:00:00.000Z","2.14","3.08","1.93","2.87","34.20","17.36","39,091,889"
"1986-01-01T06:00:00.000Z","2.87","3.33","2.21","2.61","-9.07","-25.91","66,764,885"
"1987-01-01T06:00:00.000Z","2.61","3.28","1.73","2.11","-19.02","-35.86","79,124,973"
"1988-01-01T06:00:00.000Z","2.16","4.00","2.16","3.50","65.66","48.83","89,764,351"
"1989-01-02T06:00:00.000Z","3.50","3.93","2.85","3.08","-12.00","-28.83","66,805,688"
"1990-01-01T06:00:00.000Z","3.08","3.67","2.35","2.77","-10.00","-26.83","60,247,447"
"1991-01-01T06:00:00.000Z","2.77","4.84","2.66","4.50","62.63","45.80","125,499,906"
"1992-01-01T06:00:00.000Z","4.46","5.37","3.85","4.42","-1.86","-18.70","88,363,829"
"1993-01-01T06:00:00.000Z","4.42","6.93","4.36","5.54","25.32","8.48","121,351,549"
"1994-01-03T06:00:00.000Z","5.54","7.51","5.41","7.18","29.54","12.71","84,797,107"
"1995-01-02T06:00:00.000Z","7.09","8.90","6.67","8.35","16.37","-0.4583","70,305,840"
"1996-01-01T06:00:00.000Z","8.35","10.83","7.68","10.83","29.65","12.81","67,580,680"
"1997-01-01T06:00:00.000Z","10.83","13.39","9.15","12.07","11.43","-5.40","39,823,442"
"1998-01-01T06:00:00.000Z","12.00","15.53","8.98","13.37","10.78","-6.05","58,333,923"
"1999-01-01T06:00:00.000Z","13.41","16.60","10.03","12.93","-3.30","-20.13","96,740,424"
"2000-01-03T06:00:00.000Z","12.93","14.98","6.93","8.12","-37.18","-54.01","169,797,413"
"2001-01-01T06:00:00.000Z","8.16","13.30","7.34","12.26","50.95","34.11","153,388,742"
"2002-01-01T06:00:00.000Z","12.27","16.73","9.74","11.60","-5.37","-22.20","216,129,797"
"2003-01-01T06:00:00.000Z","11.65","15.68","10.91","15.34","32.27","15.44","197,926,819"
"2004-01-01T06:00:00.000Z","15.37","29.68","14.97","29.25","90.63","73.80","232,209,095"
"2005-01-03T06:00:00.000Z","29.42","31.21","20.49","23.18","-20.75","-37.59","267,864,664"
"2006-01-02T06:00:00.000Z","23.13","28.14","17.25","21.09","-9.04","-25.87","286,799,715"
"2007-01-01T06:00:00.000Z","20.41","26.64","19.71","23.38","10.86","-5.97","306,024,557"
"2008-01-01T06:00:00.000Z","23.28","27.53","12.37","15.89","-32.00","-48.84","342,106,112"
"2009-01-01T06:00:00.000Z","16.06","23.01","11.57","21.69","36.46","19.63","277,922,574"
"2010-01-01T06:00:00.000Z","21.75","26.40","19.75","24.52","13.03","-3.80","236,036,156"
"2011-01-03T06:00:00.000Z","24.73","28.49","19.96","22.36","-8.82","-25.65","258,772,565"
"2012-01-02T06:00:00.000Z","22.91","33.24","22.75","33.01","47.64","30.81","548,675,203"
"2013-01-01T06:00:00.000Z","33.62","52.36","33.17","52.16","58.03","41.19","422,947,243"
"2014-01-01T06:00:00.000Z","51.94","55.99","39.68","44.60","-14.48","-31.32","553,809,447"
"2015-01-01T06:00:00.000Z","44.84","46.77","32.33","33.26","-25.43","-42.26","553,196,726"
"2016-01-01T06:00:00.000Z","32.66","44.99","27.92","37.65","13.20","-3.63","524,929,463"
"2017-01-02T06:00:00.000Z","38.22","48.19","37.96","47.42","25.95","9.12","365,450,709"
"2018-01-01T06:00:00.000Z","47.68","50.26","35.30","37.78","-20.33","-37.17","418,384,595"
"2019-01-02T06:00:00.000Z","37.12","46.45","34.50","45.87","21.41","4.58","355,570,878"
"2020-01-02T06:00:00.000Z","46.08","58.82","22.01","53.09","15.74","-1.09","310,725,368"
"2021-01-04T06:00:00.000Z","53.07","80.40","51.08","73.03","37.56","20.73","275,689,723"
"2022-01-03T06:00:00.000Z","73.03","73.49","38.55","44.98","-38.41","-55.24","366,528,768"
"2023-01-03T06:00:00.000Z","45.66","71.82","44.66","70.96","57.76","40.93","235,410,522"
