"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","1.36","1.91","1.30","1.68","","-11.09","50,914,784"
"1969-01-01T06:00:00.000Z","1.73","1.74","1.33","1.48","-11.80","-22.89","51,214,400"
"1970-01-01T06:00:00.000Z","1.53","1.55","0.8958","1.42","-3.87","-14.97","37,654,336"
"1971-01-01T06:00:00.000Z","1.44","1.85","1.34","1.84","29.67","18.58","51,823,952"
"1972-01-03T06:00:00.000Z","1.85","2.08","1.51","1.96","6.21","-4.88","93,101,584"
"1973-01-01T06:00:00.000Z","1.96","1.96","0.8802","0.9583","-51.06","-62.16","122,098,352"
"1974-01-01T06:00:00.000Z","0.9583","1.20","0.8333","1.02","6.52","-4.57","67,716,736"
"1975-01-01T06:00:00.000Z","1.03","1.52","1.01","1.47","44.40","33.30","78,003,152"
"1976-01-01T06:00:00.000Z","1.47","2.44","1.46","2.40","62.54","51.44","146,818,352"
"1977-01-03T06:00:00.000Z","2.40","2.49","1.59","1.69","-29.56","-40.66","98,495,344"
"1978-01-02T06:00:00.000Z","1.69","1.97","1.45","1.50","-11.11","-22.21","104,059,200"
"1979-01-01T06:00:00.000Z","1.50","2.14","1.48","1.80","20.31","9.22","80,110,400"
"1980-01-01T06:00:00.000Z","1.80","2.55","1.63","2.55","41.13","30.03","95,603,200"
"1981-01-01T06:00:00.000Z","2.55","3.64","2.22","2.36","-7.36","-18.46","183,598,400"
"1982-01-01T06:00:00.000Z","2.36","3.35","1.81","3.23","37.09","25.99","208,329,600"
"1983-01-03T06:00:00.000Z","3.17","4.66","3.14","4.36","34.78","23.69","174,273,600"
"1984-01-02T06:00:00.000Z","4.36","4.75","3.09","4.11","-5.73","-16.83","183,159,200"
"1985-01-01T06:00:00.000Z","4.11","6.42","4.11","6.38","55.13","44.04","229,468,800"
"1986-01-01T06:00:00.000Z","6.38","9.70","5.63","9.11","42.89","31.80","252,546,400"
"1987-01-01T06:00:00.000Z","9.11","13.38","6.88","8.28","-9.09","-20.19","317,277,600"
"1988-01-01T06:00:00.000Z","8.38","11.72","7.81","10.09","21.89","10.79","200,034,800"
"1989-01-02T06:00:00.000Z","10.09","11.50","9.25","9.94","-1.55","-12.64","172,600,000"
"1990-01-01T06:00:00.000Z","9.94","13.81","8.63","11.75","18.24","7.14","162,951,200"
"1991-01-01T06:00:00.000Z","11.75","14.84","10.38","12.63","7.45","-3.65","176,703,600"
"1992-01-01T06:00:00.000Z","12.59","17.09","12.50","16.47","30.45","19.35","184,546,400"
"1993-01-01T06:00:00.000Z","16.47","19.06","14.84","18.97","15.18","4.09","153,813,600"
"1994-01-03T06:00:00.000Z","18.88","21.06","16.88","18.56","-2.14","-13.24","180,787,600"
"1995-01-02T06:00:00.000Z","18.56","23.94","17.44","22.88","23.23","12.14","166,352,000"
"1996-01-01T06:00:00.000Z","22.63","31.13","21.44","28.06","22.68","11.58","147,949,600"
"1997-01-01T06:00:00.000Z","28.00","33.75","24.31","28.56","1.78","-9.31","150,087,800"
"1998-01-01T06:00:00.000Z","28.50","38.31","24.56","29.09","1.86","-9.23","181,441,200"
"1999-01-01T06:00:00.000Z","29.06","35.38","23.97","31.28","7.52","-3.58","208,508,400"
"2000-01-03T06:00:00.000Z","31.31","32.53","18.00","23.16","-25.97","-37.07","298,816,200"
"2001-01-01T06:00:00.000Z","23.38","29.88","19.50","25.86","11.68","0.5816","358,950,400"
"2002-01-01T06:00:00.000Z","25.75","31.43","20.70","25.07","-3.04","-14.13","440,534,800"
"2003-01-01T06:00:00.000Z","25.20","32.21","21.30","32.01","27.66","16.56","364,772,650"
"2004-01-01T06:00:00.000Z","32.01","34.40","27.41","34.08","6.47","-4.63","291,157,000"
"2005-01-03T06:00:00.000Z","34.15","37.37","27.82","28.95","-15.05","-26.15","403,282,800"
"2006-01-02T06:00:00.000Z","29.11","34.90","28.27","32.10","10.90","-0.1967","438,481,800"
"2007-01-01T06:00:00.000Z","32.10","41.21","32.01","35.12","9.38","-1.72","498,258,536"
"2008-01-01T06:00:00.000Z","35.50","35.50","17.97","21.21","-39.58","-50.68","820,380,024"
"2009-01-01T06:00:00.000Z","21.23","31.16","14.08","29.27","37.97","26.87","898,165,978"
"2010-01-01T06:00:00.000Z","29.65","42.30","28.48","42.03","43.61","32.52","701,698,972"
"2011-01-03T06:00:00.000Z","42.26","48.91","33.22","41.74","-0.6899","-11.78","687,611,976"
"2012-01-02T06:00:00.000Z","42.65","68.39","41.63","67.67","62.12","51.02","552,404,296"
"2013-01-01T06:00:00.000Z","69.17","95.03","64.10","94.83","40.13","29.03","672,676,608"
"2014-01-01T06:00:00.000Z","94.75","116.83","85.78","115.58","21.88","10.78","392,856,916"
"2015-01-01T06:00:00.000Z","115.58","118.95","82.93","98.82","-14.50","-25.59","416,023,648"
"2016-01-01T06:00:00.000Z","97.27","117.00","88.37","94.76","-4.11","-15.20","407,637,654"
"2017-01-02T06:00:00.000Z","95.43","119.85","94.57","116.82","23.28","12.19","356,904,831"
"2018-01-01T06:00:00.000Z","116.98","122.07","94.37","102.23","-12.49","-23.58","437,280,685"
"2019-01-02T06:00:00.000Z","101.03","134.36","96.82","133.49","30.58","19.48","309,414,513"
"2020-01-02T06:00:00.000Z","133.97","149.88","69.77","144.22","8.04","-3.06","419,952,736"
"2021-01-04T06:00:00.000Z","144.66","182.97","132.10","172.44","19.57","8.47","325,669,884"
"2022-01-03T06:00:00.000Z","172.10","177.32","107.06","125.74","-27.08","-38.18","360,332,175"
"2023-01-03T06:00:00.000Z","126.79","152.89","120.90","142.01","12.94","1.84","248,807,826"
