"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","6.73","7.68","6.35","7.28","","-4.23","3,912,884"
"1969-01-01T06:00:00.000Z","7.34","7.97","5.45","5.71","-21.51","-25.75","4,351,278"
"1970-01-01T06:00:00.000Z","5.83","6.29","4.67","5.48","-4.06","-8.30","7,233,974"
"1971-01-01T06:00:00.000Z","5.57","6.03","4.96","5.80","5.82","1.59","8,024,587"
"1972-01-03T06:00:00.000Z","5.83","6.23","5.34","5.86","1.00","-3.23","8,760,463"
"1973-01-01T06:00:00.000Z","5.86","6.03","4.41","4.64","-20.79","-25.03","7,693,085"
"1974-01-01T06:00:00.000Z","4.64","5.34","3.02","3.57","-23.12","-27.36","8,866,503"
"1975-01-01T06:00:00.000Z","3.62","4.64","3.62","4.58","28.45","24.22","9,970,528"
"1976-01-01T06:00:00.000Z","4.58","5.22","4.44","5.16","12.66","8.42","13,763,243"
"1977-01-03T06:00:00.000Z","5.16","5.83","4.81","5.36","3.93","-0.3009","12,471,272"
"1978-01-02T06:00:00.000Z","5.36","5.63","4.41","4.47","-16.76","-20.99","15,120,754"
"1979-01-01T06:00:00.000Z","4.47","4.90","4.03","4.12","-7.79","-12.02","22,682,041"
"1980-01-01T06:00:00.000Z","4.12","4.76","3.36","3.62","-11.97","-16.21","34,506,372"
"1981-01-01T06:00:00.000Z","3.62","4.26","3.42","3.97","9.60","5.37","41,668,063"
"1982-01-01T06:00:00.000Z","3.97","5.07","3.83","4.87","22.63","18.39","69,456,907"
"1983-01-03T06:00:00.000Z","4.87","5.68","4.64","4.78","-1.79","-6.02","68,635,254"
"1984-01-02T06:00:00.000Z","4.76","5.94","4.52","5.83","21.82","17.58","79,362,037"
"1985-01-01T06:00:00.000Z","5.83","6.73","5.45","6.67","14.43","10.19","145,714,366"
"1986-01-01T06:00:00.000Z","6.67","10.06","6.41","8.47","26.96","22.72","169,391,492"
"1987-01-01T06:00:00.000Z","8.50","9.60","6.64","7.66","-9.59","-13.82","145,271,208"
"1988-01-01T06:00:00.000Z","7.68","8.79","7.68","8.38","9.47","5.24","118,225,124"
"1989-01-02T06:00:00.000Z","8.38","9.95","7.95","9.95","18.69","14.45","101,324,291"
"1990-01-01T06:00:00.000Z","9.95","10.29","9.05","10.15","2.04","-2.19","95,873,601"
"1991-01-01T06:00:00.000Z","10.15","12.21","9.68","12.21","20.29","16.05","66,312,115"
"1992-01-01T06:00:00.000Z","12.15","13.11","11.08","12.64","3.56","-0.6714","78,593,402"
"1993-01-01T06:00:00.000Z","12.64","14.38","12.12","12.53","-0.9175","-5.15","77,526,034"
"1994-01-03T06:00:00.000Z","12.53","12.64","8.64","8.81","-29.63","-33.86","129,931,771"
"1995-01-02T06:00:00.000Z","8.87","12.29","8.29","11.60","31.58","27.34","179,140,346"
"1996-01-01T06:00:00.000Z","11.60","12.06","10.03","10.67","-8.00","-12.23","116,814,821"
