"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1989-12-01T06:00:00.000Z","1.82","2.24","1.64","2.19","","-22.50","38,326,794"
"1990-01-01T06:00:00.000Z","2.19","3.26","1.56","2.81","28.57","6.08","262,390,608"
"1991-01-01T06:00:00.000Z","2.73","9.57","2.34","9.41","234.72","212.23","204,541,421"
"1992-01-01T06:00:00.000Z","9.18","17.58","7.89","16.56","75.93","53.44","274,332,480"
"1993-01-01T06:00:00.000Z","16.56","27.97","14.06","24.22","46.23","23.73","200,003,840"
"1994-01-03T06:00:00.000Z","23.91","25.16","13.44","21.56","-10.97","-33.46","327,309,120"
"1995-01-02T06:00:00.000Z","21.41","45.35","20.00","41.56","92.75","70.26","328,983,040"
"1996-01-01T06:00:00.000Z","41.41","70.94","32.34","64.22","54.51","32.02","268,993,440"
"1997-01-01T06:00:00.000Z","64.53","80.31","46.88","59.22","-7.79","-30.28","380,725,595"
"1998-01-01T06:00:00.000Z","59.06","90.78","21.25","40.63","-31.40","-53.89","393,450,820"
"1999-01-01T06:00:00.000Z","40.78","89.84","29.22","67.66","66.54","44.04","387,728,686"
"2000-01-03T06:00:00.000Z","67.66","82.19","18.44","33.59","-50.35","-72.84","538,446,842"
"2001-01-01T06:00:00.000Z","33.75","42.50","9.93","19.52","-41.88","-64.37","377,213,418"
"2002-01-01T06:00:00.000Z","19.48","21.10","4.10","6.30","-67.73","-90.23","202,382,996"
"2003-01-01T06:00:00.000Z","5.18","10.88","4.50","9.85","56.35","33.85","151,408,334"
"2004-01-01T06:00:00.000Z","9.95","15.47","9.63","14.72","49.49","27.00","163,296,138"
"2005-01-03T06:00:00.000Z","14.75","18.25","11.82","15.25","3.57","-18.93","230,572,554"
"2006-01-02T06:00:00.000Z","15.35","20.27","11.66","18.02","18.16","-4.33","315,782,575"
"2007-01-01T06:00:00.000Z","18.07","21.81","15.65","17.85","-0.9434","-23.44","439,387,197"
"2008-01-01T06:00:00.000Z","17.79","21.54","8.40","12.65","-29.13","-51.63","455,045,443"
"2009-01-01T06:00:00.000Z","12.66","16.96","7.18","16.34","29.17","6.67","357,724,878"
"2010-01-01T06:00:00.000Z","16.52","23.36","15.06","22.53","37.88","15.39","300,070,398"
"2011-01-03T06:00:00.000Z","22.82","25.30","14.25","18.26","-18.95","-41.45","314,197,920"
"2012-01-02T06:00:00.000Z","18.71","28.95","17.62","22.51","23.27","0.7799","302,069,061"
"2013-01-01T06:00:00.000Z","23.26","35.50","21.00","35.39","57.22","34.72","174,265,696"
"2014-01-01T06:00:00.000Z","35.50","40.40","32.79","36.65","3.56","-18.93","204,147,821"
"2015-01-01T06:00:00.000Z","36.87","42.75","30.53","34.63","-5.51","-28.01","223,683,969"
"2016-01-01T06:00:00.000Z","34.20","49.93","27.06","46.27","33.61","11.12","229,981,319"
"2017-01-02T06:00:00.000Z","46.59","67.12","45.93","60.77","31.34","8.84","293,982,210"
"2018-01-01T06:00:00.000Z","60.91","107.44","60.45","82.90","36.42","13.92","276,506,248"
"2019-01-02T06:00:00.000Z","80.88","102.47","62.05","74.89","-9.66","-32.16","279,875,487"
"2020-01-02T06:00:00.000Z","75.43","121.75","43.90","119.61","59.71","37.22","211,615,789"
"2021-01-04T06:00:00.000Z","120.07","153.73","105.49","121.15","1.29","-21.21","206,413,558"
"2022-01-03T06:00:00.000Z","121.32","133.14","96.55","120.04","-0.9162","-23.41","186,884,798"
"2023-01-03T06:00:00.000Z","121.25","152.09","115.44","146.75","22.25","-0.2441","126,606,020"
