"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1980-03-03T06:00:00.000Z","0.3304","0.9911","0.3304","0.9375","","-22.84","65,755,110"
"1981-01-01T06:00:00.000Z","0.9554","0.9554","0.4018","0.5714","-39.05","-61.89","166,380,820"
"1982-01-01T06:00:00.000Z","0.5714","0.5804","0.2946","0.4643","-18.74","-41.58","99,901,742"
"1983-01-03T06:00:00.000Z","0.4643","0.8572","0.4643","0.6429","38.47","15.63","89,407,544"
"1984-01-02T06:00:00.000Z","0.6429","0.7679","0.3036","0.3750","-41.67","-64.51","67,692,562"
"1985-01-01T06:00:00.000Z","0.3750","0.8214","0.3750","0.8214","119.04","96.20","328,997,370"
"1986-01-01T06:00:00.000Z","0.8125","1.45","0.7857","0.9464","15.22","-7.62","390,012,358"
"1996-01-01T06:00:00.000Z","5.63","5.88","3.00","3.56","276.43","253.59","12,633,400"
"1997-01-01T06:00:00.000Z","3.50","3.97","2.13","2.44","-31.58","-54.42","7,487,600"
"1998-01-01T06:00:00.000Z","2.44","4.63","1.69","4.44","82.05","59.21","38,475,200"
"1999-01-01T06:00:00.000Z","4.44","13.25","4.28","12.38","178.87","156.03","132,253,800"
"2000-01-03T06:00:00.000Z","12.38","17.25","7.25","8.50","-31.31","-54.15","97,101,400"
"2001-01-01T06:00:00.000Z","8.38","10.09","5.50","8.40","-1.18","-24.02","53,142,400"
"2002-01-01T06:00:00.000Z","8.45","8.86","2.68","4.69","-44.17","-67.01","29,349,800"
"2003-01-01T06:00:00.000Z","4.70","8.51","4.17","8.25","75.91","53.07","15,282,600"
"2004-01-01T06:00:00.000Z","8.38","13.21","8.24","13.07","58.48","35.65","18,175,000"
"2005-01-03T06:00:00.000Z","13.07","21.25","12.19","21.13","61.61","38.77","48,087,400"
"2006-01-02T06:00:00.000Z","21.25","31.05","18.31","29.80","41.03","18.19","77,008,200"
"2007-01-01T06:00:00.000Z","29.80","54.28","29.68","45.25","51.85","29.01","103,863,335"
"2008-01-01T06:00:00.000Z","45.50","46.40","22.61","30.08","-33.52","-56.36","171,111,781"
"2009-01-01T06:00:00.000Z","30.15","32.38","19.59","31.00","3.06","-19.78","130,386,594"
"2010-01-01T06:00:00.000Z","31.37","40.82","29.61","34.63","11.71","-11.13","128,592,122"
"2011-01-03T06:00:00.000Z","34.84","40.69","32.27","38.51","11.20","-11.64","109,786,967"
"2012-01-02T06:00:00.000Z","39.00","46.14","33.58","45.52","18.20","-4.64","75,586,914"
"2013-01-01T06:00:00.000Z","46.24","51.98","38.32","45.25","-0.5931","-23.43","120,907,176"
"2014-01-01T06:00:00.000Z","45.25","45.40","36.05","38.86","-14.12","-36.96","89,448,203"
"2015-01-01T06:00:00.000Z","38.71","41.38","32.67","34.46","-11.32","-34.16","122,106,233"
"2016-01-01T06:00:00.000Z","34.00","45.50","32.50","38.58","11.96","-10.88","73,805,097"
"2017-01-02T06:00:00.000Z","38.66","54.95","38.15","50.93","32.01","9.17","77,475,849"
"2018-01-01T06:00:00.000Z","50.85","54.83","43.11","51.26","0.6479","-22.19","92,039,364"
"2019-01-02T06:00:00.000Z","51.04","55.93","45.94","49.67","-3.10","-25.94","105,715,424"
"2020-01-02T06:00:00.000Z","49.84","51.29","32.20","46.59","-6.20","-29.04","141,062,135"
"2021-01-04T06:00:00.000Z","46.67","53.90","43.18","47.63","2.23","-20.61","97,384,783"
"2022-01-03T06:00:00.000Z","47.66","64.55","36.23","46.84","-1.66","-24.50","94,016,719"
"2023-01-03T06:00:00.000Z","46.72","50.16","39.09","41.05","-12.36","-35.20","51,793,147"
