"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1983-07-01T05:00:00.000Z","0.5951","0.5951","0.3512","0.3609","","-19.86","20,005,863"
"1984-01-02T06:00:00.000Z","0.3609","0.4000","0.2439","0.2439","-32.42","-52.27","13,245,764"
"1985-01-01T06:00:00.000Z","0.2439","0.5170","0.2439","0.4390","79.99","60.14","21,506,095"
"1986-01-01T06:00:00.000Z","0.4390","0.7804","0.4390","0.4731","7.77","-12.09","41,691,052"
"1987-01-01T06:00:00.000Z","0.4780","1.00","0.3365","0.3658","-22.68","-42.54","56,434,838"
"1988-01-01T06:00:00.000Z","0.3756","0.4877","0.3512","0.4292","17.33","-2.52","24,489,353"
"1989-01-02T06:00:00.000Z","0.4292","0.7463","0.4097","0.5999","39.77","19.92","28,402,731"
"1990-01-01T06:00:00.000Z","0.5999","0.8828","0.5609","0.7170","19.52","-0.3351","55,173,757"
"1991-01-01T06:00:00.000Z","0.7267","1.87","0.6341","1.80","151.02","131.16","83,951,589"
"1992-01-01T06:00:00.000Z","1.79","2.58","1.32","1.96","9.15","-10.71","88,284,934"
"1993-01-01T06:00:00.000Z","1.96","2.67","1.79","2.19","11.45","-8.41","63,975,483"
"1994-01-03T06:00:00.000Z","2.17","2.47","1.73","1.84","-15.79","-35.64","64,215,584"
"1995-01-02T06:00:00.000Z","1.84","3.33","1.81","2.80","51.78","31.93","49,562,904"
"1996-01-01T06:00:00.000Z","2.78","4.05","2.50","3.97","41.77","21.91","42,443,080"
"1997-01-01T06:00:00.000Z","3.93","7.89","3.69","7.84","97.61","77.76","99,871,559"
"1998-01-01T06:00:00.000Z","7.89","10.81","4.96","6.26","-20.16","-40.01","95,333,617"
"1999-01-01T06:00:00.000Z","6.19","7.46","4.94","5.52","-11.83","-31.69","103,326,975"
"2000-01-03T06:00:00.000Z","5.46","12.15","4.74","10.33","87.25","67.39","134,632,866"
"2001-01-01T06:00:00.000Z","10.37","12.25","6.92","10.52","1.85","-18.00","139,316,296"
"2002-01-01T06:00:00.000Z","10.49","11.11","6.74","8.76","-16.72","-36.58","161,021,026"
"2003-01-01T06:00:00.000Z","8.81","12.24","6.75","11.17","27.45","7.60","191,576,356"
"2004-01-01T06:00:00.000Z","11.23","14.07","9.68","13.77","23.26","3.41","172,467,749"
"2005-01-03T06:00:00.000Z","13.84","17.15","11.50","16.74","21.59","1.74","164,096,678"
"2006-01-02T06:00:00.000Z","16.81","22.42","16.32","20.21","20.69","0.8374","173,430,677"
"2007-01-01T06:00:00.000Z","20.27","25.07","18.25","21.77","7.75","-12.10","274,445,703"
"2008-01-01T06:00:00.000Z","21.65","25.50","8.36","11.42","-47.55","-67.41","723,501,135"
"2009-01-01T06:00:00.000Z","11.49","17.77","7.18","15.85","38.76","18.91","617,368,766"
"2010-01-01T06:00:00.000Z","15.96","22.41","15.27","21.80","37.57","17.71","273,163,341"
"2011-01-03T06:00:00.000Z","22.00","26.45","15.44","20.64","-5.32","-25.18","298,644,183"
"2012-01-02T06:00:00.000Z","21.23","26.66","20.66","25.69","24.45","4.60","259,811,807"
"2013-01-01T06:00:00.000Z","26.37","34.98","26.15","34.79","35.45","15.60","322,729,354"
"2014-01-01T06:00:00.000Z","34.89","38.79","31.66","38.19","9.77","-10.08","253,082,820"
"2015-01-01T06:00:00.000Z","38.45","41.21","30.57","38.65","1.19","-18.67","269,282,518"
"2016-01-01T06:00:00.000Z","37.71","49.80","26.56","46.18","19.49","-0.3623","344,804,752"
"2017-01-02T06:00:00.000Z","46.92","60.86","46.06","59.53","28.92","9.06","294,574,305"
"2018-01-01T06:00:00.000Z","59.74","68.11","46.08","49.61","-16.67","-36.53","351,483,870"
"2019-01-02T06:00:00.000Z","48.62","61.33","47.59","59.64","20.23","0.3706","339,902,016"
"2020-01-02T06:00:00.000Z","60.02","68.30","36.14","63.78","6.94","-12.91","363,173,290"
"2021-01-04T06:00:00.000Z","63.75","103.47","62.02","100.40","57.42","37.56","247,369,512"
"2022-01-03T06:00:00.000Z","100.83","126.00","84.86","106.85","6.42","-13.43","313,472,633"
"2023-01-03T06:00:00.000Z","107.30","120.73","82.00","106.41","-0.4118","-20.27","214,242,159"
