"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","1.82","2.03","1.50","1.93","","-13.21","82,636,721"
"1969-01-01T06:00:00.000Z","1.92","1.92","0.9787","0.9787","-49.41","-62.62","92,052,422"
"1970-01-01T06:00:00.000Z","1.08","1.08","0.6942","0.9104","-6.98","-20.19","74,249,074"
"1971-01-01T06:00:00.000Z","0.9047","1.39","0.9047","1.39","53.12","39.91","76,577,748"
"1972-01-03T06:00:00.000Z","1.40","1.63","1.40","1.47","5.72","-7.50","82,045,722"
"1973-01-01T06:00:00.000Z","1.47","1.49","1.05","1.15","-22.01","-35.22","56,656,603"
"1974-01-01T06:00:00.000Z","1.15","1.29","0.8194","0.8819","-23.27","-36.49","65,562,696"
"1975-01-01T06:00:00.000Z","0.8819","1.16","0.8592","1.06","20.65","7.44","109,102,253"
"1976-01-01T06:00:00.000Z","1.06","1.51","1.06","1.40","31.55","18.34","115,451,187"
"1977-01-03T06:00:00.000Z","1.41","1.70","1.26","1.35","-3.66","-16.87","118,258,784"
"1978-01-02T06:00:00.000Z","1.35","1.73","1.31","1.62","19.83","6.62","110,057,886"
"1979-01-01T06:00:00.000Z","1.62","2.20","1.59","2.20","36.27","23.06","130,728,135"
"1980-01-01T06:00:00.000Z","2.20","4.13","2.00","4.10","86.05","72.84","217,072,454"
"1981-01-01T06:00:00.000Z","4.07","4.07","2.15","2.98","-27.22","-40.44","189,669,903"
"1982-01-01T06:00:00.000Z","2.97","4.28","2.29","3.87","29.77","16.56","260,101,246"
"1983-01-03T06:00:00.000Z","3.87","6.46","3.85","6.01","55.29","42.08","267,588,703"
"1984-01-02T06:00:00.000Z","6.01","6.12","4.19","5.53","-7.96","-21.17","262,094,920"
"1985-01-01T06:00:00.000Z","5.53","7.60","5.44","6.51","17.70","4.48","284,873,021"
"1986-01-01T06:00:00.000Z","6.51","8.90","5.71","8.26","26.92","13.71","348,460,633"
"1987-01-01T06:00:00.000Z","8.26","11.27","5.19","6.92","-16.25","-29.47","323,918,126"
"1988-01-01T06:00:00.000Z","6.92","8.56","5.87","7.92","14.47","1.26","213,043,424"
"1989-01-02T06:00:00.000Z","7.92","9.88","7.19","8.65","9.20","-4.02","214,059,737"
"1990-01-01T06:00:00.000Z","8.65","10.47","7.47","10.11","16.84","3.63","212,965,958"
"1991-01-01T06:00:00.000Z","10.11","10.65","8.28","9.97","-1.35","-14.56","183,170,772"
"1992-01-01T06:00:00.000Z","9.92","10.70","8.10","10.56","5.94","-7.28","198,340,102"
"1993-01-01T06:00:00.000Z","10.65","14.02","10.15","13.52","28.02","14.80","214,542,213"
"1994-01-03T06:00:00.000Z","13.47","16.07","12.20","13.02","-3.70","-16.92","219,227,293"
"1995-01-02T06:00:00.000Z","12.88","19.30","12.75","19.25","47.90","34.69","233,569,755"
"1996-01-01T06:00:00.000Z","19.21","23.53","17.30","22.17","15.13","1.92","316,480,645"
"1997-01-01T06:00:00.000Z","22.17","25.72","16.14","19.03","-14.17","-27.38","391,230,477"
"1998-01-01T06:00:00.000Z","18.94","22.44","11.70","17.68","-7.06","-20.27","413,393,505"
"1999-01-01T06:00:00.000Z","17.68","28.75","17.68","21.20","19.87","6.66","289,703,803"
"2000-01-03T06:00:00.000Z","21.42","24.13","12.26","21.09","-0.5222","-13.74","384,321,689"
"2001-01-01T06:00:00.000Z","20.98","21.90","11.78","17.86","-15.31","-28.52","293,680,506"
"2002-01-01T06:00:00.000Z","17.70","22.79","14.71","20.71","15.96","2.74","149,052,100"
"2003-01-01T06:00:00.000Z","20.85","36.10","18.75","35.60","71.90","58.68","216,110,443"
"2004-01-01T06:00:00.000Z","35.40","49.97","28.45","49.55","39.19","25.97","244,762,502"
"2005-01-03T06:00:00.000Z","49.39","63.30","45.40","59.16","19.39","6.18","303,512,101"
"2006-01-02T06:00:00.000Z","59.08","79.47","53.49","61.08","3.25","-9.97","317,646,100"
"2007-01-01T06:00:00.000Z","61.10","75.60","56.73","68.96","12.90","-0.3118","345,516,017"
"2008-01-01T06:00:00.000Z","69.05","69.72","21.51","32.24","-53.25","-66.46","435,751,569"
"2009-01-01T06:00:00.000Z","33.00","49.25","17.50","46.98","45.72","32.51","450,565,333"
"2010-01-01T06:00:00.000Z","47.61","72.75","45.72","71.71","52.64","39.43","288,512,737"
"2011-01-03T06:00:00.000Z","72.41","98.19","50.36","73.37","2.31","-10.90","390,974,887"
"2012-01-02T06:00:00.000Z","75.21","84.80","61.20","83.99","14.47","1.26","320,370,790"
"2013-01-01T06:00:00.000Z","85.31","119.03","80.59","118.16","40.68","27.47","210,993,567"
"2014-01-01T06:00:00.000Z","117.62","128.57","98.55","111.20","-5.89","-19.10","211,716,229"
"2015-01-01T06:00:00.000Z","111.93","127.05","98.47","102.61","-7.72","-20.94","267,772,239"
"2016-01-01T06:00:00.000Z","100.71","139.64","87.53","134.40","30.98","17.77","239,959,650"
"2017-01-02T06:00:00.000Z","135.90","210.72","135.18","196.35","46.09","32.88","215,881,629"
"2018-01-01T06:00:00.000Z","197.81","209.38","141.46","150.48","-23.36","-36.57","266,755,112"
"2019-01-02T06:00:00.000Z","148.52","207.11","143.91","202.67","34.68","21.47","228,706,949"
"2020-01-02T06:00:00.000Z","203.82","267.48","115.38","250.81","23.75","10.54","217,397,184"
"2021-01-04T06:00:00.000Z","251.89","354.99","237.13","348.85","39.09","25.88","160,265,577"
"2022-01-03T06:00:00.000Z","348.85","349.00","190.08","257.57","-26.17","-39.38","206,527,408"
"2023-01-03T06:00:00.000Z","259.75","348.52","255.50","314.05","21.93","8.72","123,582,235"
