"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","0.6048","1.11","0.5674","0.9966","","-10.89","78,725,419"
"1969-01-01T06:00:00.000Z","0.9950","0.9950","0.3983","0.4942","-50.41","-61.30","89,425,311"
"1970-01-01T06:00:00.000Z","0.5024","0.5235","0.2601","0.3512","-28.94","-39.83","113,067,328"
"1971-01-01T06:00:00.000Z","0.3544","0.6536","0.3349","0.6357","81.01","70.12","113,082,761"
"1972-01-03T06:00:00.000Z","0.6341","0.8389","0.5820","0.7170","12.79","1.90","78,962,936"
"1973-01-01T06:00:00.000Z","0.7121","0.7121","0.2780","0.3414","-52.38","-63.27","87,604,093"
"1974-01-01T06:00:00.000Z","0.3512","0.3853","0.1244","0.2122","-37.84","-48.73","96,189,338"
"1975-01-01T06:00:00.000Z","0.2195","0.4682","0.2195","0.4048","90.76","79.87","114,365,469"
"1976-01-01T06:00:00.000Z","0.4048","0.5341","0.3902","0.4707","16.28","5.39","121,100,430"
"1977-01-03T06:00:00.000Z","0.4707","0.4731","0.3219","0.3829","-18.65","-29.54","126,595,423"
"1978-01-02T06:00:00.000Z","0.3829","0.4487","0.2878","0.3561","-7.00","-17.89","162,926,107"
"1979-01-01T06:00:00.000Z","0.3512","0.6194","0.3170","0.5560","56.14","45.25","573,240,338"
"1980-01-01T06:00:00.000Z","0.5560","0.7804","0.3073","0.7024","26.33","15.44","646,906,681"
"1981-01-01T06:00:00.000Z","0.7024","0.8779","0.5463","0.6828","-2.79","-13.68","164,220,666"
"1982-01-01T06:00:00.000Z","0.6828","0.6828","0.3853","0.5853","-14.28","-25.17","282,854,264"
"1983-01-03T06:00:00.000Z","0.5853","0.7901","0.4877","0.7414","26.67","15.78","352,042,792"
"1984-01-02T06:00:00.000Z","0.7365","0.8389","0.2683","0.3707","-50.00","-60.89","246,861,793"
"1985-01-01T06:00:00.000Z","0.3707","0.5463","0.3658","0.5316","43.40","32.51","211,256,377"
"1986-01-01T06:00:00.000Z","0.5316","0.7121","0.4926","0.6536","22.95","12.06","140,855,471"
"1987-01-01T06:00:00.000Z","0.6536","0.8877","0.4780","0.5950","-8.97","-19.86","161,124,928"
"1988-01-01T06:00:00.000Z","0.6048","0.7511","0.5755","0.6926","16.40","5.51","122,397,851"
"1989-01-02T06:00:00.000Z","0.6926","0.8194","0.6585","0.7170","3.52","-7.37","107,287,423"
"1990-01-01T06:00:00.000Z","0.7121","0.8438","0.6194","0.8292","15.65","4.76","128,630,554"
"1991-01-01T06:00:00.000Z","0.8292","1.12","0.7267","1.12","34.70","23.81","130,281,104"
"1992-01-01T06:00:00.000Z","1.12","1.45","1.01","1.43","28.39","17.50","143,356,963"
"1993-01-01T06:00:00.000Z","1.42","1.62","1.25","1.59","11.22","0.3305","129,187,820"
"1994-01-03T06:00:00.000Z","1.58","1.80","1.29","1.35","-15.14","-26.03","158,276,104"
"1995-01-02T06:00:00.000Z","1.34","1.68","1.10","1.29","-4.32","-15.21","249,257,004"
"1996-01-01T06:00:00.000Z","1.30","1.46","1.07","1.17","-9.61","-20.50","202,297,102"
