"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1985-08-01T05:00:00.000Z","0.5547","0.6328","0.4062","0.5625","","-24.35","233,475,200"
"1986-01-01T06:00:00.000Z","0.5625","0.5703","0.1328","0.1484","-73.62","-97.97","1,005,683,232"
"1987-01-01T06:00:00.000Z","0.1484","0.3477","0.1133","0.1289","-13.14","-37.49","1,184,515,200"
"1988-01-01T06:00:00.000Z","0.1289","0.3516","0.1289","0.3281","154.54","130.19","1,100,524,800"
"1989-01-02T06:00:00.000Z","0.3281","0.7695","0.3164","0.4453","35.72","11.37","1,258,758,400"
"1990-01-01T06:00:00.000Z","0.4453","0.4570","0.1367","0.1875","-57.89","-82.25","1,180,252,800"
"1991-01-01T06:00:00.000Z","0.1875","0.5742","0.1504","0.5078","170.83","146.47","1,821,350,400"
"1992-01-01T06:00:00.000Z","0.5156","0.7188","0.3398","0.6250","23.08","-1.27","1,918,832,000"
"1993-01-01T06:00:00.000Z","0.6211","0.7500","0.3945","0.4062","-35.01","-59.36","2,505,856,000"
"1994-01-03T06:00:00.000Z","0.4141","0.5547","0.3359","0.3516","-13.44","-37.79","1,253,449,600"
"1995-01-02T06:00:00.000Z","0.3555","0.6719","0.2969","0.5977","69.99","45.64","1,887,046,400"
"1996-01-01T06:00:00.000Z","0.5977","1.66","0.5742","1.56","161.42","137.07","3,458,784,000"
"1997-01-01T06:00:00.000Z","1.55","2.65","1.22","2.27","45.50","21.14","2,045,403,200"
"1998-01-01T06:00:00.000Z","2.29","3.13","1.45","2.46","8.25","-16.11","2,149,652,800"
"1999-01-01T06:00:00.000Z","2.47","3.27","2.13","2.24","-8.89","-33.24","1,737,517,600"
"2000-01-03T06:00:00.000Z","2.26","3.04","1.50","2.11","-5.92","-30.28","2,108,838,400"
"2001-01-01T06:00:00.000Z","2.12","4.27","2.07","4.01","90.10","65.75","1,991,216,000"
"2002-01-01T06:00:00.000Z","4.06","5.91","3.96","5.30","32.14","7.79","1,932,005,224"
"2003-01-01T06:00:00.000Z","5.35","7.02","4.07","6.62","24.84","0.4862","2,234,481,236"
"2004-01-01T06:00:00.000Z","6.68","8.21","5.24","7.22","9.11","-15.25","1,460,614,780"
"2005-01-03T06:00:00.000Z","7.21","7.84","5.58","7.22","0.1039","-24.25","1,427,957,800"
"2006-01-02T06:00:00.000Z","7.19","7.95","5.53","7.33","1.38","-22.97","1,351,040,276"
"2007-01-01T06:00:00.000Z","7.33","8.79","6.11","6.39","-12.73","-37.08","1,682,840,964"
"2008-01-01T06:00:00.000Z","6.37","10.39","5.31","7.43","16.27","-8.08","2,802,096,828"
"2009-01-01T06:00:00.000Z","7.44","12.63","7.02","10.68","43.66","19.31","2,489,600,440"
"2010-01-01T06:00:00.000Z","10.69","16.64","10.57","15.81","48.09","23.74","1,973,644,804"
"2011-01-03T06:00:00.000Z","16.00","24.57","15.04","23.77","50.29","25.94","1,248,719,164"
"2012-01-02T06:00:00.000Z","24.23","35.41","23.52","27.05","13.80","-10.55","1,083,002,236"
"2013-01-01T06:00:00.000Z","27.14","40.99","26.52","37.47","38.53","14.18","919,031,300"
"2014-01-01T06:00:00.000Z","37.17","48.09","30.91","47.13","25.80","1.44","875,342,390"
"2015-01-01T06:00:00.000Z","47.42","56.68","43.47","53.81","14.17","-10.18","684,210,433"
"2016-01-01T06:00:00.000Z","53.00","69.81","50.42","65.60","21.91","-2.44","722,110,611"
"2017-01-02T06:00:00.000Z","66.02","81.48","52.85","80.25","22.33","-2.02","731,567,757"
"2018-01-01T06:00:00.000Z","80.86","104.35","73.76","83.20","3.68","-20.68","717,716,112"
"2019-01-02T06:00:00.000Z","81.80","117.58","81.80","116.42","39.93","15.57","531,854,724"
"2020-01-02T06:00:00.000Z","116.48","124.16","56.30","122.81","5.49","-18.86","699,032,081"
"2021-01-04T06:00:00.000Z","122.53","134.22","103.62","114.28","-6.95","-31.30","488,773,322"
"2022-01-03T06:00:00.000Z","113.25","120.39","69.24","116.07","1.57","-22.79","769,964,791"
"2023-01-03T06:00:00.000Z","116.63","122.70","99.00","121.70","4.85","-19.50","390,787,062"
