"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-12-01T06:00:00.000Z","0.5862","0.5862","0.5286","0.5286","","-13.82","684,323"
"1973-01-01T06:00:00.000Z","0.5286","0.6113","0.2877","0.2877","-45.57","-59.40","7,090,634"
"1974-01-01T06:00:00.000Z","0.2733","0.4171","0.1726","0.2158","-24.99","-38.82","6,319,475"
"1975-01-01T06:00:00.000Z","0.2158","0.5826","0.2086","0.5070","134.94","121.11","11,995,106"
"1976-01-01T06:00:00.000Z","0.5178","0.9062","0.5070","0.8900","75.54","61.72","9,642,077"
"1977-01-03T06:00:00.000Z","0.8738","1.17","0.7767","0.9466","6.36","-7.47","15,363,285"
"1978-01-02T06:00:00.000Z","0.9709","1.60","0.8981","1.17","23.08","9.26","41,780,679"
"1979-01-01T06:00:00.000Z","1.17","1.46","1.09","1.17","","-13.82","18,346,122"
"1980-01-01T06:00:00.000Z","1.20","2.22","1.13","1.67","43.75","29.92","44,669,883"
"1981-01-01T06:00:00.000Z","1.75","1.97","1.27","1.60","-4.35","-18.17","25,462,493"
"1982-01-01T06:00:00.000Z","1.60","2.33","1.27","2.11","31.82","17.99","23,780,890"
"1983-01-03T06:00:00.000Z","2.11","3.00","2.11","2.91","37.93","24.11","25,141,881"
"1984-01-02T06:00:00.000Z","2.91","3.19","2.23","3.13","7.42","-6.40","27,583,733"
"1985-01-01T06:00:00.000Z","3.13","4.38","3.02","3.98","27.27","13.45","53,744,225"
"1986-01-01T06:00:00.000Z","3.98","5.40","3.98","4.49","12.86","-0.9681","46,035,409"
"1987-01-01T06:00:00.000Z","4.49","5.86","3.64","5.12","13.92","0.0971","43,832,154"
"1988-01-01T06:00:00.000Z","5.12","6.14","4.65","5.33","4.17","-9.66","38,751,254"
"1989-01-02T06:00:00.000Z","5.33","6.83","5.25","6.49","21.60","7.77","40,848,618"
"1990-01-01T06:00:00.000Z","6.49","7.77","5.29","7.47","15.13","1.31","38,844,355"
"1991-01-01T06:00:00.000Z","7.47","9.92","6.93","9.87","32.14","18.32","50,330,619"
"1992-01-01T06:00:00.000Z","9.71","11.84","8.05","11.44","15.95","2.12","44,770,797"
"1993-01-01T06:00:00.000Z","11.20","12.40","10.40","11.12","-2.80","-16.62","34,763,966"
"1994-01-03T06:00:00.000Z","11.20","12.56","10.40","12.00","7.91","-5.91","37,286,772"
"1995-01-02T06:00:00.000Z","12.00","13.80","11.36","13.20","10.00","-3.82","47,434,600"
"1996-01-01T06:00:00.000Z","13.20","14.90","11.50","13.60","3.03","-10.79","55,017,000"
"1997-01-01T06:00:00.000Z","13.50","16.80","12.50","15.25","12.13","-1.69","66,019,025"
"1998-01-01T06:00:00.000Z","15.75","18.00","12.75","16.00","4.92","-8.91","61,217,400"
"1999-01-01T06:00:00.000Z","15.81","16.50","9.94","10.19","-36.33","-50.15","59,226,300"
"2000-01-03T06:00:00.000Z","10.31","11.31","7.75","8.56","-15.95","-29.78","86,528,900"
"2001-01-01T06:00:00.000Z","8.88","15.05","7.91","14.46","68.88","55.05","103,946,500"
"2002-01-01T06:00:00.000Z","14.51","17.87","11.58","15.28","5.67","-8.15","122,518,700"
"2003-01-01T06:00:00.000Z","15.30","16.49","9.10","16.46","7.72","-6.10","145,645,644"
"2004-01-01T06:00:00.000Z","16.44","19.95","13.29","19.66","19.44","5.62","127,446,300"
"2005-01-03T06:00:00.000Z","19.80","19.90","16.51","17.37","-11.65","-25.47","117,165,400"
"2006-01-02T06:00:00.000Z","17.38","21.12","16.96","20.89","20.26","6.44","111,523,400"
"2007-01-01T06:00:00.000Z","20.89","25.74","17.25","20.30","-2.82","-16.65","154,157,321"
"2008-01-01T06:00:00.000Z","20.26","25.19","9.97","13.29","-34.53","-48.36","243,033,361"
"2009-01-01T06:00:00.000Z","13.36","20.97","9.09","20.33","52.97","39.15","240,372,690"
"2010-01-01T06:00:00.000Z","20.37","22.90","16.07","22.10","8.71","-5.12","199,459,810"
"2011-01-03T06:00:00.000Z","22.33","26.00","17.20","24.55","11.09","-2.74","200,974,453"
"2012-01-02T06:00:00.000Z","25.00","29.60","22.96","29.36","19.59","5.77","177,154,476"
"2013-01-01T06:00:00.000Z","30.08","41.63","29.11","41.51","41.38","27.56","137,459,424"
"2014-01-01T06:00:00.000Z","41.28","51.97","37.57","50.71","22.16","8.34","169,810,782"
"2015-01-01T06:00:00.000Z","50.17","51.42","40.11","44.06","-13.11","-26.94","195,199,452"
"2016-01-01T06:00:00.000Z","43.36","55.92","36.78","53.83","22.17","8.35","162,284,058"
"2017-01-02T06:00:00.000Z","54.28","56.48","47.87","52.42","-2.62","-16.44","190,326,804"
"2018-01-01T06:00:00.000Z","52.64","68.13","46.36","58.78","12.13","-1.69","294,027,155"
"2019-01-02T06:00:00.000Z","58.07","76.83","51.95","76.76","30.59","16.76","173,285,429"
"2020-01-02T06:00:00.000Z","77.04","98.35","42.85","90.78","18.26","4.44","159,902,413"
"2021-01-04T06:00:00.000Z","91.25","101.46","76.43","101.00","11.26","-2.57","137,183,197"
"2022-01-03T06:00:00.000Z","100.84","106.50","74.56","97.45","-3.51","-17.34","151,701,141"
"2023-01-03T06:00:00.000Z","98.04","107.40","78.52","100.34","2.97","-10.86","107,651,261"
