"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1973-10-01T05:00:00.000Z","0.8099","0.8494","0.7111","0.7111","","-15.35","128,684"
"1974-01-01T06:00:00.000Z","0.6914","0.7704","0.4938","0.5926","-16.66","-32.02","484,172"
"1975-01-01T06:00:00.000Z","0.5926","1.11","0.5926","0.6124","3.34","-12.01","1,265,036"
"1976-01-01T06:00:00.000Z","0.6519","1.29","0.6519","1.14","86.28","70.93","1,191,778"
"1977-01-03T06:00:00.000Z","1.17","1.64","1.02","1.17","2.59","-12.76","1,006,970"
"1978-01-02T06:00:00.000Z","1.16","1.48","0.9630","1.04","-11.39","-26.74","1,681,858"
"1979-01-01T06:00:00.000Z","1.04","2.34","0.9630","2.28","119.99","104.63","3,927,766"
"1980-01-01T06:00:00.000Z","2.25","2.65","1.60","2.50","9.58","-5.78","3,832,038"
"1981-01-01T06:00:00.000Z","2.46","3.00","1.63","2.06","-17.78","-33.13","2,677,526"
"1982-01-01T06:00:00.000Z","2.06","2.06","1.19","1.56","-24.32","-39.68","1,783,948"
"1983-01-03T06:00:00.000Z","1.56","3.00","1.48","2.78","78.57","63.21","3,142,116"
"1984-01-02T06:00:00.000Z","2.75","3.86","2.33","2.61","-6.00","-21.36","3,183,298"
"1985-01-01T06:00:00.000Z","2.64","3.72","2.58","3.61","38.30","22.94","2,894,342"
"1986-01-01T06:00:00.000Z","3.64","4.36","3.42","3.89","7.69","-7.66","5,174,904"
"1987-01-01T06:00:00.000Z","3.92","8.29","3.92","6.92","77.86","62.50","6,143,588"
"1988-01-01T06:00:00.000Z","6.92","10.06","5.67","8.44","21.99","6.63","8,239,712"
"1989-01-02T06:00:00.000Z","8.44","9.50","6.50","8.19","-2.96","-18.32","8,170,400"
"1990-01-01T06:00:00.000Z","8.19","8.38","4.56","6.88","-16.03","-31.38","4,175,400"
"1991-01-01T06:00:00.000Z","6.88","7.38","5.38","6.75","-1.82","-17.17","2,576,800"
"1992-01-01T06:00:00.000Z","6.75","10.94","6.50","10.69","58.33","42.98","3,037,200"
"1993-01-01T06:00:00.000Z","10.63","13.25","9.25","13.19","23.39","8.04","5,018,800"
"1994-01-03T06:00:00.000Z","13.13","15.50","11.25","13.63","3.32","-12.04","7,334,400"
"1995-01-02T06:00:00.000Z","13.50","23.13","12.13","21.75","59.63","44.28","7,816,200"
"1996-01-01T06:00:00.000Z","21.75","22.38","15.50","19.63","-9.77","-25.12","9,098,100"
"1997-01-01T06:00:00.000Z","19.38","32.75","18.00","29.56","50.64","35.28","8,948,700"
"1998-01-01T06:00:00.000Z","29.63","33.25","17.50","23.00","-22.20","-37.55","10,290,800"
"1999-01-01T06:00:00.000Z","22.94","25.63","15.56","20.63","-10.33","-25.68","9,161,200"
"2000-01-03T06:00:00.000Z","20.63","21.63","14.60","17.06","-17.28","-32.64","10,168,400"
"2001-01-01T06:00:00.000Z","17.25","22.90","16.10","21.80","27.78","12.43","5,725,000"
"2002-01-01T06:00:00.000Z","21.80","29.31","15.75","20.70","-5.05","-20.40","17,303,600"
"2003-01-01T06:00:00.000Z","20.85","24.45","14.96","22.00","6.28","-9.07","14,179,182"
"2004-01-01T06:00:00.000Z","22.04","29.38","19.14","28.60","30.00","14.65","27,458,100"
"2005-01-03T06:00:00.000Z","29.05","38.94","25.25","35.40","23.78","8.42","44,955,100"
"2006-01-02T06:00:00.000Z","35.80","54.63","34.82","52.51","48.33","32.98","68,182,600"
"2007-01-01T06:00:00.000Z","53.00","59.00","42.66","44.95","-14.40","-29.75","78,158,221"
"2008-01-01T06:00:00.000Z","44.80","50.04","25.38","37.99","-15.48","-30.84","86,385,302"
"2009-01-01T06:00:00.000Z","38.04","53.99","25.64","51.94","36.72","21.37","115,323,550"
"2010-01-01T06:00:00.000Z","52.42","70.67","46.90","66.76","28.53","13.18","107,985,917"
"2011-01-03T06:00:00.000Z","67.21","76.65","41.65","50.97","-23.65","-39.01","92,249,124"
"2012-01-02T06:00:00.000Z","52.33","75.60","51.07","70.47","38.26","22.90","72,156,686"
"2013-01-01T06:00:00.000Z","71.80","88.25","61.86","73.72","4.61","-10.74","87,256,491"
"2014-01-01T06:00:00.000Z","73.62","80.41","62.15","75.20","2.01","-13.35","74,024,297"
"2015-01-01T06:00:00.000Z","75.38","81.36","54.51","58.52","-22.18","-37.54","76,420,213"
"2016-01-01T06:00:00.000Z","57.64","75.60","47.77","69.25","18.34","2.98","84,637,725"
"2017-01-02T06:00:00.000Z","70.65","87.50","68.30","76.60","10.61","-4.74","62,171,420"
"2018-01-01T06:00:00.000Z","77.55","86.75","66.04","70.05","-8.55","-23.91","67,050,916"
"2019-01-02T06:00:00.000Z","68.64","87.31","67.74","85.61","22.21","6.86","60,817,421"
"2020-01-02T06:00:00.000Z","86.37","124.82","51.99","122.81","43.45","28.10","65,264,755"
"2021-01-04T06:00:00.000Z","123.83","174.12","121.43","170.18","38.57","23.22","95,531,195"
"2022-01-03T06:00:00.000Z","170.29","176.91","108.28","119.98","-29.50","-44.85","123,711,431"
"2023-01-03T06:00:00.000Z","121.48","166.00","118.62","164.89","37.43","22.08","71,007,082"
