"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1987-07-01T05:00:00.000Z","4.17","4.36","3.21","3.88","","-3.91","49,055,433"
"1988-01-01T06:00:00.000Z","3.90","5.01","3.88","4.70","21.21","17.30","15,098,278"
"1989-01-02T06:00:00.000Z","4.74","4.82","3.82","4.23","-10.00","-13.91","4,661,870"
"1990-01-01T06:00:00.000Z","4.24","4.31","2.66","3.67","-13.19","-17.10","4,506,017"
"1991-01-01T06:00:00.000Z","3.67","4.37","3.03","3.37","-8.27","-12.18","8,476,957"
"1992-01-01T06:00:00.000Z","3.33","3.88","2.58","3.00","-10.76","-14.66","32,238,873"
"1993-01-01T06:00:00.000Z","2.98","4.20","2.94","3.65","21.50","17.59","102,402,226"
"1994-01-03T06:00:00.000Z","3.65","4.07","2.66","2.99","-17.96","-21.87","119,424,268"
"1995-01-02T06:00:00.000Z","3.01","3.90","2.54","3.86","28.76","24.85","112,912,830"
"1996-01-01T06:00:00.000Z","4.00","4.99","3.43","4.97","28.93","25.03","137,252,397"
"1997-01-01T06:00:00.000Z","4.95","7.87","4.68","7.65","53.84","49.93","103,983,940"
"1998-01-01T06:00:00.000Z","7.78","13.68","6.05","9.46","23.73","19.82","65,951,302"
"1999-01-01T06:00:00.000Z","9.91","11.80","7.73","11.20","18.36","14.45","32,001,426"
"2000-01-03T06:00:00.000Z","11.20","11.32","8.03","10.12","-9.63","-13.53","61,766,755"
"2001-01-01T06:00:00.000Z","10.12","11.44","6.04","7.95","-21.42","-25.33","63,101,389"
"2002-01-01T06:00:00.000Z","8.16","9.14","4.50","6.76","-15.06","-18.97","92,600,825"
"2003-01-01T06:00:00.000Z","6.73","11.51","5.27","11.51","70.35","66.45","65,125,676"
"2004-01-01T06:00:00.000Z","11.56","12.06","8.76","11.85","3.00","-0.9116","70,600,397"
"2005-01-03T06:00:00.000Z","11.86","12.75","10.79","12.64","6.63","2.72","73,586,792"
"2006-01-02T06:00:00.000Z","12.82","18.13","12.54","17.88","41.47","37.56","106,056,453"
"2007-01-01T06:00:00.000Z","18.40","21.41","16.22","20.64","15.43","11.53","214,394,046"
"2008-01-01T06:00:00.000Z","20.48","21.34","5.76","9.09","-55.94","-59.85","564,897,547"
"2009-01-01T06:00:00.000Z","9.16","17.14","4.67","15.75","73.24","69.33","967,229,135"
"2010-01-01T06:00:00.000Z","16.08","16.82","8.29","10.21","-35.22","-39.13","2,331,382,098"
"2011-01-03T06:00:00.000Z","10.24","12.19","6.49","7.21","-29.39","-33.30","2,204,350,749"
"2012-01-02T06:00:00.000Z","7.38","8.48","4.68","7.83","8.64","4.73","1,629,313,661"
"2013-01-01T06:00:00.000Z","7.93","8.93","6.04","8.69","11.02","7.11","1,599,659,527"
"2014-01-01T06:00:00.000Z","8.47","10.30","7.76","7.98","-8.16","-12.07","1,972,840,178"
"2015-01-01T06:00:00.000Z","8.12","8.15","4.61","4.67","-41.54","-45.45","1,944,461,716"
"2016-01-01T06:00:00.000Z","4.59","5.03","3.45","4.96","6.37","2.46","1,711,205,704"
"2017-01-02T06:00:00.000Z","5.05","6.70","5.03","6.27","26.25","22.35","1,547,518,957"
"2018-01-01T06:00:00.000Z","6.28","7.25","4.03","4.29","-31.50","-35.41","2,040,406,256"
"2019-01-02T06:00:00.000Z","4.22","5.03","3.50","3.97","-7.59","-11.50","2,490,072,479"
"2020-01-02T06:00:00.000Z","4.10","4.14","1.71","3.05","-23.12","-27.03","2,554,919,795"
"2021-01-04T06:00:00.000Z","3.12","4.38","2.92","3.29","7.87","3.96","1,390,895,457"
"2022-01-03T06:00:00.000Z","3.31","4.01","2.26","2.95","-10.33","-14.24","1,593,733,243"
"2023-01-03T06:00:00.000Z","3.00","4.09","2.97","3.75","27.12","23.21","668,335,317"
