"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1987-09-01T05:00:00.000Z","0.3622","0.3731","0.1262","0.1317","","-28.00","469,464,101"
"1988-01-01T06:00:00.000Z","0.1344","0.2113","0.1289","0.1482","12.53","-15.47","383,554,960"
"1989-01-02T06:00:00.000Z","0.1482","0.3731","0.1482","0.3045","105.47","77.47","493,138,942"
"1990-01-01T06:00:00.000Z","0.3045","0.3923","0.2332","0.2497","-18.00","-45.99","405,911,702"
"1991-01-01T06:00:00.000Z","0.2497","1.05","0.2497","1.00","300.48","272.48","751,960,999"
"1992-01-01T06:00:00.000Z","1.01","1.24","0.5473","0.8601","-13.99","-41.99","1,371,325,123"
"1993-01-01T06:00:00.000Z","0.8601","1.90","0.8190","1.60","85.89","57.89","1,374,209,530"
"1994-01-03T06:00:00.000Z","1.59","1.83","1.17","1.72","7.72","-20.27","1,329,689,075"
"1995-01-02T06:00:00.000Z","1.72","4.30","1.64","2.98","73.11","45.11","1,029,986,064"
"1996-01-01T06:00:00.000Z","2.96","4.87","2.67","4.74","59.01","31.01","791,861,328"
"1997-01-01T06:00:00.000Z","4.67","9.83","4.50","9.32","96.58","68.58","909,726,848"
"1998-01-01T06:00:00.000Z","8.92","22.83","6.17","18.73","100.97","72.97","1,109,826,897"
"1999-01-01T06:00:00.000Z","18.75","51.67","16.96","25.50","36.15","8.15","1,938,010,874"
"2000-01-03T06:00:00.000Z","25.67","44.75","22.46","28.38","11.27","-16.72","1,260,498,087"
"2001-01-01T06:00:00.000Z","28.44","33.00","8.13","15.47","-45.48","-73.48","1,233,764,991"
"2002-01-01T06:00:00.000Z","15.42","19.00","7.22","10.85","-29.86","-57.86","1,170,406,796"
"2003-01-01T06:00:00.000Z","10.93","14.20","6.25","11.84","9.12","-18.87","1,273,338,294"
"2004-01-01T06:00:00.000Z","11.84","13.92","8.25","11.96","1.01","-26.98","1,431,128,994"
"2005-01-03T06:00:00.000Z","11.80","16.14","9.65","14.67","22.66","-5.34","1,486,226,175"
"2006-01-02T06:00:00.000Z","14.51","19.49","14.00","19.34","31.83","3.84","1,789,109,883"
"2007-01-01T06:00:00.000Z","19.20","25.72","17.41","25.55","32.11","4.11","2,332,971,363"
"2008-01-01T06:00:00.000Z","25.55","28.75","14.28","16.17","-36.71","-64.71","3,311,802,703"
"2009-01-01T06:00:00.000Z","16.05","19.87","11.00","18.82","16.39","-11.61","3,543,500,660"
"2010-01-01T06:00:00.000Z","19.21","19.95","12.64","17.11","-9.09","-37.08","3,056,459,058"
"2011-01-03T06:00:00.000Z","17.23","19.69","10.56","11.26","-34.19","-62.19","3,414,534,327"
"2012-01-02T06:00:00.000Z","11.51","15.53","11.34","14.36","27.53","-0.4659","2,862,252,884"
"2013-01-01T06:00:00.000Z","14.67","26.08","14.62","26.00","81.06","53.06","2,321,685,744"
"2014-01-01T06:00:00.000Z","25.99","31.00","23.35","30.19","16.12","-11.88","1,780,358,691"
"2015-01-01T06:00:00.000Z","30.41","35.72","25.43","32.93","9.08","-18.92","2,080,003,299"
"2016-01-01T06:00:00.000Z","31.95","40.58","21.51","39.47","19.86","-8.14","2,462,120,058"
"2017-01-02T06:00:00.000Z","40.05","52.52","37.16","51.37","30.15","2.15","1,757,195,996"
"2018-01-01T06:00:00.000Z","51.55","60.22","37.83","41.53","-19.16","-47.15","1,786,786,361"
"2019-01-02T06:00:00.000Z","40.70","51.65","34.58","47.56","14.52","-13.48","2,146,284,413"
"2020-01-02T06:00:00.000Z","47.76","53.33","28.00","53.04","11.52","-16.47","2,905,282,989"
"2021-01-04T06:00:00.000Z","53.22","86.43","50.77","84.10","58.56","30.56","1,702,568,384"
"2022-01-03T06:00:00.000Z","84.57","96.24","59.35","83.26","-0.9988","-29.00","2,010,591,792"
"2023-01-03T06:00:00.000Z","83.57","86.63","45.00","60.50","-27.34","-55.33","2,885,788,700"
