"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2005-07-01T05:00:00.000Z","60.60","68.08","57.79","61.49","","-2.41","133,742,800"
"2006-01-02T06:00:00.000Z","62.68","72.38","60.17","70.79","15.12","12.72","293,834,900"
"2007-01-01T06:00:00.000Z","70.88","88.31","62.71","84.20","18.94","16.54","392,092,061"
"2008-01-01T06:00:00.000Z","84.66","88.73","41.62","52.94","-37.13","-39.53","632,241,510"
"2009-01-01T06:00:00.000Z","53.79","63.75","38.26","60.11","13.54","11.14","525,317,157"
"2010-01-01T06:00:00.000Z","61.86","68.55","49.16","66.78","11.10","8.69","463,849,779"
"2011-01-03T06:00:00.000Z","67.17","77.97","57.97","73.09","9.45","7.04","694,340,464"
"2012-01-02T06:00:00.000Z","73.73","74.52","60.62","68.95","-5.66","-8.07","558,093,070"
"2013-01-01T06:00:00.000Z","69.47","73.00","62.65","71.27","3.36","0.9579","602,615,756"
"2014-01-01T06:00:00.000Z","71.20","83.42","60.84","66.95","-6.06","-8.47","595,380,776"
"2015-01-01T06:00:00.000Z","67.02","67.16","43.26","45.79","-31.61","-34.01","1,016,552,383"
"2016-01-01T06:00:00.000Z","45.41","56.29","35.80","54.38","18.76","16.35","1,279,807,351"
"2017-01-02T06:00:00.000Z","55.24","66.92","50.32","66.71","22.67","20.27","876,211,667"
"2018-01-01T06:00:00.000Z","67.00","73.86","55.04","58.27","-12.65","-15.06","909,983,457"
"2019-01-02T06:00:00.000Z","57.87","66.48","54.56","58.98","1.22","-1.19","676,213,455"
"2020-01-02T06:00:00.000Z","59.46","61.17","21.25","35.14","-40.42","-42.83","1,694,918,505"
"2021-01-04T06:00:00.000Z","36.25","50.75","35.49","43.40","23.51","21.10","1,305,863,384"
"2022-01-03T06:00:00.000Z","44.04","61.67","43.96","56.95","31.22","28.81","1,276,265,879"
"2023-01-03T06:00:00.000Z","57.47","63.69","52.47","62.85","10.36","7.95","781,143,075"
