"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","0.5000","0.7187","0.4648","0.5885","","-14.52","118,540,830"
"1969-01-01T06:00:00.000Z","0.5911","0.6133","0.4740","0.4857","-17.47","-31.99","145,881,649"
"1970-01-01T06:00:00.000Z","0.4857","0.5065","0.2708","0.4883","0.5353","-13.98","147,254,449"
"1971-01-01T06:00:00.000Z","0.4792","0.5339","0.4258","0.4987","2.13","-12.39","189,993,678"
"1972-01-03T06:00:00.000Z","0.4870","0.5937","0.4740","0.5352","7.32","-7.20","195,648,088"
"1973-01-01T06:00:00.000Z","0.5352","0.5378","0.2878","0.3464","-35.28","-49.79","123,292,829"
"1974-01-01T06:00:00.000Z","0.3503","0.4206","0.2617","0.3698","6.76","-7.76","85,929,615"
"1975-01-01T06:00:00.000Z","0.3724","0.5078","0.3424","0.3437","-7.06","-21.58","159,811,262"
"1976-01-01T06:00:00.000Z","0.3464","0.4492","0.3464","0.4271","24.27","9.75","129,964,833"
"1977-01-03T06:00:00.000Z","0.4284","0.4323","0.2344","0.2878","-32.62","-47.13","219,225,718"
"1978-01-02T06:00:00.000Z","0.2878","0.3320","0.2044","0.2083","-27.62","-42.14","397,075,464"
"1979-01-01T06:00:00.000Z","0.2083","0.3008","0.2044","0.2773","33.13","18.61","236,572,921"
"1980-01-01T06:00:00.000Z","0.2773","0.4206","0.2422","0.3698","33.36","18.84","259,747,346"
"1981-01-01T06:00:00.000Z","0.3698","0.4948","0.3359","0.4583","23.93","9.41","168,537,668"
"1982-01-01T06:00:00.000Z","0.4583","1.04","0.3776","0.9167","100.02","85.50","288,643,384"
"1983-01-03T06:00:00.000Z","0.9167","1.32","0.7604","1.09","19.31","4.79","350,280,225"
"1984-01-02T06:00:00.000Z","1.09","1.35","0.9271","1.17","6.67","-7.84","283,353,758"
"1985-01-01T06:00:00.000Z","1.17","1.96","1.16","1.84","58.03","43.51","238,922,506"
"1986-01-01T06:00:00.000Z","1.84","2.69","1.78","2.30","24.86","10.35","346,501,410"
"1987-01-01T06:00:00.000Z","2.32","3.21","1.68","2.03","-11.77","-26.28","329,275,391"
"1988-01-01T06:00:00.000Z","2.04","2.64","2.00","2.11","4.11","-10.41","273,050,534"
"1989-01-02T06:00:00.000Z","2.11","2.98","2.08","2.86","35.47","20.95","295,298,565"
"1990-01-01T06:00:00.000Z","2.86","3.51","2.51","3.11","8.73","-5.79","277,558,941"
"1991-01-01T06:00:00.000Z","3.11","4.63","2.94","4.46","43.14","28.62","282,960,754"
"1992-01-01T06:00:00.000Z","4.46","5.48","4.23","5.10","14.49","-0.0299","237,175,902"
"1993-01-01T06:00:00.000Z","5.13","6.25","4.98","5.96","16.73","2.22","224,607,085"
"1994-01-03T06:00:00.000Z","5.96","5.96","4.92","5.56","-6.64","-21.16","260,560,930"
"1995-01-02T06:00:00.000Z","5.50","6.92","5.33","6.79","22.10","7.58","255,051,718"
